序號,答案
20240117090001,-1310.78195
20240117091001,-1310.71042
20240117092001,-1310.67726
20240117093001,-1310.66497
20240117094001,-1310.65205
20240117095001,-1310.63617
20240117100001,-1310.60497
20240117101001,-1310.57961
20240117102001,-1310.56168
20240117103001,-1310.55648
20240117104001,-1310.55344
20240117105001,-1310.5555
20240117110001,-1310.58138
20240117111001,-1310.57227
20240117112001,-1310.56641
20240117113001,-1310.56192
20240117114001,-1310.55779
20240117115001,-1310.55374
20240117120001,-1310.54964
20240117121001,-1310.54572
20240117122001,-1310.54176
20240117123001,-1310.53763
20240117124001,-1310.53308
20240117125001,-1310.52811
20240117130001,-1310.52266
20240117131001,-1310.51631
20240117132001,-1310.51006
20240117133001,-1310.50376
20240117134001,-1310.49737
20240117135001,-1310.49088
20240117140001,-1310.48431
20240117141001,-1310.47766
20240117142001,-1310.47093
20240117143001,-1310.46414
20240117144001,-1310.4573
20240117145001,-1310.45043
20240117150001,-1310.44353
20240117151001,-1310.43664
20240117152001,-1310.42976
20240117153001,-1310.4229
20240117154001,-1310.41605
20240117155001,-1310.40923
20240117160001,-1310.40243
20240117161001,-1310.39567
20240117162001,-1310.38894
20240117163001,-1310.38225
20240117164001,-1310.37561
20240117165001,-1310.36901
20240119090001,-1310.35669
20240119091001,-1310.41128
20240119092001,-1310.5064
20240119093001,-1310.57276
20240119094001,-1310.60942
20240119095001,-1310.63031
20240119100001,-1310.645
20240119101001,-1310.63164
20240119102001,-1310.6059
20240119103001,-1310.60002
20240119104001,-1310.59239
20240119105001,-1310.57722
20240119110001,-1310.58138
20240119111001,-1310.57227
20240119112001,-1310.56641
20240119113001,-1310.56192
20240119114001,-1310.55779
20240119115001,-1310.55374
20240119120001,-1310.54964
20240119121001,-1310.54572
20240119122001,-1310.54176
20240119123001,-1310.53763
20240119124001,-1310.53308
20240119125001,-1310.52811
20240119130001,-1310.52266
20240119131001,-1310.51631
20240119132001,-1310.51006
20240119133001,-1310.50376
20240119134001,-1310.49737
20240119135001,-1310.49088
20240119140001,-1310.48431
20240119141001,-1310.47766
20240119142001,-1310.47093
20240119143001,-1310.46414
20240119144001,-1310.4573
20240119145001,-1310.45043
20240119150001,-1310.44353
20240119151001,-1310.43664
20240119152001,-1310.42976
20240119153001,-1310.4229
20240119154001,-1310.41605
20240119155001,-1310.40923
20240119160001,-1310.40243
20240119161001,-1310.39567
20240119162001,-1310.38894
20240119163001,-1310.38225
20240119164001,-1310.37561
20240119165001,-1310.36901
20240224090001,-1311.30676
20240224091001,-1311.21773
20240224092001,-1311.11708
20240224093001,-1311.00228
20240224094001,-1310.89742
20240224095001,-1310.80784
20240224100001,-1310.73728
20240224101001,-1310.68255
20240224102001,-1310.6509
20240224103001,-1310.61612
20240224104001,-1310.59048
20240224105001,-1310.57944
20240224110001,-1310.58138
20240224111001,-1310.57227
20240224112001,-1310.56641
20240224113001,-1310.56192
20240224114001,-1310.55779
20240224115001,-1310.55374
20240224120001,-1310.54964
20240224121001,-1310.54572
20240224122001,-1310.54176
20240224123001,-1310.53763
20240224124001,-1310.53308
20240224125001,-1310.52811
20240224130001,-1310.52266
20240224131001,-1310.51631
20240224132001,-1310.51006
20240224133001,-1310.50376
20240224134001,-1310.49737
20240224135001,-1310.49088
20240224140001,-1310.48431
20240224141001,-1310.47766
20240224142001,-1310.47093
20240224143001,-1310.46414
20240224144001,-1310.4573
20240224145001,-1310.45043
20240224150001,-1310.44353
20240224151001,-1310.43664
20240224152001,-1310.42976
20240224153001,-1310.4229
20240224154001,-1310.41605
20240224155001,-1310.40923
20240224160001,-1310.40243
20240224161001,-1310.39567
20240224162001,-1310.38894
20240224163001,-1310.38225
20240224164001,-1310.37561
20240224165001,-1310.36901
20240226090001,-1311.65425
20240226091001,-1311.54146
20240226092001,-1311.39111
20240226093001,-1311.23608
20240226094001,-1311.0961
20240226095001,-1310.97602
20240226100001,-1310.87961
20240226101001,-1310.79813
20240226102001,-1310.74335
20240226103001,-1310.68776
20240226104001,-1310.63857
20240226105001,-1310.60659
20240226110001,-1310.58138
20240226111001,-1310.57227
20240226112001,-1310.56641
20240226113001,-1310.56192
20240226114001,-1310.55779
20240226115001,-1310.55374
20240226120001,-1310.54964
20240226121001,-1310.54572
20240226122001,-1310.54176
20240226123001,-1310.53763
20240226124001,-1310.53308
20240226125001,-1310.52811
20240226130001,-1310.52266
20240226131001,-1310.51631
20240226132001,-1310.51006
20240226133001,-1310.50376
20240226134001,-1310.49737
20240226135001,-1310.49088
20240226140001,-1310.48431
20240226141001,-1310.47766
20240226142001,-1310.47093
20240226143001,-1310.46414
20240226144001,-1310.4573
20240226145001,-1310.45043
20240226150001,-1310.44353
20240226151001,-1310.43664
20240226152001,-1310.42976
20240226153001,-1310.4229
20240226154001,-1310.41605
20240226155001,-1310.40923
20240226160001,-1310.40243
20240226161001,-1310.39567
20240226162001,-1310.38894
20240226163001,-1310.38225
20240226164001,-1310.37561
20240226165001,-1310.36901
20240327090001,-1311.21224
20240327091001,-1311.14627
20240327092001,-1311.07349
20240327093001,-1310.9906
20240327094001,-1310.90341
20240327095001,-1310.82088
20240327100001,-1310.74928
20240327101001,-1310.69691
20240327102001,-1310.66105
20240327103001,-1310.63368
20240327104001,-1310.61209
20240327105001,-1310.59476
20240327110001,-1310.58138
20240327111001,-1310.57227
20240327112001,-1310.56641
20240327113001,-1310.56192
20240327114001,-1310.55779
20240327115001,-1310.55374
20240327120001,-1310.54964
20240327121001,-1310.54572
20240327122001,-1310.54176
20240327123001,-1310.53763
20240327124001,-1310.53308
20240327125001,-1310.52811
20240327130001,-1310.52266
20240327131001,-1310.51631
20240327132001,-1310.51006
20240327133001,-1310.50376
20240327134001,-1310.49737
20240327135001,-1310.49088
20240327140001,-1310.48431
20240327141001,-1310.47766
20240327142001,-1310.47093
20240327143001,-1310.46414
20240327144001,-1310.4573
20240327145001,-1310.45043
20240327150001,-1310.44353
20240327151001,-1310.43664
20240327152001,-1310.42976
20240327153001,-1310.4229
20240327154001,-1310.41605
20240327155001,-1310.40923
20240327160001,-1310.40243
20240327161001,-1310.39567
20240327162001,-1310.38894
20240327163001,-1310.38225
20240327164001,-1310.37561
20240327165001,-1310.36901
20240329090001,-1311.18428
20240329091001,-1311.06515
20240329092001,-1310.92637
20240329093001,-1310.79845
20240329094001,-1310.69743
20240329095001,-1310.62584
20240329100001,-1310.5814
20240329101001,-1310.55975
20240329102001,-1310.55084
20240329103001,-1310.55076
20240329104001,-1310.56059
20240329105001,-1310.57144
20240329110001,-1310.58138
20240329111001,-1310.57227
20240329112001,-1310.56641
20240329113001,-1310.56192
20240329114001,-1310.55779
20240329115001,-1310.55374
20240329120001,-1310.54964
20240329121001,-1310.54572
20240329122001,-1310.54176
20240329123001,-1310.53763
20240329124001,-1310.53308
20240329125001,-1310.52811
20240329130001,-1310.52266
20240329131001,-1310.51631
20240329132001,-1310.51006
20240329133001,-1310.50376
20240329134001,-1310.49737
20240329135001,-1310.49088
20240329140001,-1310.48431
20240329141001,-1310.47766
20240329142001,-1310.47093
20240329143001,-1310.46414
20240329144001,-1310.4573
20240329145001,-1310.45043
20240329150001,-1310.44353
20240329151001,-1310.43664
20240329152001,-1310.42976
20240329153001,-1310.4229
20240329154001,-1310.41605
20240329155001,-1310.40923
20240329160001,-1310.40243
20240329161001,-1310.39567
20240329162001,-1310.38894
20240329163001,-1310.38225
20240329164001,-1310.37561
20240329165001,-1310.36901
20240428090001,-1310.96613
20240428091001,-1310.9246
20240428092001,-1310.8803
20240428093001,-1310.82126
20240428094001,-1310.75344
20240428095001,-1310.68548
20240428100001,-1310.62711
20240428101001,-1310.5877
20240428102001,-1310.56482
20240428103001,-1310.55797
20240428104001,-1310.56084
20240428105001,-1310.56917
20240428110001,-1310.58138
20240428111001,-1310.57227
20240428112001,-1310.56641
20240428113001,-1310.56192
20240428114001,-1310.55779
20240428115001,-1310.55374
20240428120001,-1310.54964
20240428121001,-1310.54572
20240428122001,-1310.54176
20240428123001,-1310.53763
20240428124001,-1310.53308
20240428125001,-1310.52811
20240428130001,-1310.52266
20240428131001,-1310.51631
20240428132001,-1310.51006
20240428133001,-1310.50376
20240428134001,-1310.49737
20240428135001,-1310.49088
20240428140001,-1310.48431
20240428141001,-1310.47766
20240428142001,-1310.47093
20240428143001,-1310.46414
20240428144001,-1310.4573
20240428145001,-1310.45043
20240428150001,-1310.44353
20240428151001,-1310.43664
20240428152001,-1310.42976
20240428153001,-1310.4229
20240428154001,-1310.41605
20240428155001,-1310.40923
20240428160001,-1310.40243
20240428161001,-1310.39567
20240428162001,-1310.38894
20240428163001,-1310.38225
20240428164001,-1310.37561
20240428165001,-1310.36901
20240430090001,-1309.79226
20240430091001,-1310.20245
20240430092001,-1310.50528
20240430093001,-1310.69969
20240430094001,-1310.79203
20240430095001,-1310.80199
20240430100001,-1310.76185
20240430101001,-1310.70154
20240430102001,-1310.64614
20240430103001,-1310.6096
20240430104001,-1310.59127
20240430105001,-1310.58371
20240430110001,-1310.58138
20240430111001,-1310.57227
20240430112001,-1310.56641
20240430113001,-1310.56192
20240430114001,-1310.55779
20240430115001,-1310.55374
20240430120001,-1310.54964
20240430121001,-1310.54572
20240430122001,-1310.54176
20240430123001,-1310.53763
20240430124001,-1310.53308
20240430125001,-1310.52811
20240430130001,-1310.52266
20240430131001,-1310.51631
20240430132001,-1310.51006
20240430133001,-1310.50376
20240430134001,-1310.49737
20240430135001,-1310.49088
20240430140001,-1310.48431
20240430141001,-1310.47766
20240430142001,-1310.47093
20240430143001,-1310.46414
20240430144001,-1310.4573
20240430145001,-1310.45043
20240430150001,-1310.44353
20240430151001,-1310.43664
20240430152001,-1310.42976
20240430153001,-1310.4229
20240430154001,-1310.41605
20240430155001,-1310.40923
20240430160001,-1310.40243
20240430161001,-1310.39567
20240430162001,-1310.38894
20240430163001,-1310.38225
20240430164001,-1310.37561
20240430165001,-1310.36901
20240515090001,-1309.53636
20240515091001,-1310.05414
20240515092001,-1310.40799
20240515093001,-1310.62763
20240515094001,-1310.736
20240515095001,-1310.75474
20240515100001,-1310.72075
20240515101001,-1310.66396
20240515102001,-1310.61517
20240515103001,-1310.58484
20240515104001,-1310.57363
20240515105001,-1310.5748
20240515110001,-1310.58138
20240515111001,-1310.57227
20240515112001,-1310.56641
20240515113001,-1310.56192
20240515114001,-1310.55779
20240515115001,-1310.55374
20240515120001,-1310.54964
20240515121001,-1310.54572
20240515122001,-1310.54176
20240515123001,-1310.53763
20240515124001,-1310.53308
20240515125001,-1310.52811
20240515130001,-1310.52266
20240515131001,-1310.51631
20240515132001,-1310.51006
20240515133001,-1310.50376
20240515134001,-1310.49737
20240515135001,-1310.49088
20240515140001,-1310.48431
20240515141001,-1310.47766
20240515142001,-1310.47093
20240515143001,-1310.46414
20240515144001,-1310.4573
20240515145001,-1310.45043
20240515150001,-1310.44353
20240515151001,-1310.43664
20240515152001,-1310.42976
20240515153001,-1310.4229
20240515154001,-1310.41605
20240515155001,-1310.40923
20240515160001,-1310.40243
20240515161001,-1310.39567
20240515162001,-1310.38894
20240515163001,-1310.38225
20240515164001,-1310.37561
20240515165001,-1310.36901
20240520090001,-1310.12416
20240520091001,-1310.33173
20240520092001,-1310.50431
20240520093001,-1310.61719
20240520094001,-1310.672
20240520095001,-1310.6756
20240520100001,-1310.65098
20240520101001,-1310.61927
20240520102001,-1310.59338
20240520103001,-1310.57562
20240520104001,-1310.56975
20240520105001,-1310.57261
20240520110001,-1310.58138
20240520111001,-1310.57227
20240520112001,-1310.56641
20240520113001,-1310.56192
20240520114001,-1310.55779
20240520115001,-1310.55374
20240520120001,-1310.54964
20240520121001,-1310.54572
20240520122001,-1310.54176
20240520123001,-1310.53763
20240520124001,-1310.53308
20240520125001,-1310.52811
20240520130001,-1310.52266
20240520131001,-1310.51631
20240520132001,-1310.51006
20240520133001,-1310.50376
20240520134001,-1310.49737
20240520135001,-1310.49088
20240520140001,-1310.48431
20240520141001,-1310.47766
20240520142001,-1310.47093
20240520143001,-1310.46414
20240520144001,-1310.4573
20240520145001,-1310.45043
20240520150001,-1310.44353
20240520151001,-1310.43664
20240520152001,-1310.42976
20240520153001,-1310.4229
20240520154001,-1310.41605
20240520155001,-1310.40923
20240520160001,-1310.40243
20240520161001,-1310.39567
20240520162001,-1310.38894
20240520163001,-1310.38225
20240520164001,-1310.37561
20240520165001,-1310.36901
20240613090001,-1310.79485
20240613091001,-1310.72994
20240613092001,-1310.65455
20240613093001,-1310.58192
20240613094001,-1310.52262
20240613095001,-1310.48231
20240613100001,-1310.46248
20240613101001,-1310.46055
20240613102001,-1310.47236
20240613103001,-1310.4932
20240613104001,-1310.51999
20240613105001,-1310.55022
20240613110001,-1310.58138
20240613111001,-1310.57227
20240613112001,-1310.56641
20240613113001,-1310.56192
20240613114001,-1310.55779
20240613115001,-1310.55374
20240613120001,-1310.54964
20240613121001,-1310.54572
20240613122001,-1310.54176
