iter	RMSE
0	496.6442877
1	453.4628703
2	414.7672659
3	380.5137081
4	349.7764419
5	322.8835603
6	298.6271748
7	277.5292871
8	259.1076667
9	243.1840453
10	229.2218666
11	217.1212182
12	206.5000617
13	197.4486333
14	189.3181505
15	182.703042
16	176.834622
17	171.9559543
18	167.6689549
19	164.153943
20	161.20447
21	158.6196029
22	156.4099901
23	154.4037209
24	152.737461
25	151.3461822
26	150.3211687
27	149.4326379
28	148.5368952
29	147.7299231
30	147.1321304
31	146.3851562
32	145.7989667
33	145.32018
34	144.8508232
35	144.5097134
36	144.1532821
37	143.7084601
38	143.3944087
39	143.0434043
40	142.8062479
41	142.5737776
42	142.3790165
43	142.1877359
44	142.0212841
45	141.8723702
46	141.6649854
47	141.503614
48	141.2118702
49	141.0452675
50	140.8582354
51	140.6662035
52	140.5276792
53	140.428136
54	140.266592
55	140.1722765
56	140.0659044
57	139.8622131
58	139.7855533
59	139.6349097
60	139.4716067
61	139.3761028
62	139.2112191
63	139.0850289
64	138.973284
65	138.8410895
66	138.718932
67	138.616947
68	138.5416993
69	138.4082229
70	138.2543979
71	138.1618295
72	138.0420982
73	137.8598022
74	137.7445308
75	137.6334247
76	137.4925832
77	137.3835638
78	137.2730721
79	137.1735842
80	137.054753
81	136.9762504
82	136.9135316
83	136.8077034
84	136.6809935
85	136.5542609
86	136.476307
87	136.4076516
88	136.3343833
89	136.2551469
90	136.1625111
91	136.0600362
92	135.9541664
93	135.9004368
94	135.8416856
95	135.7785588
96	135.6559344
97	135.4999876
98	135.3848776
99	135.2729219
