iter	Passed	Remaining
0	17	1781
1	34	1696
2	54	1764
3	72	1749
4	91	1735
5	110	1734
6	129	1715
7	147	1700
8	166	1679
9	183	1648
10	207	1675
11	226	1659
12	246	1651
13	266	1636
14	285	1618
15	304	1597
16	322	1573
17	341	1556
18	358	1527
19	375	1502
20	394	1483
21	414	1470
22	435	1459
23	454	1439
24	470	1411
25	486	1385
26	502	1357
27	518	1332
28	536	1312
29	552	1290
30	568	1265
31	584	1241
32	599	1217
33	616	1197
34	636	1182
35	654	1163
36	674	1148
37	693	1131
38	710	1111
39	727	1090
40	745	1072
41	764	1055
42	782	1037
43	798	1016
44	816	997
45	834	979
46	852	961
47	870	943
48	888	924
49	905	905
50	923	887
51	947	874
52	965	856
53	983	837
54	997	816
55	1012	795
56	1028	776
57	1045	757
58	1060	736
59	1075	716
60	1092	698
61	1109	679
62	1125	660
63	1142	642
64	1159	624
65	1178	607
66	1194	588
67	1212	570
68	1230	552
69	1247	534
70	1267	517
71	1287	500
72	1307	483
73	1328	466
74	1346	448
75	1363	430
76	1378	411
77	1394	393
78	1409	374
79	1426	356
80	1446	339
81	1464	321
82	1480	303
83	1496	284
84	1510	266
85	1525	248
86	1542	230
87	1558	212
88	1574	194
89	1590	176
90	1606	158
91	1622	141
92	1640	123
93	1659	105
94	1677	88
95	1694	70
96	1711	52
97	1727	35
98	1747	17
99	1764	0
