Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),MonthDate,Hour,Season_weight,Sunlight_time(h),UV,Cloud
20240418090004,0.1,1003.36,35.79,45.01,32026.82,163.64,418,9,0.25,,,8.0
20240418091004,0.04,1003.48,35.08,46.79,14743.5,41.11,418,9,0.25,,,8.0
20240418092004,1.31,1003.59,31.56,62.2,2073.42,0.62,418,9,0.25,,,8.0
20240418093004,3.49,1003.88,25.58,89.19,2028.83,0.6,418,9,0.25,,,8.0
20240418094004,3.14,1004.06,24.83,92.26,9740.58,15.16,418,9,0.25,,,8.0
20240418095004,3.22,1004.33,24.52,92.69,9474.92,22.24,418,9,0.25,,,8.0
20240418100004,2.45,1004.32,24.74,92.56,11589.08,22.66,418,10,0.25,,,0.0
20240418101004,3.17,1004.52,24.32,92.77,12903.33,29.86,418,10,0.25,,,0.0
20240418102004,3.69,1004.58,24.46,92.06,16863.42,44.37,418,10,0.25,,,0.0
20240418103004,2.81,1004.41,24.34,92.66,13626.25,30.62,418,10,0.25,,,0.0
20240418104004,3.04,1004.43,24.29,92.94,11758.5,22.0,418,10,0.25,,,0.0
20240418105004,3.63,1004.47,24.0,92.8,14750.58,33.28,418,10,0.25,,,0.0
20240418110004,3.62,1004.44,24.09,92.34,15154.58,35.97,418,11,0.25,,,10.0
20240418111004,3.57,1004.43,23.99,92.2,10353.58,16.19,418,11,0.25,,,10.0
20240418112004,2.82,1004.24,23.83,92.59,5657.92,4.77,418,11,0.25,,,10.0
20240418113004,1.98,1004.32,23.8,93.0,5379.25,4.31,418,11,0.25,,,10.0
20240418114004,3.05,1004.34,23.71,92.55,6980.58,7.0,418,11,0.25,,,10.0
20240418115004,2.74,1004.26,23.82,92.32,8269.17,9.48,418,11,0.25,,,10.0
20240418120004,3.54,1004.28,23.66,91.72,6480.58,5.62,418,12,0.25,,,0.0
20240418121004,3.36,1004.29,23.57,91.33,6993.58,6.54,418,12,0.25,,,0.0
20240418122004,3.07,1004.32,23.57,91.15,4873.92,3.11,418,12,0.25,,,0.0
20240418123004,4.03,1004.39,23.3,90.59,4540.92,2.62,418,12,0.25,,,0.0
20240418124004,3.7,1004.44,23.02,91.5,4528.67,2.6,418,12,0.25,,,0.0
20240418125004,3.97,1004.34,22.77,91.54,5613.84,4.35,418,12,0.25,,,0.0
20240418130004,4.34,1004.44,22.6,91.03,5184.5,3.66,418,13,0.25,,,0.0
20240418131004,2.86,1004.54,22.6,91.79,4932.25,3.27,418,13,0.25,,,0.0
20240418132004,3.6,1004.58,22.56,91.28,6686.67,6.5,418,13,0.25,,,0.0
20240418133004,3.09,1004.6,22.56,91.31,8738.0,11.59,418,13,0.25,,,0.0
20240418134004,2.14,1004.61,22.64,91.84,10083.17,15.73,418,13,0.25,,,0.0
20240418135004,0.92,1004.63,22.8,92.61,6939.58,7.6,418,13,0.25,,,0.0
20240418140004,1.65,1004.65,22.8,92.43,8021.67,10.1,418,14,0.25,,,10.0
20240418141004,1.54,1004.79,22.63,92.85,6904.92,7.23,418,14,0.25,,,10.0
20240418142004,1.61,1004.86,22.66,92.87,8039.59,10.35,418,14,0.25,,,10.0
20240418143004,0.84,1004.86,22.88,92.82,9740.75,15.22,418,14,0.25,,,10.0
20240418144004,1.52,1004.86,23.03,92.49,8866.42,13.68,418,14,0.25,,,10.0
20240418145004,1.36,1004.86,22.98,92.06,9302.92,15.58,418,14,0.25,,,10.0
20240418150004,1.22,1004.91,22.81,92.98,5054.58,4.54,418,15,0.25,,,0.0
20240418151004,1.12,1004.84,22.93,92.69,10810.42,19.53,418,15,0.25,,,0.0
20240418152004,1.2,1004.84,22.95,92.51,7762.08,12.74,418,15,0.25,,,0.0
20240418153004,0.27,1004.85,22.8,93.12,4296.67,3.15,418,15,0.25,,,0.0
20240418154004,0.59,1004.96,22.65,93.62,4184.0,2.94,418,15,0.25,,,0.0
20240418155004,0.31,1004.98,22.74,93.73,5881.08,6.21,418,15,0.25,,,0.0
20240418160004,0.95,1004.97,22.68,93.8,5468.25,5.63,418,16,0.25,,,0.0
20240418161004,0.76,1005.16,22.59,93.8,4037.42,3.21,418,16,0.25,,,0.0
20240418162004,0.72,1005.21,22.5,93.85,5036.83,4.59,418,16,0.25,,,0.0
20240418163004,0.48,1005.3,22.45,93.91,4358.5,3.48,418,16,0.25,,,0.0
20240418164004,0.83,1005.29,22.28,94.09,2971.83,1.6,418,16,0.25,,,0.0
20240418165004,1.48,1005.43,22.18,94.29,1859.75,0.66,418,16,0.25,,,0.0
20240419090004,0.38,1007.39,30.07,58.57,35020.66,207.44,419,9,0.25,,,10.0
20240419091004,0.53,1007.38,30.69,55.92,31559.67,171.07,419,9,0.25,,,10.0
20240419092004,0.76,1007.36,30.74,55.2,34765.91,212.34,419,9,0.25,,,10.0
20240419093004,0.92,1007.49,31.68,53.14,43202.12,221.99,419,9,0.25,,,10.0
20240419094004,1.3,1007.53,31.96,52.05,39350.41,106.51,419,9,0.25,,,10.0
20240419095004,1.04,1007.42,32.33,50.14,38327.69,189.02,419,9,0.25,,,10.0
20240419100004,0.72,1007.27,32.75,49.63,37817.7,260.5,419,10,0.25,,,0.0
20240419101004,0.29,1007.16,33.67,46.36,42127.73,290.65,419,10,0.25,,,0.0
20240419102004,0.34,1007.01,35.19,41.43,57467.65,215.12,419,10,0.25,,,0.0
20240419103004,0.43,1006.98,37.43,35.53,69209.34,293.4,419,10,0.25,,,0.0
