
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"0801","--","--","--","--","--","0.3","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.4","0.1","0.0","--","--","--","--","--","10.7"
"0802","--","--","--","--","--","0.2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.4","0.0","0.0","--","--","--","--","--","10.6"
"0803","--","--","--","--","--","0.4","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7","0.1","0.0","--","--","--","--","--","11.2"
"0804","--","--","--","--","--","0.3","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.3","0.2","0.0","0.0","--","--","--","--","--","9.8"
"0805","--","--","--","--","--","0.2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.4","0.0","0.0","0.0","--","--","--","--","--","9.6"
"0806","--","--","--","--","--","0.0","0.6","0.3","0.6","0.1","0.2","0.3","0.8","0.9","0.1","0.2","0.4","0.2","0.0","--","--","--","--","--","4.7"
"0807","--","--","--","--","--","0.0","0.9","1.0","1.0","1.0","1.0","1.0","1.0","0.6","0.4","0.6","0.0","0.0","0.0","--","--","--","--","--","8.5"
"0808","--","--","--","--","--","0.0","0.8","1.0","1.0","1.0","1.0","1.0","1.0","0.3","0.0","0.0","0.1","0.0","0.0","--","--","--","--","--","7.2"
"0809","--","--","--","--","--","0.1","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.7","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","7.7"
"0810","--","--","--","--","--","0.0","0.8","0.3","1.0","1.0","0.8","1.0","0.9","0.2","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","6.0"
"0811","--","--","--","--","--","0.0","0.9","1.0","1.0","0.8","0.7","0.7","1.0","1.0","1.0","0.3","0.2","0.0","0.0","--","--","--","--","--","8.6"
"0812","--","--","--","--","--","0.1","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.2","0.5","0.0","0.0","0.0","--","--","--","--","--","8.7"
"0813","--","--","--","--","--","0.0","0.8","0.9","1.0","1.0","1.0","1.0","1.0","0.5","0.1","0.0","0.0","0.0","0.0","--","--","--","--","--","7.3"
"0814","--","--","--","--","--","0.0","0.1","0.6","1.0","1.0","1.0","1.0","0.8","0.4","0.1","0.0","0.0","0.0","0.0","--","--","--","--","--","6.0"
"0815","--","--","--","--","--","0.0","0.2","0.9","0.9","0.9","1.0","0.8","0.3","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","5.0"
"0816","--","--","--","--","--","0.0","0.5","0.5","0.6","1.0","0.6","1.0","0.9","0.5","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","5.6"
"0817","--","--","--","--","--","0.1","0.5","0.6","1.0","0.9","1.0","0.6","0.4","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","5.1"
"0818","--","--","--","--","--","0.1","0.3","0.0","0.0","0.3","0.7","0.8","0.8","0.1","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","3.1"
"0819","--","--","--","--","--","0.0","0.0","0.8","0.4","0.8","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","2.3"
"0820","--","--","--","--","--","0.0","0.0","0.0","0.8","1.0","1.0","1.0","1.0","0.9","0.4","0.0","0.0","0.1","0.0","--","--","--","--","--","6.2"
"0821","--","--","--","--","--","0.1","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8","0.6","0.8","0.1","0.0","--","--","--","--","--","10.4"
"0822","--","--","--","--","--","0.0","0.3","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6","0.0","--","--","--","--","--","10.9"
"0823","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8","0.7","0.6","0.3","0.1","0.0","--","--","--","--","--","9.5"
"0824","--","--","--","--","--","0.0","0.6","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5","0.0","0.0","0.0","--","--","--","--","--","9.1"
"0825","--","--","--","--","--","0.0","0.5","0.9","1.0","1.0","1.0","0.4","0.8","1.0","0.8","0.1","0.0","0.0","0.0","--","--","--","--","--","7.5"
"0826","--","--","--","--","--","0.0","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.0","0.0","--","--","--","--","--","10.4"
"0827","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.3","0.0","0.0","--","--","--","--","--","10.2"
"0828","--","--","--","--","--","0.0","0.9","1.0","1.0","1.0","1.0","1.0","0.9","1.0","1.0","1.0","0.7","0.0","0.0","--","--","--","--","--","10.5"
"0829","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7","0.0","0.0","--","--","--","--","--","10.7"
"0830","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7","0.6","0.0","0.0","--","--","--","--","--","10.3"
"0831","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.8","0.0","0.0","--","--","--","--","--","10.7"
"總和","--","--","--","--","--","1.9","22.2","25.8","28.3","28.8","28.3","27.6","27.5","22.8","17.6","13.5","8.5","1.3","0.0","--","--","--","--","--","總和"
