
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"0201","--","--","--","--","--","--","--","2.0","2.0","--","4.0","--","--","8.0","--","--","10.0","--","--","--","--","--","--","--","6.0"
"0202","--","--","--","--","--","--","--","10.0","10.0","--","8.0","--","--","9.0","--","--","10.0","--","--","--","--","--","--","--","9.3"
"0203","--","--","--","--","--","--","--","8.0","9.0","--","9.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","9.3"
"0204","--","--","--","--","--","--","--","10.0","10.0","--","9.0","--","--","9.0","--","--","10.0","--","--","--","--","--","--","--","9.5"
"0205","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0206","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0207","--","--","--","--","--","--","--","9.0","9.0","--","9.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","9.5"
"0208","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","6.0","--","--","10.0","--","--","--","--","--","--","--","9.0"
"0209","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0210","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0211","--","--","--","--","--","--","--","2.0","3.0","--","4.0","--","--","3.0","--","--","9.0","--","--","--","--","--","--","--","4.5"
"0212","--","--","--","--","--","--","--","9.0","9.0","--","5.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","8.5"
"0213","--","--","--","--","--","--","--","2.0","4.0","--","1.0","--","--","9.0","--","--","5.0","--","--","--","--","--","--","--","4.3"
"0214","--","--","--","--","--","--","--","1.0","1.0","--","1.0","--","--","1.0","--","--","1.0","--","--","--","--","--","--","--","1.0"
"0215","--","--","--","--","--","--","--","2.0","3.0","--","3.0","--","--","3.0","--","--","5.0","--","--","--","--","--","--","--","3.3"
"0216","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0217","--","--","--","--","--","--","--","3.0","3.0","--","3.0","--","--","4.0","--","--","9.0","--","--","--","--","--","--","--","4.8"
"0218","--","--","--","--","--","--","--","7.0","8.0","--","8.0","--","--","9.0","--","--","10.0","--","--","--","--","--","--","--","8.5"
"0219","--","--","--","--","--","--","--","6.0","5.0","--","6.0","--","--","5.0","--","--","6.0","--","--","--","--","--","--","--","5.8"
"0220","--","--","--","--","--","--","--","8.0","6.0","--","4.0","--","--","3.0","--","--","8.0","--","--","--","--","--","--","--","5.8"
"0221","--","--","--","--","--","--","--","1.0","1.0","--","1.0","--","--","3.0","--","--","9.0","--","--","--","--","--","--","--","3.5"
"0222","--","--","--","--","--","--","--","6.0","3.0","--","1.0","--","--","6.0","--","--","10.0","--","--","--","--","--","--","--","5.8"
"0223","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0224","--","--","--","--","--","--","--","10.0","10.0","--","8.0","--","--","8.0","--","--","10.0","--","--","--","--","--","--","--","9.0"
"0225","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0226","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0227","--","--","--","--","--","--","--","10.0","10.0","--","10.0","--","--","10.0","--","--","10.0","--","--","--","--","--","--","--","10.0"
"0228","--","--","--","--","--","--","--","8.0","8.0","--","7.0","--","--","8.0","--","--","10.0","--","--","--","--","--","--","--","8.3"
"0229","--","--","--","--","--","--","--","9.0","9.0","--","9.0","--","--","8.0","--","--","10.0","--","--","--","--","--","--","--","9.0"
"平均","--","--","--","--","--","--","--","7.3","7.3","--","6.9","--","--","7.7","--","--","9.0","--","--","--","--","--","--","--","平均"
