
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"0701","0","0","0","0","0","0","0","2","5","8","10","13","13","11","8","5","2","0","0","0","0","0","0","0"
"0702","0","0","0","0","0","0","1","2","5","8","11","13","13","11","8","3","1","0","0","0","0","0","0","0"
"0703","0","0","0","0","0","0","1","2","5","8","9","13","13","11","8","5","2","1","0","0","0","0","0","0"
"0704","0","0","0","0","0","0","1","2","5","9","11","13","13","11","9","5","2","0","0","0","0","0","0","0"
"0705","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","0","0","0","0","0","0","0"
"0706","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","1","0","0","0","0","0","0"
"0707","0","0","0","0","0","0","1","2","5","9","12","14","14","12","8","5","2","0","0","0","0","0","0","0"
"0708","0","0","0","0","0","0","1","2","5","8","11","13","12","10","8","4","1","0","0","0","0","0","0","0"
"0709","0","0","0","0","0","0","1","2","5","8","11","13","13","11","8","4","2","1","0","0","0","0","0","0"
"0710","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","1","0","0","0","0","0","0","0"
"0711","0","0","0","0","0","0","1","2","5","9","12","14","14","12","8","4","2","0","0","0","0","0","0","0"
"0712","0","0","0","0","0","0","1","2","5","8","11","13","13","10","7","4","2","0","0","0","0","0","0","0"
"0713","0","0","0","0","0","0","1","1","4","8","11","13","13","11","6","4","1","0","0","0","0","0","0","0"
"0714","0","0","0","0","0","0","1","2","5","9","11","13","13","11","8","5","2","1","0","0","0","0","0","0"
"0715","0","0","0","0","0","0","0","2","5","8","11","13","13","11","8","5","2","0","0","0","0","0","0","0"
"0716","0","0","0","0","0","0","1","2","5","8","12","14","14","12","9","5","2","0","0","0","0","0","0","0"
"0717","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","1","0","0","0","0","0","0"
"0718","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","1","0","0","0","0","0","0"
"0719","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","0","0","0","0","0","0","0"
"0720","0","0","0","0","0","0","1","2","5","8","11","13","14","12","8","5","2","0","0","0","0","0","0","0"
"0721","0","0","0","0","0","0","0","2","5","8","11","12","13","12","9","5","2","0","0","0","0","0","0","0"
"0722","0","0","0","0","0","0","0","2","5","8","11","13","13","11","8","5","2","0","0","0","0","0","0","0"
"0723","0","0","0","0","0","0","0","2","4","6","4","2","2","9","2","1","0","0","0","0","0","0","0","0"
"0724","0","0","0","0","0","0","0","1","2","4","3","3","3","2","1","0","0","0","0","0","0","0","0","0"
"0725","0","0","0","0","0","0","0","0","0","1","2","2","2","2","1","1","0","0","0","0","0","0","0","0"
"0726","0","0","0","0","0","0","0","1","2","2","3","4","4","3","2","2","1","0","0","0","0","0","0","0"
"0727","0","0","0","0","0","0","0","0","1","2","2","1","1","2","2","2","1","0","0","0","0","0","0","0"
"0728","0","0","0","0","0","0","0","2","4","8","11","13","13","11","8","5","2","0","0","0","0","0","0","0"
"0729","0","0","0","0","0","0","0","2","3","4","7","9","12","8","2","0","0","0","0","0","0","0","0","0"
"0730","0","0","0","0","0","0","0","2","5","9","12","15","15","13","9","5","2","0","0","0","0","0","0","0"
"0731","0","0","0","0","0","0","1","2","5","9","12","14","15","13","9","5","2","0","0","0","0","0","0","0"
