Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),MonthDate,Hour,Season_weight,Sunlight_time(h),UV,Cloud
20240221070009,0.0,1013.89,23.06,72.65,3844.58,2.85,221,7,0.1,0.2,,
20240221071009,0.07,1014.01,23.39,72.08,6226.67,5.45,221,7,0.1,0.2,,
20240221072009,0.18,1014.2,25.21,64.98,37923.13,231.07,221,7,0.1,0.2,,
20240221073009,0.44,1014.43,30.15,47.94,47846.65,429.49,221,7,0.1,0.2,,
20240221074009,0.02,1014.48,33.74,39.88,56587.0,579.89,221,7,0.1,0.2,,
20240221075009,0.0,1014.58,36.42,34.38,64114.83,716.03,221,7,0.1,0.2,,
20240221080009,0.0,1014.53,38.49,30.8,70927.87,847.34,221,8,0.1,1.0,,
20240221081009,0.0,1014.54,39.64,28.27,77160.33,973.83,221,8,0.1,1.0,,
20240221082009,0.16,1014.63,39.93,27.13,83198.36,1088.65,221,8,0.1,1.0,,
20240221083009,0.06,1014.66,39.55,26.52,89280.97,1198.71,221,8,0.1,1.0,,
20240221084009,0.09,1014.75,40.89,24.88,95518.28,1305.07,221,8,0.1,1.0,,
20240221085009,0.11,1014.79,41.72,24.12,100466.51,1374.89,221,8,0.1,1.0,,
20240222070009,0.0,1014.37,24.4,65.66,4966.58,5.2,222,7,0.1,0.0,,
20240222071009,0.0,1014.44,24.82,64.28,7054.75,10.41,222,7,0.1,0.0,,
20240222072009,0.0,1014.51,25.18,63.22,6536.0,7.41,222,7,0.1,0.0,,
20240222073009,0.0,1014.61,26.0,60.26,14439.25,58.23,222,7,0.1,0.0,,
20240222074009,0.0,1014.7,28.36,53.15,18531.08,70.52,222,7,0.1,0.0,,
20240222075009,0.0,1014.86,30.38,47.75,27815.32,185.08,222,7,0.1,0.0,,
20240222080009,0.08,1014.88,28.47,51.06,13347.67,28.78,222,8,0.1,0.2,,
20240222081009,0.09,1015.0,32.78,42.81,69825.13,868.78,222,8,0.1,0.2,,
20240222082009,0.0,1015.09,37.67,33.11,69305.25,851.56,222,8,0.1,0.2,,
20240222083009,0.23,1015.07,39.27,29.08,78821.72,971.22,222,8,0.1,0.2,,
20240222084009,0.0,1015.15,39.11,28.88,71651.65,913.56,222,8,0.1,0.2,,
20240222085009,0.23,1015.27,42.06,24.56,95049.48,1260.82,222,8,0.1,0.2,,
20240224070009,0.0,1018.81,20.97,75.96,507.75,0.09,224,7,0.1,0.0,,
