Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),MonthDate,Hour,Season_weight,Sunlight_time(h),UV,Cloud
20240304070016 ,0.65,1017.52,22.28,63.15,22740.58,218.68,304,7,0.25,,,
20240304071016 ,1.12,1017.48,23.78,57.21,31276,339.7,304,7,0.25,,,
20240304072016 ,1.57,1017.43,25.27,52.59,40809.1,490.34,304,7,0.25,,,
20240304073016 ,1.38,1017.53,26.73,48.8,50825.69,658.88,304,7,0.25,,,
20240304074016 ,1.05,1017.53,28.72,43.96,57574.75,777.46,304,7,0.25,,,
20240304075016 ,0.66,1017.58,31.17,38.93,64417.79,907.69,304,7,0.25,,,
20240304080016 ,0.86,1017.51,32.87,35.05,72551.16,1067.17,304,8,0.25,,,
20240304081016 ,0.41,1017.49,35.21,31.52,81951.88,1261.67,304,8,0.25,,,
20240304082016 ,0.49,1017.45,37.26,27.8,89109.01,1395.76,304,8,0.25,,,
20240304083016 ,0.57,1017.37,38.13,26.45,93679,1474.02,304,8,0.25,,,
20240304084016 ,0.39,1017.33,39.76,24.2,98935.4,1556.65,304,8,0.25,,,
20240304085016 ,0.41,1017.23,40.66,22.32,102853.84,1584.07,304,8,0.25,,,
20240305070016 ,0.43,1011.78,22.61,71.57,7846.75,11.07,305,7,0.25,,,
20240305071016 ,0.17,1011.69,22.87,70.73,8109.75,10.15,305,7,0.25,,,
20240305072016 ,0.92,1011.55,23.23,69.34,11763.83,22.61,305,7,0.25,,,
20240305073016 ,1.8,1011.31,24.24,66.11,29717.15,268.56,305,7,0.25,,,
20240305074016 ,1.58,1011.23,29.68,50.38,62112.22,880.59,305,7,0.25,,,
20240305075016 ,1.12,1011.13,33.37,40.75,68771.08,1003.07,305,7,0.25,,,
20240305080016 ,0.76,1011.15,36.71,34.11,75875.2,1138.6,305,8,0.25,,,
20240305081016 ,1.66,1011.15,36.9,33.05,83496.11,1292.64,305,8,0.25,,,
20240305082016 ,2,1011.09,36.94,32.74,89109.73,1398.02,305,8,0.25,,,
20240305083016 ,1.32,1010.94,38.92,30.02,93635.88,1416.3,305,8,0.25,,,
20240305084016 ,1.85,1010.89,39.15,28.6,98709.71,1551.71,305,8,0.25,,,
20240305085016 ,1.09,1010.76,40.55,27.22,102162.94,1554.67,305,8,0.25,,,
20240306070016 ,0.08,1010.31,23.95,76.39,4596,4.76,306,7,0.25,,,
20240306071016 ,1.15,1010.77,23.77,79.65,1998.58,1.28,306,7,0.25,,,
20240306072016 ,1.74,1011.02,23.86,82.53,3402.17,2.77,306,7,0.25,,,
20240306073016 ,1.27,1011.15,24.1,82.22,5259.58,6.53,306,7,0.25,,,
20240306074016 ,2.07,1011.4,24.18,81.41,5964.42,7.91,306,7,0.25,,,
20240306075016 ,2.44,1011.68,23.97,82.1,4032.08,4.19,306,7,0.25,,,
20240306080016 ,2.45,1011.92,22.91,87.55,1462.92,0.46,306,8,0.25,,,
20240306081016 ,3.39,1012.19,22.08,90.17,5322.33,5.58,306,8,0.25,,,
20240306082016 ,3.08,1012.3,22.17,88.79,10416.25,20.23,306,8,0.25,,,
20240306083016 ,3.2,1012.46,22.23,87.84,10646.17,21.88,306,8,0.25,,,
20240306084016 ,2.66,1012.69,21.8,88.82,3671.83,2.48,306,8,0.25,,,
