序號,答案
20240117090001,-48.39372
20240117091001,49.1496
20240117092001,86.07466
20240117093001,63.14742
20240117094001,19.04259
20240117095001,19.04259
20240117100001,19.04259
20240117101001,19.04259
20240117102001,21.54234
20240117103001,21.54234
20240117104001,23.11972
20240117105001,23.11972
20240117110001,21.54234
20240117111001,21.54234
20240117112001,21.54234
20240117113001,21.54234
20240117114001,21.54234
20240117115001,21.54234
20240117120001,21.54234
20240117121001,23.11972
20240117122001,21.54234
20240117123001,21.54234
20240117124001,21.54234
20240117125001,21.54234
20240117130001,21.54234
20240117131001,21.54234
20240117132001,21.54234
20240117133001,21.54234
20240117134001,21.54234
20240117135001,21.54234
20240117140001,21.54234
20240117141001,21.54234
20240117142001,21.54234
20240117143001,21.54234
20240117144001,68.272
20240117145001,68.272
20240117150001,68.272
20240117151001,68.272
20240117152001,68.272
20240117153001,65.83282
20240117154001,65.83282
20240117155001,68.272
20240117160001,65.83282
20240117161001,53.93492
20240117162001,51.24952
20240117163001,-29.78033
20240117164001,-26.54148
20240117165001,-29.78033
20240119090001,-48.39372
20240119091001,-53.2283
20240119092001,-17.88246
20240119093001,-17.88246
20240119094001,19.04259
20240119095001,19.04259
20240119100001,19.04259
20240119101001,19.10316
20240119102001,21.54234
20240119103001,23.11972
20240119104001,23.11972
20240119105001,23.11972
20240119110001,21.54234
20240119111001,21.54234
20240119112001,21.54234
20240119113001,21.54234
20240119114001,21.54234
20240119115001,21.54234
20240119120001,21.54234
20240119121001,23.11972
20240119122001,21.54234
20240119123001,21.54234
20240119124001,21.54234
20240119125001,21.54234
20240119130001,21.54234
20240119131001,21.54234
20240119132001,21.54234
20240119133001,21.54234
20240119134001,21.54234
20240119135001,21.54234
20240119140001,21.54234
20240119141001,21.54234
20240119142001,21.54234
20240119143001,21.54234
20240119144001,68.272
20240119145001,68.272
20240119150001,68.272
20240119151001,68.272
20240119152001,68.272
20240119153001,65.83282
20240119154001,65.83282
20240119155001,68.272
20240119160001,65.83282
20240119161001,53.93492
20240119162001,51.24952
20240119163001,-29.78033
20240119164001,-26.54148
20240119165001,-29.78033
20240224090001,-48.39372
20240224091001,49.1496
20240224092001,132.8043
20240224093001,63.14742
20240224094001,19.04259
20240224095001,19.04259
20240224100001,19.04259
20240224101001,19.10316
20240224102001,21.54234
20240224103001,23.11972
20240224104001,43.68887
20240224105001,32.51757
20240224110001,21.54234
20240224111001,21.54234
20240224112001,21.54234
20240224113001,21.54234
20240224114001,21.54234
20240224115001,21.54234
20240224120001,21.54234
20240224121001,23.11972
20240224122001,21.54234
20240224123001,21.54234
20240224124001,21.54234
20240224125001,21.54234
20240224130001,21.54234
20240224131001,21.54234
20240224132001,21.54234
