序號,答案
20240117090001,72.262
20240117091001,62.462
20240117092001,70.04
20240117093001,131.43
20240117094001,141.27
20240117095001,98.884
20240117100001,81.968
20240117101001,113.11
20240117102001,152.006
20240117103001,152.006
20240117104001,126.686
20240117105001,126.686
20240117110001,16.522
20240117111001,16.522
20240117112001,23.15
20240117113001,16.522
20240117114001,16.522
20240117115001,16.522
20240117120001,207.266
20240117121001,264.662
20240117122001,130.8
20240117123001,150.904
20240117124001,223.098
20240117125001,223.098
20240117130001,224.314
20240117131001,310.22
20240117132001,36.148
20240117133001,25.022
20240117134001,17.4
20240117135001,17.4
20240117140001,20.418
20240117141001,20.418
20240117142001,28.264
20240117143001,32.602
20240117144001,48.014
20240117145001,43.282
20240117150001,67.828
20240117151001,64.638
20240117152001,64.638
20240117153001,64.638
20240117154001,64.638
20240117155001,41.052
20240117160001,41.214
20240117161001,41.214
20240117162001,45.846
20240117163001,45.846
20240117164001,45.846
20240117165001,45.846
20240119090001,51.346
20240119091001,68.46
20240119092001,70.04
20240119093001,65.334
20240119094001,141.606
20240119095001,98.884
20240119100001,110.89
20240119101001,113.11
20240119102001,152.006
20240119103001,152.006
20240119104001,126.686
20240119105001,40.83
20240119110001,16.522
20240119111001,16.522
20240119112001,23.15
20240119113001,16.522
20240119114001,16.522
20240119115001,16.522
20240119120001,207.266
20240119121001,264.662
20240119122001,130.8
20240119123001,150.904
20240119124001,223.098
20240119125001,223.098
20240119130001,224.314
20240119131001,310.22
20240119132001,36.148
20240119133001,25.022
20240119134001,17.4
20240119135001,17.4
20240119140001,20.418
20240119141001,20.418
20240119142001,28.264
20240119143001,32.602
20240119144001,48.014
20240119145001,43.282
20240119150001,67.828
20240119151001,64.638
20240119152001,64.638
20240119153001,64.638
20240119154001,64.638
20240119155001,41.052
20240119160001,41.214
20240119161001,41.214
20240119162001,45.846
20240119163001,45.846
20240119164001,45.846
20240119165001,45.846
20240224090001,117.47
20240224091001,41.522
20240224092001,61.736
20240224093001,114.484
20240224094001,100.094
20240224095001,98.884
20240224100001,70.754
20240224101001,113.11
20240224102001,152.006
20240224103001,152.006
20240224104001,126.686
20240224105001,126.686
20240224110001,16.522
20240224111001,16.522
20240224112001,23.15
20240224113001,16.522
20240224114001,16.522
20240224115001,16.522
20240224120001,207.266
20240224121001,264.662
20240224122001,130.8
20240224123001,150.904
20240224124001,223.098
20240224125001,223.098
20240224130001,224.314
20240224131001,310.22
20240224132001,36.148
20240224133001,25.022
20240224134001,17.4
20240224135001,17.4
20240224140001,20.418
20240224141001,20.418
20240224142001,28.264
20240224143001,32.602
20240224144001,48.014
20240224145001,43.282
20240224150001,67.828
20240224151001,64.638
20240224152001,64.638
20240224153001,64.638
20240224154001,64.638
20240224155001,41.052
20240224160001,41.214
20240224161001,41.214
20240224162001,45.846
20240224163001,45.846
20240224164001,45.846
20240224165001,45.846
20240226090001,71.49
20240226091001,84.582
20240226092001,73.668
20240226093001,157.318
20240226094001,100.094
20240226095001,98.884
20240226100001,87.918
20240226101001,113.11
20240226102001,152.006
20240226103001,152.006
20240226104001,90.138
20240226105001,111.276
20240226110001,16.522
20240226111001,16.522
20240226112001,23.15
20240226113001,16.522
20240226114001,16.522
20240226115001,16.522
20240226120001,207.266
20240226121001,264.662
20240226122001,130.8
20240226123001,150.904
20240226124001,223.098
20240226125001,223.098
20240226130001,224.314
20240226131001,310.22
20240226132001,36.148
20240226133001,25.022
20240226134001,17.4
20240226135001,17.4
20240226140001,20.418
20240226141001,20.418
20240226142001,28.264
20240226143001,32.602
20240226144001,48.014
20240226145001,43.282
20240226150001,67.828
20240226151001,64.638
20240226152001,64.638
20240226153001,64.638
20240226154001,64.638
20240226155001,41.052
20240226160001,41.214
20240226161001,41.214
20240226162001,45.846
20240226163001,45.846
20240226164001,45.846
20240226165001,45.846
20240327090001,76.684
20240327091001,37.274
20240327092001,64.808
20240327093001,47.606
20240327094001,64.494
20240327095001,75.072
20240327100001,37.676
20240327101001,113.11
20240327102001,127.646
20240327103001,127.646
20240327104001,90.138
20240327105001,131.428
20240327110001,16.522
20240327111001,16.522
20240327112001,23.15
20240327113001,16.522
20240327114001,16.522
20240327115001,16.522
20240327120001,207.266
20240327121001,264.662
20240327122001,130.8
20240327123001,150.904
20240327124001,223.098
20240327125001,223.098
20240327130001,224.314
20240327131001,310.22
20240327132001,36.148
20240327133001,25.022
20240327134001,17.4
20240327135001,17.4
20240327140001,20.418
20240327141001,20.418
20240327142001,28.264
20240327143001,32.602
20240327144001,48.014
20240327145001,43.282
20240327150001,67.828
20240327151001,64.638
20240327152001,64.638
20240327153001,64.638
20240327154001,64.638
20240327155001,41.052
20240327160001,41.214
20240327161001,41.214
20240327162001,45.846
20240327163001,45.846
20240327164001,45.846
20240327165001,45.846
20240329090001,67.532
20240329091001,48.236
20240329092001,72.03
20240329093001,47.606
20240329094001,97.62
20240329095001,98.884
20240329100001,23.64
20240329101001,113.11
20240329102001,127.646
20240329103001,127.646
20240329104001,90.138
20240329105001,91.46
20240329110001,16.522
20240329111001,16.522
20240329112001,23.15
20240329113001,16.522
20240329114001,16.522
20240329115001,16.522
20240329120001,207.266
20240329121001,264.662
20240329122001,130.8
20240329123001,150.904
20240329124001,223.098
20240329125001,223.098
20240329130001,224.314
20240329131001,310.22
20240329132001,36.148
20240329133001,25.022
20240329134001,17.4
20240329135001,17.4
20240329140001,20.418
20240329141001,20.418
20240329142001,28.264
20240329143001,32.602
20240329144001,48.014
20240329145001,43.282
20240329150001,67.828
20240329151001,64.638
20240329152001,64.638
20240329153001,64.638
20240329154001,64.638
20240329155001,41.052
20240329160001,41.214
20240329161001,41.214
20240329162001,45.846
20240329163001,45.846
20240329164001,45.846
20240329165001,45.846
20240428090001,302.956
20240428091001,46.458
20240428092001,64.808
20240428093001,41.522
20240428094001,64.494
20240428095001,75.072
20240428100001,65.32
20240428101001,105.394
20240428102001,127.646
20240428103001,127.646
20240428104001,116.508
20240428105001,152.006
20240428110001,16.522
20240428111001,16.522
20240428112001,23.15
20240428113001,16.522
20240428114001,16.522
20240428115001,16.522
20240428120001,207.266
20240428121001,264.662
20240428122001,130.8
20240428123001,150.904
20240428124001,223.098
20240428125001,223.098
20240428130001,224.314
20240428131001,310.22
20240428132001,36.148
20240428133001,25.022
20240428134001,17.4
20240428135001,17.4
20240428140001,20.418
20240428141001,20.418
20240428142001,28.264
20240428143001,32.602
20240428144001,48.014
20240428145001,43.282
20240428150001,67.828
20240428151001,64.638
20240428152001,64.638
20240428153001,64.638
20240428154001,64.638
20240428155001,41.052
20240428160001,41.214
20240428161001,41.214
20240428162001,45.846
20240428163001,45.846
20240428164001,45.846
20240428165001,45.846
20240430090001,526.2
20240430091001,87.592
20240430092001,41.89
20240430093001,39.186
20240430094001,158.312
20240430095001,141.27
20240430100001,36.716
20240430101001,113.11
20240430102001,152.006
20240430103001,152.006
20240430104001,152.006
20240430105001,131.428
20240430110001,16.522
20240430111001,16.522
20240430112001,23.15
20240430113001,16.522
20240430114001,16.522
20240430115001,16.522
20240430120001,207.266
20240430121001,264.662
20240430122001,130.8
20240430123001,150.904
20240430124001,223.098
20240430125001,223.098
20240430130001,224.314
20240430131001,310.22
20240430132001,36.148
20240430133001,25.022
20240430134001,17.4
20240430135001,17.4
20240430140001,20.418
20240430141001,20.418
20240430142001,28.264
20240430143001,32.602
20240430144001,48.014
20240430145001,43.282
20240430150001,67.828
20240430151001,64.638
20240430152001,64.638
20240430153001,64.638
20240430154001,64.638
20240430155001,41.052
20240430160001,41.214
20240430161001,41.214
20240430162001,45.846
20240430163001,45.846
20240430164001,45.846
20240430165001,45.846
20240515090001,998.03
20240515091001,662.706
20240515092001,104.964
20240515093001,123.14
20240515094001,228.908
20240515095001,141.27
20240515100001,65.32
20240515101001,113.11
20240515102001,152.006
20240515103001,152.006
20240515104001,152.006
20240515105001,157.228
20240515110001,16.522
20240515111001,16.522
20240515112001,23.15
20240515113001,16.522
20240515114001,16.522
20240515115001,16.522
20240515120001,207.266
20240515121001,264.662
20240515122001,130.8
20240515123001,150.904
20240515124001,223.098
20240515125001,223.098
20240515130001,224.314
20240515131001,310.22
20240515132001,36.148
20240515133001,25.022
20240515134001,17.4
20240515135001,17.4
20240515140001,20.418
20240515141001,20.418
20240515142001,28.264
20240515143001,32.602
20240515144001,48.014
20240515145001,43.282
20240515150001,67.828
20240515151001,64.638
20240515152001,64.638
20240515153001,64.638
20240515154001,64.638
20240515155001,41.052
20240515160001,41.214
20240515161001,41.214
20240515162001,45.846
20240515163001,45.846
20240515164001,45.846
20240515165001,45.846
20240520090001,489.09
20240520091001,181.528
20240520092001,92.526
20240520093001,78.996
20240520094001,97.62
20240520095001,79.196
20240520100001,48.49
20240520101001,93.726
20240520102001,152.006
