序號,答案
20240117090001,89.51685
20240117091001,32.88485
20240117092001,31.40896
20240117093001,62.8569
20240117094001,141.63329
20240117095001,193.15743
20240117100001,196.44932
20240117101001,244.40709
20240117102001,393.13523
20240117103001,596.17315
20240117104001,910.29181
20240117105001,1226.02841
20240117110001,1450.87371
20240117111001,1461.81498
20240117112001,1393.0485
20240117113001,1372.75113
20240117114001,1204.50055
20240117115001,874.52279
20240117120001,801.78136
20240117121001,702.76348
20240117122001,568.46459
20240117123001,454.96026
20240117124001,375.66936
20240117125001,344.04255
20240117130001,291.03689
20240117131001,128.61483
20240117132001,91.50255
20240117133001,72.31048
20240117134001,83.68262
20240117135001,201.6139
20240117140001,395.90261
20240117141001,641.33519
20240117142001,448.8307
20240117143001,383.07957
20240117144001,336.87576
20240117145001,309.05729
20240117150001,330.97215
20240117151001,381.3159
20240117152001,257.47355
20240117153001,242.22493
20240117154001,220.83372
20240117155001,51.51119
20240117160001,36.68221
20240117161001,49.95751
20240117162001,76.8273
20240117163001,189.23846
20240117164001,225.11378
20240117165001,32.15202
20240119090001,10.6668
20240119091001,6.8006
20240119092001,10.18607
20240119093001,33.02915
20240119094001,205.62207
20240119095001,296.54484
20240119100001,210.98268
20240119101001,262.16376
20240119102001,384.13778
20240119103001,556.30894
20240119104001,926.42873
20240119105001,1167.53334
20240119110001,1450.87371
20240119111001,1461.81498
20240119112001,1393.0485
20240119113001,1372.75113
20240119114001,1204.50055
20240119115001,874.52279
20240119120001,801.78136
20240119121001,702.76348
20240119122001,568.46459
20240119123001,454.96026
20240119124001,375.66936
20240119125001,344.04255
20240119130001,291.03689
20240119131001,128.61483
20240119132001,91.50255
20240119133001,72.31048
20240119134001,83.68262
20240119135001,201.6139
20240119140001,395.90261
20240119141001,641.33519
20240119142001,448.8307
20240119143001,383.07957
20240119144001,336.87576
20240119145001,309.05729
20240119150001,330.97215
20240119151001,381.3159
20240119152001,257.47355
20240119153001,242.22493
20240119154001,220.83372
20240119155001,51.51119
20240119160001,36.68221
20240119161001,49.95751
20240119162001,76.8273
20240119163001,189.23846
20240119164001,225.11378
20240119165001,32.15202
20240224090001,102.32849
20240224091001,36.0178
20240224092001,34.44746
20240224093001,42.09238
20240224094001,103.74757
20240224095001,190.71646
20240224100001,161.86359
20240224101001,234.26246
20240224102001,390.34793
20240224103001,609.92763
20240224104001,906.60306
20240224105001,1181.60373
20240224110001,1450.87371
20240224111001,1461.81498
20240224112001,1393.0485
20240224113001,1372.75113
20240224114001,1204.50055
20240224115001,874.52279
20240224120001,801.78136
20240224121001,702.76348
20240224122001,568.46459
20240224123001,454.96026
20240224124001,375.66936
20240224125001,344.04255
20240224130001,291.03689
20240224131001,128.61483
20240224132001,91.50255
20240224133001,72.31048
20240224134001,83.68262
20240224135001,201.6139
20240224140001,395.90261
20240224141001,641.33519
20240224142001,448.8307
20240224143001,383.07957
20240224144001,336.87576
20240224145001,309.05729
20240224150001,330.97215
20240224151001,381.3159
20240224152001,257.47355
20240224153001,242.22493
20240224154001,220.83372
20240224155001,51.51119
20240224160001,36.68221
20240224161001,49.95751
20240224162001,76.8273
20240224163001,189.23846
20240224164001,225.11378
20240224165001,32.15202
20240226090001,76.60733
20240226091001,46.81843
20240226092001,52.62376
20240226093001,49.41668
20240226094001,110.72579
20240226095001,210.42743
20240226100001,172.25696
20240226101001,231.45714
20240226102001,365.6619
20240226103001,597.92628
20240226104001,906.17837
20240226105001,1191.82241
20240226110001,1450.87371
20240226111001,1461.81498
20240226112001,1393.0485
20240226113001,1372.75113
20240226114001,1204.50055
20240226115001,874.52279
20240226120001,801.78136
20240226121001,702.76348
20240226122001,568.46459
20240226123001,454.96026
20240226124001,375.66936
20240226125001,344.04255
20240226130001,291.03689
20240226131001,128.61483
20240226132001,91.50255
20240226133001,72.31048
20240226134001,83.68262
20240226135001,201.6139
20240226140001,395.90261
20240226141001,641.33519
20240226142001,448.8307
20240226143001,383.07957
20240226144001,336.87576
20240226145001,309.05729
20240226150001,330.97215
20240226151001,381.3159
20240226152001,257.47355
20240226153001,242.22493
20240226154001,220.83372
20240226155001,51.51119
20240226160001,36.68221
20240226161001,49.95751
20240226162001,76.8273
20240226163001,189.23846
20240226164001,225.11378
20240226165001,32.15202
20240327090001,178.57282
20240327091001,14.12646
20240327092001,10.56309
20240327093001,10.6206
20240327094001,41.91046
20240327095001,160.23682
20240327100001,207.99639
20240327101001,244.11129
20240327102001,399.27394
20240327103001,609.23979
20240327104001,905.09192
20240327105001,1178.0111
20240327110001,1450.87371
20240327111001,1461.81498
20240327112001,1393.0485
20240327113001,1372.75113
20240327114001,1204.50055
20240327115001,874.52279
20240327120001,801.78136
20240327121001,702.76348
20240327122001,568.46459
20240327123001,454.96026
20240327124001,375.66936
20240327125001,344.04255
20240327130001,291.03689
20240327131001,128.61483
20240327132001,91.50255
20240327133001,72.31048
20240327134001,83.68262
20240327135001,201.6139
20240327140001,395.90261
20240327141001,641.33519
20240327142001,448.8307
20240327143001,383.07957
20240327144001,336.87576
20240327145001,309.05729
20240327150001,330.97215
20240327151001,381.3159
20240327152001,257.47355
20240327153001,242.22493
20240327154001,220.83372
20240327155001,51.51119
20240327160001,36.68221
20240327161001,49.95751
20240327162001,76.8273
20240327163001,189.23846
20240327164001,225.11378
20240327165001,32.15202
20240329090001,151.37782
20240329091001,32.09258
20240329092001,10.63843
20240329093001,-1.64873
20240329094001,28.01564
20240329095001,190.24017
20240329100001,225.89484
20240329101001,244.27568
20240329102001,389.90728
20240329103001,564.56822
20240329104001,910.18144
20240329105001,1133.36282
20240329110001,1450.87371
20240329111001,1461.81498
20240329112001,1393.0485
20240329113001,1372.75113
20240329114001,1204.50055
20240329115001,874.52279
20240329120001,801.78136
20240329121001,702.76348
20240329122001,568.46459
20240329123001,454.96026
20240329124001,375.66936
20240329125001,344.04255
20240329130001,291.03689
20240329131001,128.61483
20240329132001,91.50255
20240329133001,72.31048
20240329134001,83.68262
20240329135001,201.6139
20240329140001,395.90261
20240329141001,641.33519
20240329142001,448.8307
20240329143001,383.07957
20240329144001,336.87576
20240329145001,309.05729
20240329150001,330.97215
20240329151001,381.3159
20240329152001,257.47355
20240329153001,242.22493
20240329154001,220.83372
20240329155001,51.51119
20240329160001,36.68221
20240329161001,49.95751
20240329162001,76.8273
20240329163001,189.23846
20240329164001,225.11378
20240329165001,32.15202
20240428090001,171.85947
20240428091001,10.42895
20240428092001,10.58043
20240428093001,19.06315
20240428094001,31.20062
20240428095001,132.81564
20240428100001,198.67759
20240428101001,244.64637
20240428102001,403.22175
20240428103001,610.5115
20240428104001,907.58885
20240428105001,1179.20963
20240428110001,1450.87371
20240428111001,1461.81498
20240428112001,1393.0485
20240428113001,1372.75113
20240428114001,1204.50055
20240428115001,874.52279
20240428120001,801.78136
20240428121001,702.76348
20240428122001,568.46459
20240428123001,454.96026
20240428124001,375.66936
20240428125001,344.04255
20240428130001,291.03689
20240428131001,128.61483
20240428132001,91.50255
20240428133001,72.31048
20240428134001,83.68262
20240428135001,201.6139
20240428140001,395.90261
20240428141001,641.33519
20240428142001,448.8307
20240428143001,383.07957
20240428144001,336.87576
20240428145001,309.05729
20240428150001,330.97215
20240428151001,381.3159
20240428152001,257.47355
20240428153001,242.22493
20240428154001,220.83372
20240428155001,51.51119
20240428160001,36.68221
20240428161001,49.95751
20240428162001,76.8273
20240428163001,189.23846
20240428164001,225.11378
20240428165001,32.15202
20240430090001,795.20199
20240430091001,220.58531
20240430092001,115.4121
20240430093001,248.99168
20240430094001,319.02919
20240430095001,241.72865
20240430100001,234.6859
20240430101001,274.55281
20240430102001,374.51707
20240430103001,617.87684
20240430104001,1017.10251
20240430105001,1221.95626
20240430110001,1450.87371
20240430111001,1461.81498
20240430112001,1393.0485
20240430113001,1372.75113
20240430114001,1204.50055
20240430115001,874.52279
20240430120001,801.78136
20240430121001,702.76348
20240430122001,568.46459
20240430123001,454.96026
20240430124001,375.66936
20240430125001,344.04255
20240430130001,291.03689
20240430131001,128.61483
20240430132001,91.50255
20240430133001,72.31048
20240430134001,83.68262
20240430135001,201.6139
20240430140001,395.90261
20240430141001,641.33519
20240430142001,448.8307
20240430143001,383.07957
20240430144001,336.87576
20240430145001,309.05729
20240430150001,330.97215
20240430151001,381.3159
20240430152001,257.47355
20240430153001,242.22493
20240430154001,220.83372
20240430155001,51.51119
20240430160001,36.68221
20240430161001,49.95751
20240430162001,76.8273
20240430163001,189.23846
20240430164001,225.11378
20240430165001,32.15202
20240515090001,1761.77459
20240515091001,174.40658
20240515092001,16.86892
20240515093001,50.42338
20240515094001,44.06653
20240515095001,52.91065
20240515100001,190.50027
20240515101001,234.56761
20240515102001,360.43239
20240515103001,559.41349
20240515104001,887.38675
20240515105001,1281.30554
20240515110001,1450.87371
20240515111001,1461.81498
20240515112001,1393.0485
20240515113001,1372.75113
20240515114001,1204.50055
20240515115001,874.52279
20240515120001,801.78136
20240515121001,702.76348
20240515122001,568.46459
20240515123001,454.96026
20240515124001,375.66936
20240515125001,344.04255
20240515130001,291.03689
20240515131001,128.61483
20240515132001,91.50255
20240515133001,72.31048
20240515134001,83.68262
20240515135001,201.6139
20240515140001,395.90261
20240515141001,641.33519
