序號,答案
20240117090001,166.29865
20240117091001,350.35137
20240117092001,577.77103
20240117093001,804.51409
20240117094001,1029.5531
20240117095001,938.6901
20240117100001,231.5065
20240117101001,231.55558
20240117102001,202.29606
20240117103001,99.49738
20240117104001,62.74902
20240117105001,55.16845
20240117110001,43.76722
20240117111001,42.23641
20240117112001,28.47588
20240117113001,25.28147
20240117114001,17.97012
20240117115001,16.28152
20240117120001,7.89822
20240117121001,11.57179
20240117122001,11.50847
20240117123001,10.82736
20240117124001,10.28656
20240117125001,9.19224
20240117130001,4.05917
20240117131001,4.5637
20240117132001,4.59001
20240117133001,4.52765
20240117134001,4.53075
20240117135001,4.41224
20240117140001,2.49516
20240117141001,2.52173
20240117142001,2.48938
20240117143001,2.66469
20240117144001,2.63524
20240117145001,2.69783
20240117150001,2.291
20240117151001,2.26262
20240117152001,2.26249
20240117153001,3.58088
20240117154001,3.78487
20240117155001,3.82891
20240117160001,27.99169
20240117161001,35.39266
20240117162001,50.14237
20240117163001,58.8696
20240117164001,130.52807
20240117165001,257.44522
20240119090001,341.11535
20240119091001,399.18061
20240119092001,495.6008
20240119093001,721.26651
20240119094001,596.07641
20240119095001,161.94009
20240119100001,50.80463
20240119101001,123.92926
20240119102001,209.93061
20240119103001,90.78479
20240119104001,75.89679
20240119105001,51.09842
20240119110001,43.76722
20240119111001,42.23641
20240119112001,28.47588
20240119113001,25.28147
20240119114001,17.97012
20240119115001,16.28152
20240119120001,7.89822
20240119121001,11.57179
20240119122001,11.50847
20240119123001,10.82736
20240119124001,10.28656
20240119125001,9.19224
20240119130001,4.05917
20240119131001,4.5637
20240119132001,4.59001
20240119133001,4.52765
20240119134001,4.53075
20240119135001,4.41224
20240119140001,2.49516
20240119141001,2.52173
20240119142001,2.48938
20240119143001,2.66469
20240119144001,2.63524
20240119145001,2.69783
20240119150001,2.291
20240119151001,2.26262
20240119152001,2.26249
20240119153001,3.58088
20240119154001,3.78487
20240119155001,3.82891
20240119160001,27.99169
20240119161001,35.39266
20240119162001,50.14237
20240119163001,58.8696
20240119164001,130.52807
20240119165001,257.44522
20240224090001,113.96541
20240224091001,375.85649
20240224092001,562.06539
20240224093001,806.4089
20240224094001,1089.74076
20240224095001,673.75046
20240224100001,217.92889
20240224101001,216.81308
20240224102001,167.89839
20240224103001,97.47144
20240224104001,61.72569
20240224105001,55.98696
20240224110001,43.76722
20240224111001,42.23641
20240224112001,28.47588
20240224113001,25.28147
20240224114001,17.97012
20240224115001,16.28152
20240224120001,7.89822
20240224121001,11.57179
20240224122001,11.50847
