序號,答案
20240117090001,529.51413
20240117091001,351.47524
20240117092001,428.66986
20240117093001,647.57463
20240117094001,774.83573
20240117095001,796.80416
20240117100001,581.96266
20240117101001,577.11564
20240117102001,632.36171
20240117103001,711.14495
20240117104001,793.51659
20240117105001,783.79628
20240117110001,796.43388
20240117111001,809.17628
20240117112001,913.66601
20240117113001,1037.32117
20240117114001,1367.6511
20240117115001,1121.96606
20240117120001,808.4237
20240117121001,689.67043
20240117122001,712.13504
20240117123001,604.95921
20240117124001,533.47001
20240117125001,450.92276
20240117130001,357.69829
20240117131001,386.36777
20240117132001,201.08077
20240117133001,220.13943
20240117134001,265.33953
20240117135001,317.27124
20240117140001,364.8983
20240117141001,296.75822
20240117142001,201.9176
20240117143001,112.9719
20240117144001,65.0457
20240117145001,34.71428
20240117150001,7.78489
20240117151001,2.50012
20240117152001,-14.03255
20240117153001,-44.01596
20240117154001,-65.25403
20240117155001,-92.02534
20240117160001,-130.50852
20240117161001,41.24623
20240117162001,54.84123
20240117163001,119.3458
20240117164001,150.33045
20240117165001,187.01111
20240119090001,472.25143
20240119091001,384.49481
20240119092001,455.05336
20240119093001,511.72566
20240119094001,747.41461
20240119095001,678.23905
20240119100001,851.0107
20240119101001,827.10824
20240119102001,834.12211
20240119103001,844.552
20240119104001,907.86964
20240119105001,814.77002
20240119110001,796.43388
20240119111001,809.17628
20240119112001,913.66601
20240119113001,1037.32117
20240119114001,1367.6511
20240119115001,1121.96606
20240119120001,808.4237
20240119121001,689.67043
20240119122001,712.13504
20240119123001,604.95921
20240119124001,533.47001
20240119125001,450.92276
20240119130001,357.69829
20240119131001,386.36777
20240119132001,201.08077
20240119133001,220.13943
20240119134001,265.33953
20240119135001,317.27124
20240119140001,364.8983
20240119141001,296.75822
20240119142001,201.9176
20240119143001,112.9719
20240119144001,65.0457
20240119145001,34.71428
20240119150001,7.78489
20240119151001,2.50012
20240119152001,-14.03255
20240119153001,-44.01596
20240119154001,-65.25403
20240119155001,-92.02534
20240119160001,-130.50852
20240119161001,41.24623
20240119162001,54.84123
20240119163001,119.3458
20240119164001,150.33045
20240119165001,187.01111
20240224090001,187.40741
20240224091001,298.72452
20240224092001,299.51275
20240224093001,540.89339
20240224094001,704.8295
20240224095001,660.7132
20240224100001,624.44671
20240224101001,454.08504
20240224102001,611.72868
20240224103001,751.99222
20240224104001,797.8474
20240224105001,783.09449
20240224110001,796.43388
20240224111001,809.17628
20240224112001,913.66601
20240224113001,1037.32117
20240224114001,1367.6511
20240224115001,1121.96606
20240224120001,808.4237
20240224121001,689.67043
20240224122001,712.13504
20240224123001,604.95921
20240224124001,533.47001
20240224125001,450.92276
20240224130001,357.69829
20240224131001,386.36777
20240224132001,201.08077
20240224133001,220.13943
20240224134001,265.33953
20240224135001,317.27124
20240224140001,364.8983
20240224141001,296.75822
20240224142001,201.9176
20240224143001,112.9719
20240224144001,65.0457
20240224145001,34.71428
20240224150001,7.78489
20240224151001,2.50012
20240224152001,-14.03255
20240224153001,-44.01596
20240224154001,-65.25403
20240224155001,-92.02534
20240224160001,-130.50852
20240224161001,41.24623
20240224162001,54.84123
20240224163001,119.3458
20240224164001,150.33045
20240224165001,187.01111
20240226090001,215.05191
20240226091001,256.12121
20240226092001,216.6109
20240226093001,453.28353
20240226094001,607.37169
20240226095001,572.42892
20240226100001,540.41204
20240226101001,414.67511
20240226102001,578.62345
20240226103001,726.92326
20240226104001,773.38176
20240226105001,775.42205
20240226110001,796.43388
20240226111001,809.17628
20240226112001,913.66601
20240226113001,1037.32117
20240226114001,1367.6511
20240226115001,1121.96606
