0,1,2,3,4
GRU,Linear,128,200,3126511.6
Transformer,GradientBoostingRegressor,128,150,3146643.0199999996
Transformer,Lasso,128,200,3168696.72
GRU,GradientBoostingRegressor,128,50,3172263.59
Simple RNN,ExtraTreesRegressor,128,200,3193151.2199999997
Transformer,CatBoost,128,150,3197099.61
Transformer,ExtraTreesRegressor,128,250,3205423.9
GRU,Lasso,128,50,3210659.5900000003
Transformer,Linear,128,100,3211151.5400000005
Transformer,LightGBM,128,150,3225337.12
Transformer,ElasticNet,128,100,3229005.94
Bidirectional LSTM,KnnRegression,128,200,3230387.6899999995
Transformer,Linear,128,50,3232789.4000000004
Transformer,XGBoost,128,150,3233205.76
Bidirectional LSTM,KnnRegression,128,50,3235214.43
Bidirectional LSTM,KnnRegression,128,250,3239072.18
GRU,Ridge,128,50,3240468.25
Transformer,GradientBoostingRegressor,128,200,3243315.23
GRU,Linear,128,100,3243770.9399999995
Bidirectional LSTM,VotingRegressor,128,50,3247570.5300000003
Transformer,VotingRegressor,128,50,3250847.54
GRU,Linear,128,50,3257663.6800000006
Transformer,ExtraTreesRegressor,128,100,3260304.35
GRU,CatBoost,128,100,3266134.05
Transformer,XGBoost,128,100,3274471.9400000004
GRU,VotingRegressor,128,200,3276011.49
Transformer,VotingRegressor,128,250,3277055.74
Transformer,SupportVectorRegressor,128,250,3281081.0600000005
GRU,Ridge,128,250,3282028.18
Transformer,LightGBM,128,100,3282193.04
Bidirectional LSTM,ExtraTreesRegressor,128,50,3285647.65
GRU,ElasticNet,128,100,3289262.05
Transformer,Lasso,128,250,3289600.38
GRU,ExtraTreesRegressor,128,200,3290356.37
Transformer,Ridge,128,50,3292685.38
Simple RNN,ExtraTreesRegressor,128,50,3296850.42
GRU,XGBoost,128,50,3298255.4099999997
Transformer,SupportVectorRegressor,128,50,3311837.6100000003
GRU,GradientBoostingRegressor,128,100,3312874.87
GRU,Huber,128,100,3314377.3000000003
Bidirectional LSTM,KnnRegression,128,100,3315353.88
Transformer,Huber,128,150,3326192.9699999997
GRU,Lasso,128,100,3326486.0
Transformer,Linear,128,200,3327526.42
Transformer,XGBoost,128,200,3329887.0799999996
GRU,ExtraTreesRegressor,128,250,3330632.15
GRU,ElasticNet,128,50,3339635.85
Transformer,ExtraTreesRegressor,128,50,3344487.98
GRU,ExtraTreesRegressor,128,150,3345819.02
Bidirectional LSTM,KnnRegression,128,150,3346541.8200000003
Bidirectional LSTM,ExtraTreesRegressor,128,100,3354662.27
Transformer,VotingRegressor,128,100,3356916.75
GRU,Huber,128,200,3357230.5999999996
GRU,RandomForestRegressor,128,250,3359567.74
Transformer,KnnRegression,128,50,3373929.26
Transformer,RandomForestRegressor,128,50,3375001.5300000003
Transformer,LightGBM,128,250,3378077.8
GRU,KnnRegression,128,100,3379102.5
Transformer,ExtraTreesRegressor,128,150,3388339.87
GRU,CatBoost,128,50,3390502.16
Transformer,RandomForestRegressor,128,200,3397858.8400000003
GRU,RandomForestRegressor,128,150,3409361.74
GRU,LightGBM,128,50,3409664.3
GRU,Huber,128,50,3419058.3200000003
GRU,XGBoost,128,100,3419277.21
Transformer,Lasso,128,50,3426792.29
Transformer,ElasticNet,128,50,3437981.5599999996
