序號,答案
20240117090001,44.8295
20240117091001,0.1814
20240117092001,0.1629
20240117093001,0.2516
20240117094001,35.7019
20240117095001,34.4255
20240117100001,45.0402
20240117101001,52.372
20240117102001,55.4969
20240117103001,42.8176
20240117104001,17.1902
20240117105001,29.1145
20240117110001,53.8382
20240117111001,75.2308
20240117112001,76.5724
20240117113001,68.52
20240117114001,44.865
20240117115001,23.436
20240117120001,11.0383
20240117121001,3.3826
20240117122001,0.3068
20240117123001,0.0958
20240117124001,0.0732
20240117125001,0.0906
20240117130001,3.1127
20240117131001,10.6224
20240117132001,9.3726
20240117133001,10.8393
20240117134001,11.2195
20240117135001,3.3486
20240117140001,2.6902
20240117141001,4.0304
20240117142001,14.6991
20240117143001,17.5813
20240117144001,23.1909
20240117145001,36.3857
20240117150001,73.0455
20240117151001,128.2375
20240117152001,190.2623
20240117153001,305.119
20240117154001,364.6733
20240117155001,472.4434
20240117160001,648.7487
20240117161001,783.1174
20240117162001,889.9794
20240117163001,843.2938
20240117164001,825.3277
20240117165001,838.5158
20240119090001,18.0941
20240119091001,2.8678
20240119092001,0.2329
20240119093001,1.2871
20240119094001,9.8761
20240119095001,44.0195
20240119100001,68.8007
20240119101001,77.2587
20240119102001,49.7878
20240119103001,41.343
20240119104001,28.103
20240119105001,54.6347
20240119110001,53.8382
20240119111001,75.2308
20240119112001,76.5724
20240119113001,68.52
20240119114001,44.865
20240119115001,23.436
20240119120001,11.0383
20240119121001,3.3826
20240119122001,0.3068
20240119123001,0.0958
20240119124001,0.0732
20240119125001,0.0906
20240119130001,3.1127
20240119131001,10.6224
20240119132001,9.3726
20240119133001,10.8393
20240119134001,11.2195
20240119135001,3.3486
20240119140001,2.6902
20240119141001,4.0304
20240119142001,14.6991
20240119143001,17.5813
20240119144001,23.1909
20240119145001,36.3857
20240119150001,73.0455
20240119151001,128.2375
20240119152001,190.2623
20240119153001,305.119
20240119154001,364.6733
20240119155001,472.4434
20240119160001,648.7487
20240119161001,783.1174
20240119162001,889.9794
20240119163001,843.2938
20240119164001,825.3277
20240119165001,838.5158
20240224090001,16.7406
20240224091001,0.1601
20240224092001,1.774
20240224093001,14.008
20240224094001,39.1573
20240224095001,35.5354
20240224100001,70.4183
20240224101001,38.2894
20240224102001,55.389
20240224103001,45.4819
20240224104001,16.4874
20240224105001,25.1338
20240224110001,53.8382
20240224111001,75.2308
20240224112001,76.5724
20240224113001,68.52
20240224114001,44.865
20240224115001,23.436
20240224120001,11.0383
20240224121001,3.3826
20240224122001,0.3068
20240224123001,0.0958
20240224124001,0.0732
20240224125001,0.0906
20240224130001,3.1127
20240224131001,10.6224
20240224132001,9.3726
20240224133001,10.8393
20240224134001,11.2195
20240224135001,3.3486
20240224140001,2.6902
20240224141001,4.0304
20240224142001,14.6991
20240224143001,17.5813
20240224144001,23.1909
20240224145001,36.3857
20240224150001,73.0455
20240224151001,128.2375
20240224152001,190.2623
20240224153001,305.119
20240224154001,364.6733
20240224155001,472.4434
20240224160001,648.7487
20240224161001,783.1174
20240224162001,889.9794
20240224163001,843.2938
20240224164001,825.3277
20240224165001,838.5158
20240226090001,9.0028
20240226091001,0.1719
20240226092001,0.1949
20240226093001,15.1339
20240226094001,40.6599
20240226095001,35.882
20240226100001,36.1078
20240226101001,34.5712
20240226102001,54.6321
20240226103001,50.6664
20240226104001,18.8942
20240226105001,25.0458
20240226110001,53.8382
20240226111001,75.2308
20240226112001,76.5724
20240226113001,68.52
20240226114001,44.865
20240226115001,23.436
20240226120001,11.0383
20240226121001,3.3826
20240226122001,0.3068
20240226123001,0.0958
20240226124001,0.0732
20240226125001,0.0906
20240226130001,3.1127
20240226131001,10.6224
20240226132001,9.3726
20240226133001,10.8393
20240226134001,11.2195
20240226135001,3.3486
20240226140001,2.6902
20240226141001,4.0304
20240226142001,14.6991
20240226143001,17.5813
20240226144001,23.1909
20240226145001,36.3857
20240226150001,73.0455
20240226151001,128.2375
20240226152001,190.2623
20240226153001,305.119
20240226154001,364.6733
20240226155001,472.4434
20240226160001,648.7487
20240226161001,783.1174
20240226162001,889.9794
20240226163001,843.2938
20240226164001,825.3277
20240226165001,838.5158
20240327090001,0.1517
20240327091001,0.1938
20240327092001,0.1808
20240327093001,0.2217
20240327094001,38.9618
20240327095001,24.1409
20240327100001,46.3156
20240327101001,33.8757
20240327102001,56.8899
20240327103001,60.0958
20240327104001,21.2367
20240327105001,28.0572
20240327110001,53.8382
20240327111001,75.2308
20240327112001,76.5724
20240327113001,68.52
20240327114001,44.865
20240327115001,23.436
20240327120001,11.0383
20240327121001,3.3826
20240327122001,0.3068
20240327123001,0.0958
20240327124001,0.0732
20240327125001,0.0906
20240327130001,3.1127
20240327131001,10.6224
20240327132001,9.3726
20240327133001,10.8393
20240327134001,11.2195
20240327135001,3.3486
20240327140001,2.6902
20240327141001,4.0304
20240327142001,14.6991
20240327143001,17.5813
20240327144001,23.1909
20240327145001,36.3857
20240327150001,73.0455
20240327151001,128.2375
20240327152001,190.2623
20240327153001,305.119
20240327154001,364.6733
20240327155001,472.4434
20240327160001,648.7487
20240327161001,783.1174
20240327162001,889.9794
20240327163001,843.2938
20240327164001,825.3277
20240327165001,838.5158
20240329090001,0.69
20240329091001,0.1671
20240329092001,0.1679
20240329093001,0.1243
20240329094001,7.6684
20240329095001,35.2397
20240329100001,35.9017
20240329101001,57.7505
20240329102001,73.2604
20240329103001,75.4179
20240329104001,29.6282
20240329105001,36.605
20240329110001,53.8382
20240329111001,75.2308
20240329112001,76.5724
20240329113001,68.52
20240329114001,44.865
20240329115001,23.436
20240329120001,11.0383
20240329121001,3.3826
20240329122001,0.3068
20240329123001,0.0958
20240329124001,0.0732
20240329125001,0.0906
20240329130001,3.1127
20240329131001,10.6224
20240329132001,9.3726
20240329133001,10.8393
20240329134001,11.2195
20240329135001,3.3486
20240329140001,2.6902
20240329141001,4.0304
20240329142001,14.6991
20240329143001,17.5813
20240329144001,23.1909
20240329145001,36.3857
20240329150001,73.0455
20240329151001,128.2375
20240329152001,190.2623
20240329153001,305.119
20240329154001,364.6733
20240329155001,472.4434
20240329160001,648.7487
20240329161001,783.1174
20240329162001,889.9794
20240329163001,843.2938
20240329164001,825.3277
20240329165001,838.5158
20240428090001,13.9871
20240428091001,0.1944
20240428092001,0.1784
20240428093001,1.415
20240428094001,48.1894
20240428095001,36.1473
20240428100001,68.5526
20240428101001,40.0388
20240428102001,55.0648
20240428103001,55.1721
20240428104001,15.5435
20240428105001,26.9499
20240428110001,53.8382
20240428111001,75.2308
20240428112001,76.5724
20240428113001,68.52
20240428114001,44.865
20240428115001,23.436
20240428120001,11.0383
20240428121001,3.3826
20240428122001,0.3068
20240428123001,0.0958
20240428124001,0.0732
20240428125001,0.0906
20240428130001,3.1127
20240428131001,10.6224
20240428132001,9.3726
20240428133001,10.8393
20240428134001,11.2195
20240428135001,3.3486
20240428140001,2.6902
20240428141001,4.0304
20240428142001,14.6991
20240428143001,17.5813
20240428144001,23.1909
20240428145001,36.3857
20240428150001,73.0455
20240428151001,128.2375
20240428152001,190.2623
20240428153001,305.119
20240428154001,364.6733
20240428155001,472.4434
20240428160001,648.7487
20240428161001,783.1174
20240428162001,889.9794
20240428163001,843.2938
20240428164001,825.3277
20240428165001,838.5158
20240430090001,936.2351
20240430091001,35.1533
20240430092001,0.1618
20240430093001,0.2954
20240430094001,8.3512
20240430095001,36.2183
20240430100001,61.8837
20240430101001,73.1044
20240430102001,43.7515
20240430103001,37.1399
20240430104001,36.686
20240430105001,56.7239
20240430110001,53.8382
20240430111001,75.2308
20240430112001,76.5724
20240430113001,68.52
20240430114001,44.865
20240430115001,23.436
20240430120001,11.0383
20240430121001,3.3826
20240430122001,0.3068
20240430123001,0.0958
20240430124001,0.0732
20240430125001,0.0906
20240430130001,3.1127
20240430131001,10.6224
20240430132001,9.3726
20240430133001,10.8393
20240430134001,11.2195
20240430135001,3.3486
20240430140001,2.6902
20240430141001,4.0304
20240430142001,14.6991
20240430143001,17.5813
20240430144001,23.1909
20240430145001,36.3857
20240430150001,73.0455
20240430151001,128.2375
20240430152001,190.2623
20240430153001,305.119
20240430154001,364.6733
20240430155001,472.4434
20240430160001,648.7487
20240430161001,783.1174
20240430162001,889.9794
20240430163001,843.2938
20240430164001,825.3277
20240430165001,838.5158
20240515090001,809.5516
20240515091001,2.9516
20240515092001,0.2499
20240515093001,14.5691
20240515094001,48.6829
20240515095001,110.6389
20240515100001,27.2694
20240515101001,8.1687
20240515102001,4.1667
20240515103001,13.7145
20240515104001,22.9682
20240515105001,42.4521
20240515110001,53.8382
20240515111001,75.2308
20240515112001,76.5724
20240515113001,68.52
20240515114001,44.865
20240515115001,23.436
20240515120001,11.0383
20240515121001,3.3826
20240515122001,0.3068
20240515123001,0.0958
20240515124001,0.0732
20240515125001,0.0906
20240515130001,3.1127
20240515131001,10.6224
20240515132001,9.3726
20240515133001,10.8393
20240515134001,11.2195
20240515135001,3.3486
20240515140001,2.6902
20240515141001,4.0304
20240515142001,14.6991
20240515143001,17.5813
20240515144001,23.1909
20240515145001,36.3857
20240515150001,73.0455
20240515151001,128.2375
20240515152001,190.2623
20240515153001,305.119
20240515154001,364.6733
20240515155001,472.4434
20240515160001,648.7487
20240515161001,783.1174
20240515162001,889.9794
20240515163001,843.2938
20240515164001,825.3277
20240515165001,838.5158
20240520090001,170.3675
20240520091001,1.0273
20240520092001,0.2581
20240520093001,0.2062
20240520094001,30.5748
20240520095001,76.8703
20240520100001,101.4149
20240520101001,76.7662
20240520102001,53.9244
20240520103001,37.9443
20240520104001,19.8123
20240520105001,29.7596
20240520110001,53.8382
20240520111001,75.2308
20240520112001,76.5724
20240520113001,68.52
20240520114001,44.865
20240520115001,23.436
20240520120001,11.0383
20240520121001,3.3826
20240520122001,0.3068
20240520123001,0.0958
20240520124001,0.0732
20240520125001,0.0906
20240520130001,3.1127
20240520131001,10.6224
20240520132001,9.3726
20240520133001,10.8393
20240520134001,11.2195
20240520135001,3.3486
20240520140001,2.6902
20240520141001,4.0304
20240520142001,14.6991
20240520143001,17.5813
