序號,答案
20240117090001,204.7792
20240117091001,196.3646
20240117092001,282.2283
20240117093001,370.4981
20240117094001,474.7578
20240117095001,922.5097
20240117100001,1262.9919
20240117101001,1555.6838
20240117102001,1278.836
20240117103001,941.3589
20240117104001,1211.1644
20240117105001,1299.8864
20240117110001,1211.6829
20240117111001,981.4388
20240117112001,861.557
20240117113001,927.3097
20240117114001,962.4761
20240117115001,836.3697
20240117120001,1337.5571
20240117121001,1480.807
20240117122001,1540.1191
20240117123001,107.8133
20240117124001,49.0093
20240117125001,3.7882
20240117130001,0.984
20240117131001,6.1164
20240117132001,10.7546
20240117133001,0.1498
20240117134001,0.618
20240117135001,1.0426
20240117140001,0.9695
20240117141001,0.9221
20240117142001,0.4353
20240117143001,0.1578
20240117144001,0.6766
20240117145001,9.5274
20240117150001,12.8928
20240117151001,6.67
20240117152001,8.1908
20240117153001,0.4794
20240117154001,0.4763
20240117155001,0.5805
20240117160001,0.9434
20240117161001,1.7413
20240117162001,1.8467
20240117163001,175.2746
20240117164001,118.3235
20240117165001,46.5898
20240119090001,430.3517
20240119091001,294.3913
20240119092001,738.4772
20240119093001,777.6394
20240119094001,708.715
20240119095001,755.0267
20240119100001,1227.0462
20240119101001,1507.7111
20240119102001,1371.1364
20240119103001,952.9298
20240119104001,1227.3315
20240119105001,1380.9624
20240119110001,1211.6829
20240119111001,981.4388
20240119112001,861.557
20240119113001,927.3097
20240119114001,962.4761
20240119115001,836.3697
20240119120001,1337.5571
20240119121001,1480.807
20240119122001,1540.1191
20240119123001,107.8133
20240119124001,49.0093
20240119125001,3.7882
20240119130001,0.984
20240119131001,6.1164
20240119132001,10.7546
20240119133001,0.1498
20240119134001,0.618
20240119135001,1.0426
20240119140001,0.9695
20240119141001,0.9221
20240119142001,0.4353
20240119143001,0.1578
20240119144001,0.6766
20240119145001,9.5274
20240119150001,12.8928
20240119151001,6.67
20240119152001,8.1908
20240119153001,0.4794
20240119154001,0.4763
20240119155001,0.5805
20240119160001,0.9434
20240119161001,1.7413
20240119162001,1.8467
20240119163001,175.2746
20240119164001,118.3235
20240119165001,46.5898
20240224090001,56.6433
20240224091001,202.416
20240224092001,138.3985
20240224093001,193.1165
20240224094001,471.5005
20240224095001,854.8936
20240224100001,1174.6554
20240224101001,1431.8004
20240224102001,1301.7326
20240224103001,933.5495
20240224104001,1217.2853
20240224105001,1268.7544
20240224110001,1211.6829
20240224111001,981.4388
20240224112001,861.557
20240224113001,927.3097
20240224114001,962.4761
20240224115001,836.3697
20240224120001,1337.5571
20240224121001,1480.807
20240224122001,1540.1191
20240224123001,107.8133
20240224124001,49.0093
20240224125001,3.7882
20240224130001,0.984
20240224131001,6.1164
20240224132001,10.7546
20240224133001,0.1498
20240224134001,0.618
20240224135001,1.0426
20240224140001,0.9695
20240224141001,0.9221
20240224142001,0.4353
20240224143001,0.1578
20240224144001,0.6766
20240224145001,9.5274
20240224150001,12.8928
20240224151001,6.67
20240224152001,8.1908
20240224153001,0.4794
20240224154001,0.4763
20240224155001,0.5805
20240224160001,0.9434
20240224161001,1.7413
20240224162001,1.8467
20240224163001,175.2746
20240224164001,118.3235
20240224165001,46.5898
20240226090001,49.3715
20240226091001,200.5987
20240226092001,166.8921
20240226093001,188.0345
20240226094001,364.7308
20240226095001,671.1646
20240226100001,1179.5786
20240226101001,1349.7159
20240226102001,1259.3907
20240226103001,929.9039
20240226104001,1065.4163
20240226105001,1230.9764
20240226110001,1211.6829
20240226111001,981.4388
20240226112001,861.557
20240226113001,927.3097
20240226114001,962.4761
20240226115001,836.3697
20240226120001,1337.5571
20240226121001,1480.807
20240226122001,1540.1191
20240226123001,107.8133
20240226124001,49.0093
20240226125001,3.7882
20240226130001,0.984
20240226131001,6.1164
20240226132001,10.7546
20240226133001,0.1498
20240226134001,0.618
20240226135001,1.0426
20240226140001,0.9695
20240226141001,0.9221
20240226142001,0.4353
20240226143001,0.1578
20240226144001,0.6766
20240226145001,9.5274
20240226150001,12.8928
20240226151001,6.67
20240226152001,8.1908
20240226153001,0.4794
20240226154001,0.4763
20240226155001,0.5805
20240226160001,0.9434
20240226161001,1.7413
20240226162001,1.8467
20240226163001,175.2746
20240226164001,118.3235
20240226165001,46.5898
20240327090001,166.0703
20240327091001,385.1852
20240327092001,250.374
20240327093001,249.2697
20240327094001,286.5204
20240327095001,831.1242
20240327100001,1209.5423
20240327101001,1639.1446
20240327102001,1306.4625
20240327103001,1031.2957
20240327104001,1230.1348
20240327105001,1215.3211
20240327110001,1211.6829
20240327111001,981.4388
20240327112001,861.557
20240327113001,927.3097
20240327114001,962.4761
20240327115001,836.3697
20240327120001,1337.5571
20240327121001,1480.807
20240327122001,1540.1191
20240327123001,107.8133
20240327124001,49.0093
20240327125001,3.7882
20240327130001,0.984
20240327131001,6.1164
20240327132001,10.7546
20240327133001,0.1498
20240327134001,0.618
20240327135001,1.0426
20240327140001,0.9695
20240327141001,0.9221
20240327142001,0.4353
20240327143001,0.1578
20240327144001,0.6766
20240327145001,9.5274
20240327150001,12.8928
20240327151001,6.67
20240327152001,8.1908
20240327153001,0.4794
20240327154001,0.4763
20240327155001,0.5805
20240327160001,0.9434
