序號,答案
20240117090001,48.66505
20240117091001,27.00915
20240117092001,31.04536
20240117093001,48.58564
20240117094001,37.22075
20240117095001,27.97075
20240117100001,32.42257
20240117101001,35.64371
20240117102001,49.82274
20240117103001,58.8789
20240117104001,94.97543
20240117105001,171.03047
20240117110001,176.70516
20240117111001,155.45297
20240117112001,192.21484
20240117113001,192.5125
20240117114001,190.83259
20240117115001,136.7227
20240117120001,105.96968
20240117121001,82.94913
20240117122001,66.97149
20240117123001,42.98251
20240117124001,27.62755
20240117125001,28.02444
20240117130001,28.71095
20240117131001,33.70567
20240117132001,29.84918
20240117133001,32.69986
20240117134001,36.72144
20240117135001,35.67918
20240117140001,33.97657
20240117141001,34.30711
20240117142001,26.48085
20240117143001,32.34454
20240117144001,31.63321
20240117145001,23.6922
20240117150001,21.76736
20240117151001,21.51852
20240117152001,20.46164
20240117153001,14.00043
20240117154001,13.31394
20240117155001,12.22764
20240117160001,12.17245
20240117161001,10.21098
20240117162001,9.18616
20240117163001,8.48207
20240117164001,10.37438
20240117165001,16.5755
20240119090001,266.54722
20240119091001,27.31849
20240119092001,36.43158
20240119093001,42.15936
20240119094001,33.03657
20240119095001,21.23451
20240119100001,14.95221
20240119101001,16.71667
20240119102001,31.23318
20240119103001,40.93616
20240119104001,97.3342
20240119105001,191.35747
20240119110001,176.70516
20240119111001,155.45297
20240119112001,192.21484
20240119113001,192.5125
20240119114001,190.83259
20240119115001,136.7227
20240119120001,105.96968
20240119121001,82.94913
20240119122001,66.97149
20240119123001,42.98251
20240119124001,27.62755
20240119125001,28.02444
20240119130001,28.71095
20240119131001,33.70567
20240119132001,29.84918
20240119133001,32.69986
20240119134001,36.72144
20240119135001,35.67918
20240119140001,33.97657
20240119141001,34.30711
20240119142001,26.48085
20240119143001,32.34454
20240119144001,31.63321
20240119145001,23.6922
20240119150001,21.76736
20240119151001,21.51852
20240119152001,20.46164
20240119153001,14.00043
20240119154001,13.31394
20240119155001,12.22764
20240119160001,12.17245
20240119161001,10.21098
20240119162001,9.18616
20240119163001,8.48207
20240119164001,10.37438
20240119165001,16.5755
20240224090001,29.07854
20240224091001,19.20888
