序號,答案
20240117090001,122.75579
20240117091001,111.42798
20240117092001,112.70909
20240117093001,154.48816
20240117094001,141.61425
20240117095001,115.18508
20240117100001,112.00507
20240117101001,69.85499
20240117102001,37.72885
20240117103001,18.77817
20240117104001,12.40565
20240117105001,10.68776
20240117110001,9.49154
20240117111001,8.67537
20240117112001,5.82863
20240117113001,6.73825
20240117114001,12.24402
20240117115001,18.65376
20240117120001,25.63272
20240117121001,27.56988
20240117122001,28.06478
20240117123001,27.85765
20240117124001,27.59324
20240117125001,32.76096
20240117130001,39.93792
20240117131001,40.19368
20240117132001,39.75516
20240117133001,40.6196
20240117134001,46.88538
20240117135001,48.09971
20240117140001,46.71198
20240117141001,41.38268
20240117142001,34.22822
20240117143001,33.6414
20240117144001,25.23779
20240117145001,12.79085
20240117150001,10.31795
20240117151001,7.64851
20240117152001,7.39694
20240117153001,8.85105
20240117154001,7.20332
20240117155001,2.59542
20240117160001,2.14495
20240117161001,2.11181
20240117162001,2.08404
20240117163001,2.01973
20240117164001,1.99207
20240117165001,26.24797
20240119090001,242.12401
20240119091001,136.92231
20240119092001,155.00469
20240119093001,157.08093
20240119094001,187.3448
20240119095001,123.11143
20240119100001,97.83429
20240119101001,87.58358
20240119102001,49.5314
20240119103001,20.13707
20240119104001,13.72866
20240119105001,10.34715
20240119110001,9.49154
20240119111001,8.67537
20240119112001,5.82863
20240119113001,6.73825
20240119114001,12.24402
20240119115001,18.65376
20240119120001,25.63272
20240119121001,27.56988
20240119122001,28.06478
20240119123001,27.85765
20240119124001,27.59324
20240119125001,32.76096
20240119130001,39.93792
20240119131001,40.19368
20240119132001,39.75516
20240119133001,40.6196
20240119134001,46.88538
20240119135001,48.09971
20240119140001,46.71198
20240119141001,41.38268
20240119142001,34.22822
20240119143001,33.6414
20240119144001,25.23779
20240119145001,12.79085
20240119150001,10.31795
20240119151001,7.64851
20240119152001,7.39694
20240119153001,8.85105
20240119154001,7.20332
20240119155001,2.59542
20240119160001,2.14495
20240119161001,2.11181
20240119162001,2.08404
20240119163001,2.01973
20240119164001,1.99207
20240119165001,26.24797
20240224090001,103.09016
20240224091001,120.5927
20240224092001,116.05043
20240224093001,158.42948
20240224094001,161.0637
20240224095001,115.55088
20240224100001,106.49165
20240224101001,61.36514
20240224102001,35.63028
20240224103001,18.5497
20240224104001,12.46101
20240224105001,10.67559
20240224110001,9.49154
20240224111001,8.67537
20240224112001,5.82863
20240224113001,6.73825
20240224114001,12.24402
20240224115001,18.65376
20240224120001,25.63272
20240224121001,27.56988
20240224122001,28.06478
20240224123001,27.85765
20240224124001,27.59324
20240224125001,32.76096
20240224130001,39.93792
20240224131001,40.19368
20240224132001,39.75516
20240224133001,40.6196
20240224134001,46.88538
20240224135001,48.09971
20240224140001,46.71198
20240224141001,41.38268
20240224142001,34.22822
20240224143001,33.6414
20240224144001,25.23779
20240224145001,12.79085
20240224150001,10.31795
20240224151001,7.64851
20240224152001,7.39694
20240224153001,8.85105
20240224154001,7.20332
20240224155001,2.59542
20240224160001,2.14495
20240224161001,2.11181
20240224162001,2.08404
20240224163001,2.01973
20240224164001,1.99207
20240224165001,26.24797
20240226090001,77.66252
20240226091001,104.48924
20240226092001,130.36921
20240226093001,160.91702
20240226094001,157.96215
20240226095001,115.29485
20240226100001,116.40213
20240226101001,66.99265
20240226102001,36.20527
20240226103001,18.83173
20240226104001,12.38647
20240226105001,10.6155
20240226110001,9.49154
20240226111001,8.67537
20240226112001,5.82863
20240226113001,6.73825
20240226114001,12.24402
20240226115001,18.65376
20240226120001,25.63272
20240226121001,27.56988
20240226122001,28.06478
20240226123001,27.85765
20240226124001,27.59324
20240226125001,32.76096
20240226130001,39.93792
20240226131001,40.19368
20240226132001,39.75516
20240226133001,40.6196
20240226134001,46.88538
20240226135001,48.09971
20240226140001,46.71198
20240226141001,41.38268
20240226142001,34.22822
20240226143001,33.6414
20240226144001,25.23779
20240226145001,12.79085
20240226150001,10.31795
20240226151001,7.64851
20240226152001,7.39694
20240226153001,8.85105
20240226154001,7.20332
20240226155001,2.59542
20240226160001,2.14495
20240226161001,2.11181
20240226162001,2.08404
20240226163001,2.01973
20240226164001,1.99207
20240226165001,26.24797
20240327090001,120.67806
20240327091001,321.36535
20240327092001,111.73887
20240327093001,201.48969
20240327094001,203.57931
20240327095001,113.26879
20240327100001,66.889
20240327101001,70.77831
20240327102001,45.06777
20240327103001,15.94384
20240327104001,13.9612
20240327105001,10.60474
20240327110001,9.49154
20240327111001,8.67537
20240327112001,5.82863
20240327113001,6.73825
20240327114001,12.24402
20240327115001,18.65376
20240327120001,25.63272
20240327121001,27.56988
20240327122001,28.06478
20240327123001,27.85765
20240327124001,27.59324
20240327125001,32.76096
20240327130001,39.93792
20240327131001,40.19368
20240327132001,39.75516
20240327133001,40.6196
20240327134001,46.88538
20240327135001,48.09971
20240327140001,46.71198
20240327141001,41.38268
20240327142001,34.22822
20240327143001,33.6414
20240327144001,25.23779
20240327145001,12.79085
20240327150001,10.31795
20240327151001,7.64851
20240327152001,7.39694
20240327153001,8.85105
20240327154001,7.20332
20240327155001,2.59542
20240327160001,2.14495
20240327161001,2.11181
20240327162001,2.08404
20240327163001,2.01973
20240327164001,1.99207
20240327165001,26.24797
20240329090001,38.41822
20240329091001,130.58404
20240329092001,61.02468
20240329093001,162.07272
20240329094001,169.02442
20240329095001,120.36334
20240329100001,63.91358
20240329101001,67.17451
20240329102001,42.5282
20240329103001,15.70097
20240329104001,13.83752
20240329105001,10.58689
20240329110001,9.49154
20240329111001,8.67537
20240329112001,5.82863
20240329113001,6.73825
20240329114001,12.24402
20240329115001,18.65376
20240329120001,25.63272
20240329121001,27.56988
20240329122001,28.06478
20240329123001,27.85765
20240329124001,27.59324
20240329125001,32.76096
20240329130001,39.93792
20240329131001,40.19368
20240329132001,39.75516
20240329133001,40.6196
20240329134001,46.88538
20240329135001,48.09971
20240329140001,46.71198
20240329141001,41.38268
20240329142001,34.22822
20240329143001,33.6414
20240329144001,25.23779
20240329145001,12.79085
20240329150001,10.31795
20240329151001,7.64851
20240329152001,7.39694
20240329153001,8.85105
20240329154001,7.20332
20240329155001,2.59542
20240329160001,2.14495
20240329161001,2.11181
20240329162001,2.08404
20240329163001,2.01973
20240329164001,1.99207
20240329165001,26.24797
20240428090001,268.17163
20240428091001,203.25584
20240428092001,105.24799
20240428093001,167.5218
20240428094001,189.43053
20240428095001,118.25496
20240428100001,61.35295
20240428101001,64.97697
20240428102001,38.1862
20240428103001,15.55716
20240428104001,13.88353
20240428105001,10.93511
20240428110001,9.49154
20240428111001,8.67537
20240428112001,5.82863
20240428113001,6.73825
20240428114001,12.24402
20240428115001,18.65376
20240428120001,25.63272
20240428121001,27.56988
20240428122001,28.06478
20240428123001,27.85765
20240428124001,27.59324
20240428125001,32.76096
20240428130001,39.93792
20240428131001,40.19368
20240428132001,39.75516
20240428133001,40.6196
20240428134001,46.88538
20240428135001,48.09971
20240428140001,46.71198
20240428141001,41.38268
20240428142001,34.22822
20240428143001,33.6414
20240428144001,25.23779
20240428145001,12.79085
20240428150001,10.31795
20240428151001,7.64851
20240428152001,7.39694
20240428153001,8.85105
20240428154001,7.20332
20240428155001,2.59542
20240428160001,2.14495
20240428161001,2.11181
20240428162001,2.08404
20240428163001,2.01973
20240428164001,1.99207
20240428165001,26.24797
20240430090001,1038.87959
20240430091001,133.17181
20240430092001,56.28993
20240430093001,63.45155
20240430094001,176.36783
20240430095001,97.19124
20240430100001,59.66154
20240430101001,71.01981
20240430102001,37.69052
20240430103001,17.66713
20240430104001,14.74336
20240430105001,10.49942
20240430110001,9.49154
20240430111001,8.67537
20240430112001,5.82863
20240430113001,6.73825
20240430114001,12.24402
20240430115001,18.65376
20240430120001,25.63272
20240430121001,27.56988
20240430122001,28.06478
20240430123001,27.85765
20240430124001,27.59324
20240430125001,32.76096
20240430130001,39.93792
20240430131001,40.19368
20240430132001,39.75516
20240430133001,40.6196
20240430134001,46.88538
20240430135001,48.09971
20240430140001,46.71198
20240430141001,41.38268
20240430142001,34.22822
20240430143001,33.6414
20240430144001,25.23779
20240430145001,12.79085
20240430150001,10.31795
20240430151001,7.64851
20240430152001,7.39694
20240430153001,8.85105
20240430154001,7.20332
20240430155001,2.59542
20240430160001,2.14495
20240430161001,2.11181
20240430162001,2.08404
20240430163001,2.01973
20240430164001,1.99207
20240430165001,26.24797
20240515090001,1009.62488
20240515091001,249.47275
20240515092001,134.15419
20240515093001,79.79565
20240515094001,115.39751
20240515095001,82.51697
20240515100001,51.01536
20240515101001,68.71332
20240515102001,27.68254
20240515103001,17.26541
20240515104001,14.22382
20240515105001,9.52265
20240515110001,9.49154
20240515111001,8.67537
20240515112001,5.82863
20240515113001,6.73825
20240515114001,12.24402
20240515115001,18.65376
20240515120001,25.63272
20240515121001,27.56988
20240515122001,28.06478
20240515123001,27.85765
20240515124001,27.59324
20240515125001,32.76096
20240515130001,39.93792
20240515131001,40.19368
20240515132001,39.75516
20240515133001,40.6196
20240515134001,46.88538
20240515135001,48.09971
20240515140001,46.71198
20240515141001,41.38268
20240515142001,34.22822
20240515143001,33.6414
20240515144001,25.23779
20240515145001,12.79085
20240515150001,10.31795
20240515151001,7.64851
20240515152001,7.39694
20240515153001,8.85105
20240515154001,7.20332
20240515155001,2.59542
20240515160001,2.14495
20240515161001,2.11181
20240515162001,2.08404
20240515163001,2.01973
