序號,答案
20240117090001,60.52537
20240117091001,21.05093
20240117092001,27.1146
20240117093001,20.34541
20240117094001,23.58782
20240117095001,41.14077
20240117100001,37.00844
20240117101001,49.78866
20240117102001,65.47847
20240117103001,133.53821
20240117104001,195.57497
20240117105001,173.10037
20240117110001,186.81773
20240117111001,159.05329
20240117112001,124.28777
20240117113001,124.41626
20240117114001,92.59229
20240117115001,66.64194
20240117120001,69.7071
20240117121001,81.17904
20240117122001,86.31113
20240117123001,70.05701
20240117124001,70.35269
20240117125001,60.53736
20240117130001,100.94164
20240117131001,167.83869
20240117132001,102.18321
20240117133001,39.37979
20240117134001,28.89876
20240117135001,13.15701
20240117140001,4.93364
20240117141001,3.07406
20240117142001,4.6833
20240117143001,4.11394
20240117144001,4.23597
20240117145001,5.02099
20240117150001,4.24732
20240117151001,4.56288
20240117152001,7.94891
20240117153001,8.27308
20240117154001,4.99466
20240117155001,3.67947
20240117160001,4.37866
20240117161001,15.60598
20240117162001,129.77397
20240117163001,136.52087
20240117164001,109.42138
20240117165001,157.86256
20240119090001,66.75153
20240119091001,50.41305
20240119092001,30.84797
20240119093001,11.27852
20240119094001,23.07188
20240119095001,45.53767
20240119100001,37.06337
20240119101001,52.56754
20240119102001,67.60405
20240119103001,114.1343
20240119104001,170.15178
20240119105001,175.11568
20240119110001,186.81773
20240119111001,159.05329
20240119112001,124.28777
20240119113001,124.41626
20240119114001,92.59229
20240119115001,66.64194
20240119120001,69.7071
20240119121001,81.17904
20240119122001,86.31113
20240119123001,70.05701
20240119124001,70.35269
20240119125001,60.53736
20240119130001,100.94164
20240119131001,167.83869
20240119132001,102.18321
20240119133001,39.37979
20240119134001,28.89876
20240119135001,13.15701
20240119140001,4.93364
20240119141001,3.07406
20240119142001,4.6833
20240119143001,4.11394
20240119144001,4.23597
20240119145001,5.02099
20240119150001,4.24732
20240119151001,4.56288
20240119152001,7.94891
20240119153001,8.27308
20240119154001,4.99466
20240119155001,3.67947
20240119160001,4.37866
20240119161001,15.60598
20240119162001,129.77397
20240119163001,136.52087
20240119164001,109.42138
20240119165001,157.86256
20240224090001,32.34105
20240224091001,22.5433
20240224092001,33.38309
20240224093001,30.44472
20240224094001,22.1292
20240224095001,36.49407
20240224100001,37.60124
20240224101001,54.36596
20240224102001,65.62667
20240224103001,133.36461
20240224104001,207.81402
20240224105001,173.86447
20240224110001,186.81773
20240224111001,159.05329
20240224112001,124.28777
20240224113001,124.41626
20240224114001,92.59229
20240224115001,66.64194
20240224120001,69.7071
20240224121001,81.17904
20240224122001,86.31113
20240224123001,70.05701
20240224124001,70.35269
20240224125001,60.53736
20240224130001,100.94164
20240224131001,167.83869
20240224132001,102.18321
20240224133001,39.37979
20240224134001,28.89876
20240224135001,13.15701
20240224140001,4.93364
20240224141001,3.07406
20240224142001,4.6833
20240224143001,4.11394
20240224144001,4.23597
20240224145001,5.02099
20240224150001,4.24732
20240224151001,4.56288
20240224152001,7.94891
20240224153001,8.27308
20240224154001,4.99466
20240224155001,3.67947
20240224160001,4.37866
20240224161001,15.60598
20240224162001,129.77397
20240224163001,136.52087
20240224164001,109.42138
20240224165001,157.86256
20240226090001,20.68813
20240226091001,31.66068
20240226092001,29.09522
20240226093001,28.52136
20240226094001,29.06235
20240226095001,34.9374
20240226100001,36.9826
20240226101001,52.58785
20240226102001,65.59189
20240226103001,133.32348
20240226104001,201.91291
20240226105001,177.62887
20240226110001,186.81773
20240226111001,159.05329
20240226112001,124.28777
20240226113001,124.41626
20240226114001,92.59229
20240226115001,66.64194
20240226120001,69.7071
20240226121001,81.17904
20240226122001,86.31113
20240226123001,70.05701
20240226124001,70.35269
20240226125001,60.53736
20240226130001,100.94164
20240226131001,167.83869
20240226132001,102.18321
20240226133001,39.37979
20240226134001,28.89876
20240226135001,13.15701
20240226140001,4.93364
20240226141001,3.07406
20240226142001,4.6833
20240226143001,4.11394
20240226144001,4.23597
20240226145001,5.02099
20240226150001,4.24732
20240226151001,4.56288
20240226152001,7.94891
20240226153001,8.27308
20240226154001,4.99466
20240226155001,3.67947
20240226160001,4.37866
20240226161001,15.60598
20240226162001,129.77397
20240226163001,136.52087
20240226164001,109.42138
20240226165001,157.86256
20240327090001,78.74277
20240327091001,49.59785
20240327092001,33.60657
20240327093001,40.72666
20240327094001,30.83806
20240327095001,34.98313
20240327100001,66.61888
20240327101001,74.52815
20240327102001,80.12706
20240327103001,147.80611
20240327104001,261.48907
20240327105001,165.76845
20240327110001,186.81773
20240327111001,159.05329
20240327112001,124.28777
20240327113001,124.41626
20240327114001,92.59229
20240327115001,66.64194
20240327120001,69.7071
20240327121001,81.17904
20240327122001,86.31113
20240327123001,70.05701
20240327124001,70.35269
20240327125001,60.53736
20240327130001,100.94164
20240327131001,167.83869
20240327132001,102.18321
20240327133001,39.37979
20240327134001,28.89876
20240327135001,13.15701
20240327140001,4.93364
20240327141001,3.07406
20240327142001,4.6833
20240327143001,4.11394
20240327144001,4.23597
20240327145001,5.02099
20240327150001,4.24732
20240327151001,4.56288
20240327152001,7.94891
20240327153001,8.27308
20240327154001,4.99466
20240327155001,3.67947
20240327160001,4.37866
20240327161001,15.60598
20240327162001,129.77397
20240327163001,136.52087
20240327164001,109.42138
20240327165001,157.86256
20240329090001,35.78053
20240329091001,40.65726
20240329092001,47.86881
20240329093001,43.87971
20240329094001,34.91868
20240329095001,36.96467
20240329100001,41.00023
20240329101001,43.45397
20240329102001,63.65259
20240329103001,141.79868
20240329104001,232.04319
20240329105001,178.6158
20240329110001,186.81773
20240329111001,159.05329
20240329112001,124.28777
20240329113001,124.41626
20240329114001,92.59229
20240329115001,66.64194
20240329120001,69.7071
20240329121001,81.17904
20240329122001,86.31113
20240329123001,70.05701
20240329124001,70.35269
20240329125001,60.53736
20240329130001,100.94164
20240329131001,167.83869
20240329132001,102.18321
20240329133001,39.37979
20240329134001,28.89876
20240329135001,13.15701
20240329140001,4.93364
20240329141001,3.07406
20240329142001,4.6833
20240329143001,4.11394
20240329144001,4.23597
20240329145001,5.02099
20240329150001,4.24732
20240329151001,4.56288
20240329152001,7.94891
20240329153001,8.27308
20240329154001,4.99466
20240329155001,3.67947
20240329160001,4.37866
20240329161001,15.60598
20240329162001,129.77397
20240329163001,136.52087
20240329164001,109.42138
20240329165001,157.86256
20240428090001,115.33496
20240428091001,29.40053
20240428092001,37.26535
20240428093001,44.67725
20240428094001,32.89221
20240428095001,37.53084
20240428100001,48.38779
20240428101001,56.92492
20240428102001,79.92707
20240428103001,153.80876
20240428104001,259.88433
20240428105001,161.32206
20240428110001,186.81773
20240428111001,159.05329
20240428112001,124.28777
20240428113001,124.41626
20240428114001,92.59229
20240428115001,66.64194
20240428120001,69.7071
20240428121001,81.17904
20240428122001,86.31113
20240428123001,70.05701
20240428124001,70.35269
20240428125001,60.53736
20240428130001,100.94164
20240428131001,167.83869
20240428132001,102.18321
20240428133001,39.37979
20240428134001,28.89876
20240428135001,13.15701
20240428140001,4.93364
20240428141001,3.07406
20240428142001,4.6833
20240428143001,4.11394
20240428144001,4.23597
20240428145001,5.02099
20240428150001,4.24732
20240428151001,4.56288
20240428152001,7.94891
20240428153001,8.27308
20240428154001,4.99466
20240428155001,3.67947
20240428160001,4.37866
20240428161001,15.60598
20240428162001,129.77397
20240428163001,136.52087
20240428164001,109.42138
20240428165001,157.86256
20240430090001,785.21075
20240430091001,51.07872
20240430092001,18.30829
20240430093001,74.47468
20240430094001,33.16931
20240430095001,35.35345
20240430100001,46.62937
20240430101001,61.10388
20240430102001,61.14205
20240430103001,84.79998
20240430104001,149.06082
20240430105001,166.54127
20240430110001,186.81773
20240430111001,159.05329
20240430112001,124.28777
20240430113001,124.41626
