序號,答案
20240117090001,49.14547
20240117091001,11.05767
20240117092001,18.41587
20240117093001,49.28434
20240117094001,28.63911
20240117095001,114.11787
20240117100001,215.86701
20240117101001,281.01871
20240117102001,316.06143
20240117103001,299.82973
20240117104001,206.23734
20240117105001,127.33808
20240117110001,102.52361
20240117111001,112.67174
20240117112001,216.94535
20240117113001,325.87342
20240117114001,407.77326
20240117115001,561.75993
20240117120001,471.63149
20240117121001,620.55145
20240117122001,750.63337
20240117123001,843.62763
20240117124001,915.717
20240117125001,951.70897
20240117130001,1051.68803
20240117131001,1049.10015
20240117132001,1030.43995
20240117133001,1021.88299
20240117134001,982.77438
20240117135001,1007.3807
20240117140001,1013.07551
20240117141001,1079.19334
20240117142001,1110.65297
20240117143001,1159.4255
20240117144001,1140.64617
20240117145001,1145.02407
20240117150001,1115.7645
20240117151001,1139.74252
20240117152001,1126.65715
20240117153001,1110.51446
20240117154001,1053.08736
20240117155001,1022.58442
20240117160001,1054.94303
20240117161001,1066.1868
20240117162001,1073.32068
20240117163001,1049.1124
20240117164001,1025.23599
20240117165001,1095.49269
20240119090001,101.19736
20240119091001,12.5516
20240119092001,10.25009
20240119093001,72.99873
20240119094001,85.33432
20240119095001,106.64556
20240119100001,213.70837
20240119101001,272.62554
20240119102001,323.42235
20240119103001,326.59596
20240119104001,278.45385
20240119105001,192.35142
20240119110001,102.52361
20240119111001,112.67174
20240119112001,216.94535
20240119113001,325.87342
20240119114001,407.77326
20240119115001,561.75993
20240119120001,471.63149
20240119121001,620.55145
20240119122001,750.63337
20240119123001,843.62763
20240119124001,915.717
20240119125001,951.70897
20240119130001,1051.68803
20240119131001,1049.10015
20240119132001,1030.43995
20240119133001,1021.88299
20240119134001,982.77438
20240119135001,1007.3807
20240119140001,1013.07551
20240119141001,1079.19334
20240119142001,1110.65297
20240119143001,1159.4255
20240119144001,1140.64617
20240119145001,1145.02407
20240119150001,1115.7645
20240119151001,1139.74252
20240119152001,1126.65715
20240119153001,1110.51446
20240119154001,1053.08736
20240119155001,1022.58442
20240119160001,1054.94303
20240119161001,1066.1868
20240119162001,1073.32068
20240119163001,1049.1124
20240119164001,1025.23599
20240119165001,1095.49269
20240224090001,43.95296
20240224091001,13.20852
20240224092001,14.66292
20240224093001,34.22809
20240224094001,22.11139
20240224095001,108.49601
20240224100001,206.81649
20240224101001,252.92195
20240224102001,317.10459
20240224103001,293.00634
20240224104001,206.06639
20240224105001,128.32162
20240224110001,102.52361
20240224111001,112.67174
20240224112001,216.94535
20240224113001,325.87342
20240224114001,407.77326
20240224115001,561.75993
20240224120001,471.63149
20240224121001,620.55145
20240224122001,750.63337
20240224123001,843.62763
20240224124001,915.717
20240224125001,951.70897
20240224130001,1051.68803
20240224131001,1049.10015
20240224132001,1030.43995
20240224133001,1021.88299
20240224134001,982.77438
20240224135001,1007.3807
20240224140001,1013.07551
20240224141001,1079.19334
20240224142001,1110.65297
20240224143001,1159.4255
20240224144001,1140.64617
20240224145001,1145.02407
20240224150001,1115.7645
20240224151001,1139.74252
20240224152001,1126.65715
20240224153001,1110.51446
20240224154001,1053.08736
20240224155001,1022.58442
20240224160001,1054.94303
20240224161001,1066.1868
20240224162001,1073.32068
20240224163001,1049.1124
20240224164001,1025.23599
20240224165001,1095.49269
20240226090001,25.38912
20240226091001,12.16232
20240226092001,12.31598
20240226093001,17.91194
20240226094001,14.54307
20240226095001,94.20174
20240226100001,192.81968
20240226101001,213.19593
20240226102001,305.40381
20240226103001,286.25743
20240226104001,178.09624
20240226105001,126.25545
20240226110001,102.52361
20240226111001,112.67174
20240226112001,216.94535
20240226113001,325.87342
20240226114001,407.77326
20240226115001,561.75993
20240226120001,471.63149
20240226121001,620.55145
20240226122001,750.63337
20240226123001,843.62763
20240226124001,915.717
20240226125001,951.70897
20240226130001,1051.68803
20240226131001,1049.10015
20240226132001,1030.43995
20240226133001,1021.88299
20240226134001,982.77438
20240226135001,1007.3807
20240226140001,1013.07551
20240226141001,1079.19334
20240226142001,1110.65297
20240226143001,1159.4255
20240226144001,1140.64617
