序號,答案
20240117090001,332.18908
20240117091001,345.4238
20240117092001,459.95164
20240117093001,610.29455
20240117094001,763.50036
20240117095001,868.50128
20240117100001,808.44148
20240117101001,993.85117
20240117102001,956.33691
20240117103001,904.57875
20240117104001,943.06059
20240117105001,1058.78538
20240117110001,1141.06262
20240117111001,875.66762
20240117112001,937.242
20240117113001,926.4956
20240117114001,907.15726
20240117115001,891.06026
20240117120001,760.33551
20240117121001,602.57589
20240117122001,536.46652
20240117123001,447.42984
20240117124001,361.52726
20240117125001,251.8688
20240117130001,142.38834
20240117131001,127.02823
20240117132001,175.71259
20240117133001,190.87133
20240117134001,206.53179
20240117135001,187.57534
20240117140001,136.87813
20240117141001,67.4959
20240117142001,-15.98556
20240117143001,-28.74976
20240117144001,-19.80881
20240117145001,-1.18889
20240117150001,36.39731
20240117151001,46.58554
20240117152001,3.12865
20240117153001,-9.58561
20240117154001,-17.76689
20240117155001,-19.94018
20240117160001,198.99916
20240117161001,268.90185
20240117162001,313.47595
20240117163001,331.98474
20240117164001,478.5126
20240117165001,660.86388
20240119090001,403.58757
20240119091001,449.78901
20240119092001,518.21024
20240119093001,690.24107
20240119094001,786.61128
20240119095001,903.78408
20240119100001,906.96403
20240119101001,996.65267
20240119102001,913.68664
20240119103001,878.95008
20240119104001,929.46338
20240119105001,1057.10763
20240119110001,1141.06262
20240119111001,875.66762
20240119112001,937.242
20240119113001,926.4956
20240119114001,907.15726
20240119115001,891.06026
20240119120001,760.33551
20240119121001,602.57589
20240119122001,536.46652
20240119123001,447.42984
20240119124001,361.52726
20240119125001,251.8688
20240119130001,142.38834
20240119131001,127.02823
20240119132001,175.71259
20240119133001,190.87133
20240119134001,206.53179
20240119135001,187.57534
20240119140001,136.87813
20240119141001,67.4959
20240119142001,-15.98556
20240119143001,-28.74976
20240119144001,-19.80881
20240119145001,-1.18889
20240119150001,36.39731
20240119151001,46.58554
20240119152001,3.12865
20240119153001,-9.58561
20240119154001,-17.76689
20240119155001,-19.94018
20240119160001,198.99916
20240119161001,268.90185
20240119162001,313.47595
20240119163001,331.98474
20240119164001,478.5126
20240119165001,660.86388
20240224090001,250.92034
20240224091001,308.31681
20240224092001,356.01684
20240224093001,544.89405
20240224094001,713.76969
20240224095001,858.93774
20240224100001,795.82149
20240224101001,1012.75313
20240224102001,963.43102
20240224103001,907.31779
20240224104001,944.47592
20240224105001,1054.30744
20240224110001,1141.06262
20240224111001,875.66762
20240224112001,937.242
20240224113001,926.4956
20240224114001,907.15726
20240224115001,891.06026
20240224120001,760.33551
20240224121001,602.57589
20240224122001,536.46652
20240224123001,447.42984
20240224124001,361.52726
20240224125001,251.8688
20240224130001,142.38834
20240224131001,127.02823
20240224132001,175.71259
20240224133001,190.87133
20240224134001,206.53179
20240224135001,187.57534
20240224140001,136.87813
20240224141001,67.4959
20240224142001,-15.98556
