序號,答案
20240117090001,115.8839
20240117091001,153.0702
20240117092001,206.462
20240117093001,211.029
20240117094001,196.2742
20240117095001,271.3297
20240117100001,224.7479
20240117101001,284.3825
20240117102001,242.5204
20240117103001,322.4908
20240117104001,315.3571
20240117105001,354.9574
20240117110001,240.6875
20240117111001,235.6173
20240117112001,196.486
20240117113001,208.9667
20240117114001,297.3907
20240117115001,339.3135
20240117120001,337.98
20240117121001,391.8127
20240117122001,402.2995
20240117123001,429.8334
20240117124001,393.2119
20240117125001,300.3059
20240117130001,183.1896
20240117131001,94.0326
20240117132001,78.5423
20240117133001,29.5573
20240117134001,19.9935
20240117135001,6.4737
20240117140001,2.2637
20240117141001,4.5059
20240117142001,5.7476
20240117143001,8.1908
20240117144001,5.8259
20240117145001,2.6916
20240117150001,0.2764
20240117151001,0.0697
20240117152001,0.07
20240117153001,0.0688
20240117154001,0.0673
20240117155001,0.0762
20240117160001,0.0819
20240117161001,0.0818
20240117162001,0.0772
20240117163001,0.076
20240117164001,0.0699
20240117165001,0.0712
20240119090001,191.4151
20240119091001,178.8271
20240119092001,166.3872
20240119093001,183.8951
20240119094001,189.084
20240119095001,291.5652
20240119100001,318.1092
20240119101001,281.3094
20240119102001,246.5469
20240119103001,325.8285
20240119104001,328.7392
20240119105001,408.1265
20240119110001,240.6875
20240119111001,235.6173
20240119112001,196.486
20240119113001,208.9667
20240119114001,297.3907
20240119115001,339.3135
20240119120001,337.98
20240119121001,391.8127
20240119122001,402.2995
20240119123001,429.8334
20240119124001,393.2119
20240119125001,300.3059
20240119130001,183.1896
20240119131001,94.0326
20240119132001,78.5423
20240119133001,29.5573
20240119134001,19.9935
20240119135001,6.4737
20240119140001,2.2637
20240119141001,4.5059
20240119142001,5.7476
20240119143001,8.1908
20240119144001,5.8259
20240119145001,2.6916
20240119150001,0.2764
20240119151001,0.0697
20240119152001,0.07
20240119153001,0.0688
20240119154001,0.0673
20240119155001,0.0762
20240119160001,0.0819
20240119161001,0.0818
20240119162001,0.0772
20240119163001,0.076
20240119164001,0.0699
20240119165001,0.0712
20240224090001,75.0302
