序號,答案
20240117090001,27.288
20240117091001,26.788
20240117092001,26.788
20240117093001,101.676
20240117094001,87.762
20240117095001,57.43
20240117100001,25.648
20240117101001,2.746
20240117102001,3.082
20240117103001,3.082
20240117104001,3.082
20240117105001,26.218
20240117110001,34.714
20240117111001,45.936
20240117112001,8.956
20240117113001,8.956
20240117114001,8.956
20240117115001,38.324
20240117120001,45.36
20240117121001,45.36
20240117122001,45.36
20240117123001,45.36
20240117124001,27.356
20240117125001,18.814
20240117130001,5.568
20240117131001,3.082
20240117132001,3.202
20240117133001,3.766
20240117134001,3.766
20240117135001,2.532
20240117140001,2.334
20240117141001,2.074
20240117142001,5.15
20240117143001,5.15
20240117144001,5.15
20240117145001,2.334
20240117150001,2.334
20240117151001,2.334
20240117152001,2.334
20240117153001,6.272
20240117154001,15.248
20240117155001,15.248
20240117160001,19.06
20240117161001,19.06
20240117162001,19.06
20240117163001,16.658
20240117164001,1.94
20240117165001,18.12
20240119090001,88.866
20240119091001,26.788
20240119092001,51.232
20240119093001,51.232
20240119094001,80.512
20240119095001,31.208
20240119100001,19.132
20240119101001,2.746
20240119102001,3.082
20240119103001,3.082
20240119104001,3.082
20240119105001,3.142
20240119110001,34.714
20240119111001,45.936
20240119112001,8.956
20240119113001,8.956
20240119114001,8.956
20240119115001,38.324
20240119120001,45.36
20240119121001,45.36
20240119122001,45.36
20240119123001,45.36
20240119124001,27.356
20240119125001,18.814
20240119130001,5.568
20240119131001,3.082
20240119132001,3.202
20240119133001,3.766
20240119134001,3.766
20240119135001,2.532
20240119140001,2.334
20240119141001,2.074
20240119142001,5.15
20240119143001,5.15
20240119144001,5.15
20240119145001,2.334
20240119150001,2.334
20240119151001,2.334
20240119152001,2.334
20240119153001,6.272
20240119154001,15.248
20240119155001,15.248
20240119160001,19.06
20240119161001,19.06
20240119162001,19.06
20240119163001,16.658
20240119164001,1.94
20240119165001,18.12
20240224090001,51.316
20240224091001,54.972
20240224092001,54.972
20240224093001,146.102
20240224094001,87.762
20240224095001,57.43
20240224100001,32.112
20240224101001,19.132
20240224102001,2.746
20240224103001,3.082
20240224104001,3.082
20240224105001,26.218
20240224110001,34.714
20240224111001,45.936
20240224112001,8.956
20240224113001,8.956
20240224114001,8.956
20240224115001,38.324
20240224120001,45.36
20240224121001,45.36
20240224122001,45.36
20240224123001,45.36
20240224124001,27.356
20240224125001,18.814
20240224130001,5.568
20240224131001,3.082
20240224132001,3.202
20240224133001,3.766
20240224134001,3.766
20240224135001,2.532
20240224140001,2.334
20240224141001,2.074
20240224142001,5.15
20240224143001,5.15
20240224144001,5.15
20240224145001,2.334
20240224150001,2.334
20240224151001,2.334
20240224152001,2.334
20240224153001,6.272
20240224154001,15.248
20240224155001,15.248
20240224160001,19.06
20240224161001,19.06
20240224162001,19.06
20240224163001,16.658
20240224164001,1.94
20240224165001,18.12
20240226090001,20.088
20240226091001,27.288
20240226092001,54.972
20240226093001,117.13
20240226094001,87.762
20240226095001,31.208
20240226100001,25.648
20240226101001,19.132
20240226102001,2.746
20240226103001,2.746
