序號,答案
20240117090001,26.284
20240117091001,13.014
20240117092001,14.616
20240117093001,51.232
20240117094001,67.8
20240117095001,67.8
20240117100001,54.99
20240117101001,42.256
20240117102001,67.8
20240117103001,67.8
20240117104001,115.592
20240117105001,41.878
20240117110001,19.252
20240117111001,35.478
20240117112001,67.8
20240117113001,130.152
20240117114001,127.292
20240117115001,138.176
20240117120001,146.498
20240117121001,138.756
20240117122001,102.222
20240117123001,135.1
20240117124001,135.1
20240117125001,135.1
20240117130001,67.8
20240117131001,138.756
20240117132001,165.998
20240117133001,198.018
20240117134001,166.608
20240117135001,165.998
20240117140001,252.588
20240117141001,676.752
20240117142001,831.118
20240117143001,831.118
20240117144001,831.118
20240117145001,831.118
20240117150001,846.982
20240117151001,846.982
20240117152001,780.89
20240117153001,780.89
20240117154001,780.89
20240117155001,806.494
20240117160001,1410.826
20240117161001,1410.826
20240117162001,1561.282
20240117163001,1561.282
20240117164001,1625.124
20240117165001,1625.124
20240119090001,86.354
20240119091001,20.942
20240119092001,15.832
20240119093001,51.232
20240119094001,67.8
20240119095001,67.8
20240119100001,68.48
20240119101001,42.256
20240119102001,67.8
20240119103001,67.8
20240119104001,115.592
20240119105001,41.878
20240119110001,19.252
20240119111001,35.478
20240119112001,67.8
20240119113001,130.152
20240119114001,127.292
20240119115001,138.176
20240119120001,146.498
20240119121001,138.756
20240119122001,102.222
20240119123001,135.1
20240119124001,135.1
20240119125001,135.1
20240119130001,67.8
20240119131001,138.756
20240119132001,165.998
20240119133001,198.018
20240119134001,166.608
20240119135001,165.998
20240119140001,252.588
20240119141001,676.752
20240119142001,831.118
20240119143001,831.118
20240119144001,831.118
20240119145001,831.118
20240119150001,846.982
20240119151001,846.982
20240119152001,780.89
20240119153001,780.89
20240119154001,780.89
20240119155001,806.494
20240119160001,1410.826
20240119161001,1410.826
20240119162001,1561.282
20240119163001,1561.282
20240119164001,1625.124
20240119165001,1625.124
20240224090001,49.596
20240224091001,11.542
20240224092001,13.014
20240224093001,20.38
20240224094001,67.8
20240224095001,67.8
20240224100001,54.99
20240224101001,38.47
20240224102001,68.48
20240224103001,67.8
20240224104001,115.592
20240224105001,41.878
20240224110001,19.252
20240224111001,35.478
20240224112001,67.8
20240224113001,130.152
20240224114001,127.292
20240224115001,138.176
20240224120001,146.498
20240224121001,138.756
20240224122001,102.222
20240224123001,135.1
20240224124001,135.1
20240224125001,135.1
20240224130001,67.8
20240224131001,138.756
20240224132001,165.998
20240224133001,198.018
20240224134001,166.608
20240224135001,165.998
20240224140001,252.588
20240224141001,676.752
20240224142001,831.118
20240224143001,831.118
20240224144001,831.118
20240224145001,831.118
20240224150001,846.982
20240224151001,846.982
20240224152001,780.89
20240224153001,780.89
20240224154001,780.89
20240224155001,806.494
20240224160001,1410.826
20240224161001,1410.826
20240224162001,1561.282
20240224163001,1561.282
20240224164001,1625.124
20240224165001,1625.124
20240226090001,17.756
20240226091001,12.968
20240226092001,12.968
20240226093001,51.232
20240226094001,67.8
20240226095001,67.8
20240226100001,53.532
20240226101001,33.862
20240226102001,68.48
20240226103001,67.8
20240226104001,115.592
20240226105001,37.98
20240226110001,19.252
20240226111001,35.478
20240226112001,67.8
20240226113001,130.152
20240226114001,127.292
20240226115001,138.176
20240226120001,146.498
20240226121001,138.756
20240226122001,102.222
20240226123001,135.1
20240226124001,135.1
20240226125001,135.1
20240226130001,67.8
20240226131001,138.756
20240226132001,165.998
20240226133001,198.018
20240226134001,166.608
20240226135001,165.998
20240226140001,252.588
20240226141001,676.752
20240226142001,831.118
20240226143001,831.118
20240226144001,831.118
20240226145001,831.118
20240226150001,846.982
20240226151001,846.982
20240226152001,780.89
20240226153001,780.89
20240226154001,780.89
20240226155001,806.494
20240226160001,1410.826
20240226161001,1410.826
20240226162001,1561.282
20240226163001,1561.282
20240226164001,1625.124
20240226165001,1625.124
20240327090001,53.466
20240327091001,43.57
20240327092001,16.996
20240327093001,22.588
20240327094001,89.484
20240327095001,91.42
20240327100001,28.194
20240327101001,51.232
20240327102001,67.8
20240327103001,67.8
20240327104001,115.592
20240327105001,39.654
20240327110001,19.252
20240327111001,35.478
20240327112001,67.8
20240327113001,130.152
20240327114001,127.292
20240327115001,138.176
20240327120001,146.498
20240327121001,138.756
20240327122001,102.222
20240327123001,135.1
20240327124001,135.1
20240327125001,135.1
20240327130001,67.8
20240327131001,138.756
20240327132001,165.998
20240327133001,198.018
20240327134001,166.608
20240327135001,165.998
20240327140001,252.588
20240327141001,676.752
20240327142001,831.118
20240327143001,831.118
20240327144001,831.118
20240327145001,831.118
20240327150001,846.982
20240327151001,846.982
20240327152001,780.89
20240327153001,780.89
20240327154001,780.89
20240327155001,806.494
20240327160001,1410.826
20240327161001,1410.826
20240327162001,1561.282
20240327163001,1561.282
20240327164001,1625.124
20240327165001,1625.124
20240329090001,30.838
20240329091001,44.708
20240329092001,18.626
20240329093001,63.14
20240329094001,67.8
20240329095001,89.484
20240329100001,42.256
20240329101001,67.8
20240329102001,67.8
20240329103001,67.8
20240329104001,115.592
20240329105001,41.878
20240329110001,19.252
20240329111001,35.478
20240329112001,67.8
20240329113001,130.152
20240329114001,127.292
20240329115001,138.176
20240329120001,146.498
20240329121001,138.756
20240329122001,102.222
20240329123001,135.1
20240329124001,135.1
20240329125001,135.1
20240329130001,67.8
20240329131001,138.756
20240329132001,165.998
20240329133001,198.018
20240329134001,166.608
20240329135001,165.998
20240329140001,252.588
20240329141001,676.752
20240329142001,831.118
20240329143001,831.118
20240329144001,831.118
20240329145001,831.118
20240329150001,846.982
20240329151001,846.982
20240329152001,780.89
20240329153001,780.89
20240329154001,780.89
20240329155001,806.494
20240329160001,1410.826
20240329161001,1410.826
20240329162001,1561.282
20240329163001,1561.282
20240329164001,1625.124
20240329165001,1625.124
20240428090001,228.462
20240428091001,27.712
20240428092001,18.626
20240428093001,22.106
20240428094001,89.484
20240428095001,91.42
20240428100001,42.256
20240428101001,51.232
20240428102001,67.8
20240428103001,67.8
20240428104001,115.592
20240428105001,49.892
20240428110001,19.252
20240428111001,35.478
20240428112001,67.8
20240428113001,130.152
20240428114001,127.292
20240428115001,138.176
20240428120001,146.498
20240428121001,138.756
20240428122001,102.222
20240428123001,135.1
20240428124001,135.1
20240428125001,135.1
20240428130001,67.8
20240428131001,138.756
20240428132001,165.998
20240428133001,198.018
20240428134001,166.608
20240428135001,165.998
20240428140001,252.588
20240428141001,676.752
20240428142001,831.118
20240428143001,831.118
20240428144001,831.118
20240428145001,831.118
20240428150001,846.982
20240428151001,846.982
20240428152001,780.89
20240428153001,780.89
20240428154001,780.89
20240428155001,806.494
20240428160001,1410.826
20240428161001,1410.826
20240428162001,1561.282
20240428163001,1561.282
20240428164001,1625.124
20240428165001,1625.124
20240430090001,1092.674
20240430091001,94.318
20240430092001,49.596
20240430093001,43.532
20240430094001,113.714
20240430095001,102.222
20240430100001,68.48
20240430101001,42.256
20240430102001,67.8
20240430103001,67.8
20240430104001,115.592
20240430105001,58.938
20240430110001,19.252
20240430111001,35.478
20240430112001,67.8
20240430113001,130.152
20240430114001,127.292
20240430115001,138.176
20240430120001,146.498
20240430121001,138.756
20240430122001,102.222
20240430123001,135.1
20240430124001,135.1
20240430125001,135.1
20240430130001,67.8
20240430131001,138.756
20240430132001,165.998
20240430133001,198.018
20240430134001,166.608
20240430135001,165.998
20240430140001,252.588
20240430141001,676.752
20240430142001,831.118
20240430143001,831.118
20240430144001,831.118
20240430145001,831.118
20240430150001,846.982
20240430151001,846.982
20240430152001,780.89
20240430153001,780.89
20240430154001,780.89
20240430155001,806.494
20240430160001,1410.826
20240430161001,1410.826
20240430162001,1561.282
20240430163001,1561.282
20240430164001,1625.124
20240430165001,1625.124
20240515090001,1163.914
20240515091001,298.318
20240515092001,50.356
20240515093001,75.004
20240515094001,137.618
20240515095001,89.484
20240515100001,98.57
20240515101001,42.256
20240515102001,67.8
20240515103001,67.8
20240515104001,115.592
20240515105001,115.592
20240515110001,19.252
20240515111001,35.478
20240515112001,67.8
20240515113001,130.152
20240515114001,127.292
20240515115001,138.176
20240515120001,146.498
20240515121001,138.756
20240515122001,102.222
20240515123001,135.1
20240515124001,135.1
20240515125001,135.1
20240515130001,67.8
20240515131001,138.756
20240515132001,165.998
20240515133001,198.018
20240515134001,166.608
20240515135001,165.998
20240515140001,252.588
20240515141001,676.752
20240515142001,831.118
20240515143001,831.118
20240515144001,831.118
20240515145001,831.118
20240515150001,846.982
20240515151001,846.982
20240515152001,780.89
20240515153001,780.89
20240515154001,780.89
20240515155001,806.494
20240515160001,1410.826
20240515161001,1410.826
20240515162001,1561.282
20240515163001,1561.282
20240515164001,1625.124
20240515165001,1625.124
20240520090001,471.366
20240520091001,192.05
20240520092001,49.596
20240520093001,57.428
20240520094001,89.484
20240520095001,67.8
20240520100001,67.8
20240520101001,35.9
20240520102001,67.8
20240520103001,67.8
20240520104001,115.592
20240520105001,41.878
20240520110001,19.252
20240520111001,35.478
20240520112001,67.8
20240520113001,130.152
20240520114001,127.292
20240520115001,138.176
20240520120001,146.498
20240520121001,138.756
20240520122001,102.222
20240520123001,135.1
20240520124001,135.1
20240520125001,135.1
20240520130001,67.8
20240520131001,138.756
20240520132001,165.998
20240520133001,198.018
20240520134001,166.608
20240520135001,165.998
20240520140001,252.588
20240520141001,676.752
20240520142001,831.118
20240520143001,831.118
20240520144001,831.118
20240520145001,831.118
20240520150001,846.982
20240520151001,846.982
20240520152001,780.89
20240520153001,780.89
20240520154001,780.89
20240520155001,806.494
20240520160001,1410.826
20240520161001,1410.826
20240520162001,1561.282
20240520163001,1561.282
20240520164001,1625.124
20240520165001,1625.124
20240613090001,19.04
20240613091001,18.686
20240613092001,43.57
20240613093001,50.356
20240613094001,89.484
20240613095001,91.42
20240613100001,38.47
