序號,答案
20240117090001,30.17
20240117091001,16.024
20240117092001,17.692
20240117093001,51.232
20240117094001,51.232
20240117095001,40.858
20240117100001,76.018
20240117101001,117.94
20240117102001,13.448
20240117103001,12.5
20240117104001,52.508
20240117105001,115.592
20240117110001,197.928
20240117111001,197.928
20240117112001,197.928
20240117113001,93.132
20240117114001,155.008
20240117115001,155.008
20240117120001,155.008
20240117121001,155.008
20240117122001,21.35
20240117123001,287.948
20240117124001,302.72
20240117125001,429.172
20240117130001,277.794
20240117131001,202.75
20240117132001,354.966
20240117133001,372.954
20240117134001,383.436
20240117135001,497.76
20240117140001,525.258
20240117141001,275.392
20240117142001,128.364
20240117143001,128.12
20240117144001,82.782
20240117145001,28.194
20240117150001,28.194
20240117151001,28.194
20240117152001,28.194
20240117153001,28.194
20240117154001,28.194
20240117155001,38.396
20240117160001,31.946
20240117161001,60.776
20240117162001,284.94
20240117163001,95.576
20240117164001,84.606
20240117165001,87.27
20240119090001,84.492
20240119091001,24.874
20240119092001,67.8
20240119093001,51.232
20240119094001,51.232
20240119095001,14.208
20240119100001,155.008
20240119101001,155.008
20240119102001,36.482
20240119103001,11.552
20240119104001,33.732
20240119105001,144.864
20240119110001,197.928
20240119111001,197.928
20240119112001,197.928
20240119113001,93.132
20240119114001,155.008
20240119115001,155.008
20240119120001,155.008
20240119121001,155.008
20240119122001,21.35
20240119123001,287.948
20240119124001,302.72
20240119125001,429.172
20240119130001,277.794
20240119131001,202.75
20240119132001,354.966
20240119133001,372.954
20240119134001,383.436
20240119135001,497.76
20240119140001,525.258
20240119141001,275.392
20240119142001,128.364
20240119143001,128.12
20240119144001,82.782
20240119145001,28.194
20240119150001,28.194
20240119151001,28.194
20240119152001,28.194
20240119153001,28.194
20240119154001,28.194
20240119155001,38.396
20240119160001,31.946
20240119161001,60.776
20240119162001,284.94
20240119163001,95.576
20240119164001,84.606
20240119165001,87.27
20240224090001,51.316
20240224091001,16.636
20240224092001,14.394
20240224093001,11.568
20240224094001,51.232
20240224095001,40.858
20240224100001,44.714
20240224101001,117.94
20240224102001,13.448
20240224103001,13.448
20240224104001,52.508
20240224105001,115.592
20240224110001,197.928
20240224111001,197.928
20240224112001,197.928
20240224113001,93.132
20240224114001,155.008
20240224115001,155.008
20240224120001,155.008
20240224121001,155.008
20240224122001,21.35
20240224123001,287.948
20240224124001,302.72
20240224125001,429.172
20240224130001,277.794
20240224131001,202.75
20240224132001,354.966
20240224133001,372.954
20240224134001,383.436
20240224135001,497.76
20240224140001,525.258
20240224141001,275.392
20240224142001,128.364
20240224143001,128.12
20240224144001,82.782
20240224145001,28.194
20240224150001,28.194
20240224151001,28.194
20240224152001,28.194
20240224153001,28.194
20240224154001,28.194
20240224155001,38.396
20240224160001,31.946
20240224161001,60.776
20240224162001,284.94
20240224163001,95.576
20240224164001,84.606
20240224165001,87.27
20240226090001,13.268
20240226091001,11.568
20240226092001,12.838
20240226093001,13.014
20240226094001,51.232
20240226095001,51.232
20240226100001,25.506
20240226101001,117.94
20240226102001,13.448
20240226103001,12.5
20240226104001,33.732
20240226105001,115.592
20240226110001,197.928
20240226111001,197.928
20240226112001,197.928
20240226113001,93.132
20240226114001,155.008
20240226115001,155.008
20240226120001,155.008
20240226121001,155.008
20240226122001,21.35
20240226123001,287.948
20240226124001,302.72
20240226125001,429.172
20240226130001,277.794
20240226131001,202.75
20240226132001,354.966
20240226133001,372.954
20240226134001,383.436
20240226135001,497.76
20240226140001,525.258
20240226141001,275.392
20240226142001,128.364
20240226143001,128.12
20240226144001,82.782
20240226145001,28.194
20240226150001,28.194
20240226151001,28.194
20240226152001,28.194
20240226153001,28.194
20240226154001,28.194
20240226155001,38.396
20240226160001,31.946
20240226161001,60.776
20240226162001,284.94
20240226163001,95.576
20240226164001,84.606
20240226165001,87.27
20240327090001,49.912
20240327091001,50.356
20240327092001,53.46
20240327093001,20.138
20240327094001,51.232
20240327095001,51.232
20240327100001,44.714
20240327101001,89.5
20240327102001,94.324
20240327103001,125.134
20240327104001,33.732
20240327105001,93.132
20240327110001,197.928
20240327111001,197.928
20240327112001,197.928
20240327113001,93.132
20240327114001,155.008
20240327115001,155.008
20240327120001,155.008
20240327121001,155.008
20240327122001,21.35
20240327123001,287.948
20240327124001,302.72
20240327125001,429.172
20240327130001,277.794
20240327131001,202.75
20240327132001,354.966
20240327133001,372.954
20240327134001,383.436
20240327135001,497.76
20240327140001,525.258
20240327141001,275.392
20240327142001,128.364
20240327143001,128.12
20240327144001,82.782
20240327145001,28.194
20240327150001,28.194
20240327151001,28.194
20240327152001,28.194
20240327153001,28.194
20240327154001,28.194
20240327155001,38.396
20240327160001,31.946
20240327161001,60.776
20240327162001,284.94
20240327163001,95.576
20240327164001,84.606
20240327165001,87.27
20240329090001,6.812
20240329091001,40.746
20240329092001,68.672
20240329093001,32.214
20240329094001,51.232
20240329095001,40.858
20240329100001,94.63
20240329101001,89.5
20240329102001,94.324
20240329103001,125.134
20240329104001,33.732
20240329105001,106.652
20240329110001,197.928
20240329111001,197.928
20240329112001,197.928
20240329113001,93.132
20240329114001,155.008
20240329115001,155.008
20240329120001,155.008
20240329121001,155.008
20240329122001,21.35
20240329123001,287.948
20240329124001,302.72
20240329125001,429.172
20240329130001,277.794
20240329131001,202.75
20240329132001,354.966
20240329133001,372.954
20240329134001,383.436
20240329135001,497.76
20240329140001,525.258
20240329141001,275.392
20240329142001,128.364
20240329143001,128.12
20240329144001,82.782
20240329145001,28.194
20240329150001,28.194
20240329151001,28.194
20240329152001,28.194
20240329153001,28.194
20240329154001,28.194
20240329155001,38.396
20240329160001,31.946
20240329161001,60.776
20240329162001,284.94
20240329163001,95.576
20240329164001,84.606
20240329165001,87.27
20240428090001,136.96
20240428091001,40.746
20240428092001,47.652
20240428093001,16.636
20240428094001,51.232
20240428095001,51.232
20240428100001,25.506
20240428101001,89.5
20240428102001,94.324
20240428103001,106.842
20240428104001,52.508
20240428105001,106.652
20240428110001,197.928
20240428111001,197.928
20240428112001,197.928
20240428113001,93.132
20240428114001,155.008
20240428115001,155.008
20240428120001,155.008
20240428121001,155.008
20240428122001,21.35
20240428123001,287.948
20240428124001,302.72
20240428125001,429.172
20240428130001,277.794
20240428131001,202.75
20240428132001,354.966
20240428133001,372.954
20240428134001,383.436
20240428135001,497.76
20240428140001,525.258
20240428141001,275.392
20240428142001,128.364
20240428143001,128.12
20240428144001,82.782
20240428145001,28.194
20240428150001,28.194
20240428151001,28.194
20240428152001,28.194
20240428153001,28.194
20240428154001,28.194
20240428155001,38.396
20240428160001,31.946
20240428161001,60.776
20240428162001,284.94
20240428163001,95.576
20240428164001,84.606
20240428165001,87.27
20240430090001,1070.412
20240430091001,74.61
20240430092001,37.332
20240430093001,16.636
20240430094001,51.232
20240430095001,10.402
20240430100001,72.516
20240430101001,90.782
20240430102001,90.782
20240430103001,106.842
20240430104001,14.9
20240430105001,115.592
20240430110001,197.928
20240430111001,197.928
20240430112001,197.928
20240430113001,93.132
20240430114001,155.008
20240430115001,155.008
20240430120001,155.008
20240430121001,155.008
20240430122001,21.35
20240430123001,287.948
20240430124001,302.72
20240430125001,429.172
20240430130001,277.794
20240430131001,202.75
20240430132001,354.966
20240430133001,372.954
20240430134001,383.436
20240430135001,497.76
20240430140001,525.258
20240430141001,275.392
20240430142001,128.364
20240430143001,128.12
20240430144001,82.782
20240430145001,28.194
20240430150001,28.194
20240430151001,28.194
20240430152001,28.194
20240430153001,28.194
20240430154001,28.194
20240430155001,38.396
20240430160001,31.946
20240430161001,60.776
20240430162001,284.94
20240430163001,95.576
20240430164001,84.606
20240430165001,87.27
20240515090001,896.58
20240515091001,112.88
20240515092001,32.95
20240515093001,16.636
20240515094001,51.232
20240515095001,11.112
20240515100001,12.79
20240515101001,90.782
20240515102001,90.782
20240515103001,92.322
20240515104001,32.604
20240515105001,106.652
20240515110001,197.928
20240515111001,197.928
20240515112001,197.928
20240515113001,93.132
20240515114001,155.008
20240515115001,155.008
20240515120001,155.008
20240515121001,155.008
20240515122001,21.35
20240515123001,287.948
20240515124001,302.72
20240515125001,429.172
20240515130001,277.794
20240515131001,202.75
20240515132001,354.966
20240515133001,372.954
20240515134001,383.436
20240515135001,497.76
20240515140001,525.258
20240515141001,275.392
20240515142001,128.364
20240515143001,128.12
20240515144001,82.782
20240515145001,28.194
20240515150001,28.194
20240515151001,28.194
20240515152001,28.194
20240515153001,28.194
20240515154001,28.194
20240515155001,38.396
20240515160001,31.946
20240515161001,60.776
20240515162001,284.94
20240515163001,95.576
20240515164001,84.606
20240515165001,87.27
20240520090001,433.824
20240520091001,97.724
20240520092001,80.168
20240520093001,19.972
20240520094001,51.232
20240520095001,40.858
20240520100001,44.714
20240520101001,89.5
20240520102001,102.196
