序號,答案
20240117090001,115.592
20240117091001,190.236
20240117092001,137.262
20240117093001,34.362
20240117094001,21.3
20240117095001,26.72
20240117100001,26.546
20240117101001,26.546
20240117102001,75.594
20240117103001,135.818
20240117104001,35.514
20240117105001,20.048
20240117110001,20.94
20240117111001,135.818
20240117112001,135.818
20240117113001,135.818
20240117114001,3.96
20240117115001,3.96
20240117120001,3.96
20240117121001,3.96
20240117122001,3.96
20240117123001,2.814
20240117124001,2.814
20240117125001,2.814
20240117130001,1.954
20240117131001,4.03
20240117132001,3.344
20240117133001,1.97
20240117134001,2.134
20240117135001,1.986
20240117140001,4.924
20240117141001,22.48
20240117142001,7.87
20240117143001,7.4
20240117144001,13.778
20240117145001,4.246
20240117150001,3.92
20240117151001,3.466
20240117152001,4.414
20240117153001,9.414
20240117154001,1.938
20240117155001,2.556
20240117160001,1.56
20240117161001,1.598
20240117162001,0.552
20240117163001,0.644
20240117164001,0.74
20240117165001,0.856
20240119090001,850.168
20240119091001,79.612
20240119092001,60.81
20240119093001,130.332
20240119094001,99.262
20240119095001,22.81
20240119100001,29.926
20240119101001,20.048
20240119102001,38.448
20240119103001,135.818
20240119104001,60.8
20240119105001,21.982
20240119110001,20.94
20240119111001,135.818
20240119112001,135.818
20240119113001,135.818
20240119114001,3.96
20240119115001,3.96
20240119120001,3.96
20240119121001,3.96
20240119122001,3.96
20240119123001,2.814
20240119124001,2.814
20240119125001,2.814
20240119130001,1.954
20240119131001,4.03
20240119132001,3.344
20240119133001,1.97
20240119134001,2.134
20240119135001,1.986
20240119140001,4.924
20240119141001,22.48
20240119142001,7.87
20240119143001,7.4
20240119144001,13.778
20240119145001,4.246
20240119150001,3.92
20240119151001,3.466
20240119152001,4.414
20240119153001,9.414
20240119154001,1.938
20240119155001,2.556
20240119160001,1.56
20240119161001,1.598
20240119162001,0.552
20240119163001,0.644
20240119164001,0.74
20240119165001,0.856
20240224090001,148.388
20240224091001,232.528
20240224092001,149.078
20240224093001,57.362
20240224094001,21.3
20240224095001,26.72
20240224100001,32.434
20240224101001,35.944
20240224102001,75.594
20240224103001,135.818
20240224104001,43.148
20240224105001,20.048
20240224110001,20.94
20240224111001,135.818
20240224112001,135.818
20240224113001,135.818
20240224114001,3.96
20240224115001,3.96
20240224120001,3.96
20240224121001,3.96
20240224122001,3.96
20240224123001,2.814
20240224124001,2.814
20240224125001,2.814
20240224130001,1.954
20240224131001,4.03
20240224132001,3.344
20240224133001,1.97
20240224134001,2.134
20240224135001,1.986
20240224140001,4.924
20240224141001,22.48
20240224142001,7.87
20240224143001,7.4
20240224144001,13.778
20240224145001,4.246
20240224150001,3.92
20240224151001,3.466
20240224152001,4.414
20240224153001,9.414
20240224154001,1.938
20240224155001,2.556
20240224160001,1.56
20240224161001,1.598
20240224162001,0.552
20240224163001,0.644
20240224164001,0.74
20240224165001,0.856
20240226090001,74.716
20240226091001,190.236
20240226092001,137.262
20240226093001,55.79
20240226094001,52.5
20240226095001,26.72
20240226100001,26.72
20240226101001,41.686
20240226102001,75.282
20240226103001,135.818
20240226104001,43.148
20240226105001,20.048
20240226110001,20.94
20240226111001,135.818
20240226112001,135.818
20240226113001,135.818
20240226114001,3.96
20240226115001,3.96
20240226120001,3.96
20240226121001,3.96
20240226122001,3.96
20240226123001,2.814
20240226124001,2.814
20240226125001,2.814
20240226130001,1.954
20240226131001,4.03
20240226132001,3.344
20240226133001,1.97
20240226134001,2.134
20240226135001,1.986
20240226140001,4.924
20240226141001,22.48
20240226142001,7.87
20240226143001,7.4
20240226144001,13.778
20240226145001,4.246
20240226150001,3.92
20240226151001,3.466
20240226152001,4.414
20240226153001,9.414
20240226154001,1.938
