序號,答案
20240117090001,101.36709
20240117091001,60.20249
20240117092001,41.67847
20240117093001,34.55611
20240117094001,28.38745
20240117095001,33.92259
20240117100001,13.68668
20240117101001,33.22707
20240117102001,52.66652
20240117103001,97.55308
20240117104001,137.82125
20240117105001,161.57658
20240117110001,166.00486
20240117111001,183.36602
20240117112001,237.12357
20240117113001,325.53848
20240117114001,438.7866
20240117115001,467.23686
20240117120001,462.86288
20240117121001,468.11521
20240117122001,505.84084
20240117123001,449.10125
20240117124001,362.59857
20240117125001,152.59358
20240117130001,77.61054
20240117131001,52.5269
20240117132001,36.7299
20240117133001,39.89041
20240117134001,51.16734
20240117135001,74.0996
20240117140001,90.25954
20240117141001,103.82158
20240117142001,105.54712
20240117143001,1057.40716
20240117144001,1515.04657
20240117145001,1536.43118
20240117150001,1417.81311
20240117151001,1230.72938
20240117152001,1092.19693
20240117153001,830.5786
20240117154001,662.18914
20240117155001,252.72099
20240117160001,149.33144
20240117161001,106.97319
20240117162001,63.17391
20240117163001,183.51055
20240117164001,593.20028
20240117165001,785.57083
20240119090001,187.19767
20240119091001,39.13266
20240119092001,23.2678
20240119093001,25.82257
20240119094001,25.50847
20240119095001,29.6234
20240119100001,16.29771
20240119101001,30.04836
20240119102001,51.37305
20240119103001,96.76672
20240119104001,133.62549
20240119105001,161.17868
20240119110001,166.00486
20240119111001,183.36602
20240119112001,237.12357
20240119113001,325.53848
20240119114001,438.7866
20240119115001,467.23686
20240119120001,462.86288
20240119121001,468.11521
20240119122001,505.84084
20240119123001,449.10125
20240119124001,362.59857
20240119125001,152.59358
20240119130001,77.61054
20240119131001,52.5269
20240119132001,36.7299
20240119133001,39.89041
20240119134001,51.16734
20240119135001,74.0996
20240119140001,90.25954
20240119141001,103.82158
20240119142001,105.54712
20240119143001,1057.40716
20240119144001,1515.04657
20240119145001,1536.43118
20240119150001,1417.81311
20240119151001,1230.72938
20240119152001,1092.19693
20240119153001,830.5786
20240119154001,662.18914
20240119155001,252.72099
20240119160001,149.33144
20240119161001,106.97319
20240119162001,63.17391
20240119163001,183.51055
20240119164001,593.20028
20240119165001,785.57083
20240224090001,74.22511
20240224091001,94.67466
20240224092001,53.03904
20240224093001,50.03873
20240224094001,29.88662
20240224095001,29.71932
20240224100001,15.80319
20240224101001,28.23196
20240224102001,52.35708
20240224103001,100.73811
20240224104001,158.94376
20240224105001,162.98077
20240224110001,166.00486
20240224111001,183.36602
20240224112001,237.12357
20240224113001,325.53848
20240224114001,438.7866
20240224115001,467.23686
20240224120001,462.86288
20240224121001,468.11521
20240224122001,505.84084
20240224123001,449.10125
20240224124001,362.59857
20240224125001,152.59358
20240224130001,77.61054
20240224131001,52.5269
20240224132001,36.7299
20240224133001,39.89041
20240224134001,51.16734
20240224135001,74.0996
20240224140001,90.25954
20240224141001,103.82158
20240224142001,105.54712
20240224143001,1057.40716
20240224144001,1515.04657
20240224145001,1536.43118
20240224150001,1417.81311
20240224151001,1230.72938
20240224152001,1092.19693
20240224153001,830.5786
20240224154001,662.18914
20240224155001,252.72099
20240224160001,149.33144
20240224161001,106.97319
20240224162001,63.17391
20240224163001,183.51055
20240224164001,593.20028
20240224165001,785.57083
20240226090001,49.12289
20240226091001,75.9309
20240226092001,52.13355
20240226093001,42.13579
20240226094001,30.0879
20240226095001,29.9691
20240226100001,12.19684
20240226101001,28.88149
20240226102001,51.692
20240226103001,97.48905
20240226104001,138.95213
20240226105001,160.78204
20240226110001,166.00486
20240226111001,183.36602
20240226112001,237.12357
20240226113001,325.53848
20240226114001,438.7866
20240226115001,467.23686
20240226120001,462.86288
20240226121001,468.11521
20240226122001,505.84084
20240226123001,449.10125
20240226124001,362.59857
20240226125001,152.59358
20240226130001,77.61054
20240226131001,52.5269
20240226132001,36.7299
20240226133001,39.89041
20240226134001,51.16734
20240226135001,74.0996
20240226140001,90.25954
20240226141001,103.82158
20240226142001,105.54712
20240226143001,1057.40716
20240226144001,1515.04657
20240226145001,1536.43118
20240226150001,1417.81311
20240226151001,1230.72938
20240226152001,1092.19693
20240226153001,830.5786
20240226154001,662.18914
20240226155001,252.72099
20240226160001,149.33144
20240226161001,106.97319
20240226162001,63.17391
20240226163001,183.51055
20240226164001,593.20028
20240226165001,785.57083
20240327090001,129.62355
20240327091001,132.86978
20240327092001,26.38118
20240327093001,27.76942
20240327094001,25.37166
20240327095001,33.46594
20240327100001,10.16254
20240327101001,28.55997
20240327102001,50.85737
20240327103001,103.57183
20240327104001,160.08414
20240327105001,169.22882
20240327110001,166.00486
20240327111001,183.36602
20240327112001,237.12357
20240327113001,325.53848
20240327114001,438.7866
20240327115001,467.23686
20240327120001,462.86288
20240327121001,468.11521
20240327122001,505.84084
20240327123001,449.10125
20240327124001,362.59857
20240327125001,152.59358
20240327130001,77.61054
20240327131001,52.5269
20240327132001,36.7299
20240327133001,39.89041
20240327134001,51.16734
20240327135001,74.0996
20240327140001,90.25954
20240327141001,103.82158
20240327142001,105.54712
20240327143001,1057.40716
20240327144001,1515.04657
20240327145001,1536.43118
20240327150001,1417.81311
20240327151001,1230.72938
20240327152001,1092.19693
20240327153001,830.5786
20240327154001,662.18914
20240327155001,252.72099
20240327160001,149.33144
20240327161001,106.97319
20240327162001,63.17391
20240327163001,183.51055
20240327164001,593.20028
20240327165001,785.57083
20240329090001,43.99339
20240329091001,148.44504
20240329092001,27.89871
20240329093001,24.34827
20240329094001,29.67625
20240329095001,43.38515
20240329100001,21.85152
20240329101001,37.80036
20240329102001,56.93112
20240329103001,104.27443
20240329104001,162.30505
20240329105001,186.27429
20240329110001,166.00486
20240329111001,183.36602
20240329112001,237.12357
20240329113001,325.53848
20240329114001,438.7866
20240329115001,467.23686
20240329120001,462.86288
20240329121001,468.11521
20240329122001,505.84084
20240329123001,449.10125
20240329124001,362.59857
20240329125001,152.59358
20240329130001,77.61054
20240329131001,52.5269
20240329132001,36.7299
20240329133001,39.89041
20240329134001,51.16734
20240329135001,74.0996
20240329140001,90.25954
20240329141001,103.82158
20240329142001,105.54712
20240329143001,1057.40716
20240329144001,1515.04657
20240329145001,1536.43118
20240329150001,1417.81311
20240329151001,1230.72938
20240329152001,1092.19693
20240329153001,830.5786
20240329154001,662.18914
20240329155001,252.72099
20240329160001,149.33144
20240329161001,106.97319
20240329162001,63.17391
20240329163001,183.51055
20240329164001,593.20028
20240329165001,785.57083
20240428090001,287.12247
20240428091001,152.66575
20240428092001,35.21795
20240428093001,34.96287
20240428094001,27.49933
20240428095001,39.29443
20240428100001,17.53467
20240428101001,37.44422
20240428102001,60.67133
20240428103001,113.01044
20240428104001,170.06279
20240428105001,187.85711
20240428110001,166.00486
20240428111001,183.36602
20240428112001,237.12357
20240428113001,325.53848
20240428114001,438.7866
20240428115001,467.23686
20240428120001,462.86288
20240428121001,468.11521
20240428122001,505.84084
20240428123001,449.10125
20240428124001,362.59857
20240428125001,152.59358
20240428130001,77.61054
20240428131001,52.5269
20240428132001,36.7299
20240428133001,39.89041
20240428134001,51.16734
20240428135001,74.0996
20240428140001,90.25954
20240428141001,103.82158
20240428142001,105.54712
20240428143001,1057.40716
20240428144001,1515.04657
20240428145001,1536.43118
20240428150001,1417.81311
20240428151001,1230.72938
20240428152001,1092.19693
20240428153001,830.5786
20240428154001,662.18914
20240428155001,252.72099
20240428160001,149.33144
20240428161001,106.97319
20240428162001,63.17391
20240428163001,183.51055
20240428164001,593.20028
20240428165001,785.57083
20240430090001,1064.72566
20240430091001,85.82867
20240430092001,8.14569
20240430093001,22.38109
20240430094001,14.18314
20240430095001,31.18534
20240430100001,16.2249
20240430101001,29.32225
20240430102001,77.15417
20240430103001,124.74512
20240430104001,191.17185
20240430105001,183.51019
20240430110001,166.00486
20240430111001,183.36602
20240430112001,237.12357
20240430113001,325.53848
20240430114001,438.7866
20240430115001,467.23686
20240430120001,462.86288
20240430121001,468.11521
20240430122001,505.84084
20240430123001,449.10125
20240430124001,362.59857
20240430125001,152.59358
20240430130001,77.61054
20240430131001,52.5269
20240430132001,36.7299
20240430133001,39.89041
20240430134001,51.16734
20240430135001,74.0996
20240430140001,90.25954
20240430141001,103.82158
20240430142001,105.54712
20240430143001,1057.40716
20240430144001,1515.04657
20240430145001,1536.43118
20240430150001,1417.81311
20240430151001,1230.72938
20240430152001,1092.19693
20240430153001,830.5786
20240430154001,662.18914
20240430155001,252.72099
20240430160001,149.33144
20240430161001,106.97319
20240430162001,63.17391
20240430163001,183.51055
20240430164001,593.20028
20240430165001,785.57083
20240515090001,1017.90499
20240515091001,218.24532
20240515092001,7.89316
20240515093001,46.44004
20240515094001,21.65818
20240515095001,26.09864
20240515100001,9.14263
20240515101001,27.39441
20240515102001,78.55661
20240515103001,130.44039
20240515104001,167.18339
20240515105001,169.39516
20240515110001,166.00486
20240515111001,183.36602
20240515112001,237.12357
20240515113001,325.53848
20240515114001,438.7866
20240515115001,467.23686
20240515120001,462.86288
20240515121001,468.11521
20240515122001,505.84084
20240515123001,449.10125
20240515124001,362.59857
20240515125001,152.59358
20240515130001,77.61054
20240515131001,52.5269
20240515132001,36.7299
20240515133001,39.89041
20240515134001,51.16734
20240515135001,74.0996
20240515140001,90.25954
20240515141001,103.82158
20240515142001,105.54712
20240515143001,1057.40716
20240515144001,1515.04657
20240515145001,1536.43118
20240515150001,1417.81311
20240515151001,1230.72938
20240515152001,1092.19693
20240515153001,830.5786
20240515154001,662.18914
20240515155001,252.72099
20240515160001,149.33144
20240515161001,106.97319
20240515162001,63.17391
20240515163001,183.51055
20240515164001,593.20028
20240515165001,785.57083
20240520090001,552.49993
20240520091001,139.754
20240520092001,34.71994
20240520093001,47.40189
20240520094001,27.43698
20240520095001,38.97585
20240520100001,18.37193
20240520101001,30.92512
20240520102001,54.94642
20240520103001,103.15673
20240520104001,162.65814
20240520105001,170.11404
20240520110001,166.00486
20240520111001,183.36602
20240520112001,237.12357
20240520113001,325.53848
20240520114001,438.7866
20240520115001,467.23686
20240520120001,462.86288
20240520121001,468.11521
20240520122001,505.84084
20240520123001,449.10125
20240520124001,362.59857
20240520125001,152.59358
20240520130001,77.61054
20240520131001,52.5269
20240520132001,36.7299
20240520133001,39.89041
20240520134001,51.16734
20240520135001,74.0996
20240520140001,90.25954
20240520141001,103.82158
20240520142001,105.54712
20240520143001,1057.40716
20240520144001,1515.04657
20240520145001,1536.43118
20240520150001,1417.81311
20240520151001,1230.72938
20240520152001,1092.19693
20240520153001,830.5786
20240520154001,662.18914
20240520155001,252.72099
20240520160001,149.33144
20240520161001,106.97319
20240520162001,63.17391
20240520163001,183.51055
20240520164001,593.20028
20240520165001,785.57083
20240613090001,77.75811
20240613091001,131.42444
20240613092001,20.70707
20240613093001,24.52166
20240613094001,23.82081
20240613095001,51.14567
20240613100001,29.3108
20240613101001,40.65445
20240613102001,75.26704
20240613103001,121.32153
20240613104001,200.08453
20240613105001,199.78679
20240613110001,166.00486
20240613111001,183.36602
20240613112001,237.12357
20240613113001,325.53848
20240613114001,438.7866
20240613115001,467.23686
20240613120001,462.86288
20240613121001,468.11521
20240613122001,505.84084
20240613123001,449.10125
20240613124001,362.59857
20240613125001,152.59358
20240613130001,77.61054
20240613131001,52.5269
20240613132001,36.7299
20240613133001,39.89041
20240613134001,51.16734
20240613135001,74.0996
20240613140001,90.25954
20240613141001,103.82158
20240613142001,105.54712
20240613143001,1057.40716
20240613144001,1515.04657
20240613145001,1536.43118
20240613150001,1417.81311
