序號,答案
20240117090001,276.06345
20240117091001,306.06914
20240117092001,284.76363
20240117093001,289.51009
20240117094001,275.20493
20240117095001,287.63932
20240117100001,329.19237
20240117101001,322.19439
20240117102001,301.58331
20240117103001,316.67084
20240117104001,337.89717
20240117105001,362.2416
20240117110001,422.80447
20240117111001,407.01337
20240117112001,401.3736
20240117113001,458.30308
20240117114001,516.07972
20240117115001,575.29478
20240117120001,573.8069
20240117121001,604.25831
20240117122001,579.53662
20240117123001,556.90347
20240117124001,510.07548
20240117125001,455.72175
20240117130001,435.44506
20240117131001,411.26699
20240117132001,404.75453
20240117133001,362.7597
20240117134001,326.48359
20240117135001,294.38929
20240117140001,285.12061
20240117141001,261.63506
20240117142001,222.18132
20240117143001,178.27113
20240117144001,133.29579
20240117145001,93.39057
20240117150001,50.55775
20240117151001,14.0675
20240117152001,35.83222
20240117153001,61.30262
20240117154001,74.98913
20240117155001,107.98402
20240117160001,179.58483
20240117161001,272.59855
20240117162001,349.06837
20240117163001,410.14355
20240117164001,487.90971
20240117165001,529.94277
20240119090001,398.28706
20240119091001,436.94428
20240119092001,357.39504
20240119093001,310.26051
20240119094001,280.83693
20240119095001,283.23171
20240119100001,301.26922
20240119101001,325.67075
20240119102001,305.90708
20240119103001,269.27234
20240119104001,333.84151
20240119105001,356.96512
20240119110001,422.80447
20240119111001,407.01337
20240119112001,401.3736
20240119113001,458.30308
20240119114001,516.07972
20240119115001,575.29478
20240119120001,573.8069
20240119121001,604.25831
20240119122001,579.53662
20240119123001,556.90347
20240119124001,510.07548
20240119125001,455.72175
20240119130001,435.44506
20240119131001,411.26699
20240119132001,404.75453
20240119133001,362.7597
20240119134001,326.48359
20240119135001,294.38929
20240119140001,285.12061
20240119141001,261.63506
20240119142001,222.18132
20240119143001,178.27113
20240119144001,133.29579
20240119145001,93.39057
20240119150001,50.55775
20240119151001,14.0675
20240119152001,35.83222
20240119153001,61.30262
20240119154001,74.98913
20240119155001,107.98402
20240119160001,179.58483
20240119161001,272.59855
20240119162001,349.06837
20240119163001,410.14355
20240119164001,487.90971
20240119165001,529.94277
20240224090001,177.66938
20240224091001,339.1189
20240224092001,278.94338
20240224093001,284.57971
20240224094001,270.41925
20240224095001,292.08613
20240224100001,368.38836
20240224101001,342.14457
20240224102001,318.68476
20240224103001,335.61365
20240224104001,350.6145
20240224105001,369.61199
20240224110001,422.80447
20240224111001,407.01337
20240224112001,401.3736
20240224113001,458.30308
20240224114001,516.07972
20240224115001,575.29478
20240224120001,573.8069
20240224121001,604.25831
20240224122001,579.53662
20240224123001,556.90347
20240224124001,510.07548
20240224125001,455.72175
20240224130001,435.44506
20240224131001,411.26699
20240224132001,404.75453
20240224133001,362.7597
20240224134001,326.48359
20240224135001,294.38929
20240224140001,285.12061
20240224141001,261.63506
20240224142001,222.18132
20240224143001,178.27113
20240224144001,133.29579
20240224145001,93.39057
20240224150001,50.55775
20240224151001,14.0675
20240224152001,35.83222
20240224153001,61.30262
20240224154001,74.98913
20240224155001,107.98402
20240224160001,179.58483
20240224161001,272.59855
20240224162001,349.06837
20240224163001,410.14355
20240224164001,487.90971
20240224165001,529.94277
20240226090001,113.21578
20240226091001,280.26932
20240226092001,272.42847
20240226093001,276.76586
20240226094001,271.39969
20240226095001,282.73118
20240226100001,336.49886
20240226101001,315.10887
20240226102001,292.67802
20240226103001,307.92714
20240226104001,330.67832
20240226105001,351.68912
20240226110001,422.80447
20240226111001,407.01337
20240226112001,401.3736
20240226113001,458.30308
20240226114001,516.07972
20240226115001,575.29478
20240226120001,573.8069
20240226121001,604.25831
20240226122001,579.53662
20240226123001,556.90347
20240226124001,510.07548
20240226125001,455.72175
