序號,答案
20240117090001,50.54619
20240117091001,50.96953
20240117092001,50.96953
20240117093001,51.64925
20240117094001,43.90741
20240117095001,43.90741
20240117100001,42.69739
20240117101001,61.22765
20240117102001,59.42327
20240117103001,60.3256
20240117104001,60.50179
20240117105001,61.40383
20240117110001,43.99467
20240117111001,47.33741
20240117112001,47.33741
20240117113001,47.33741
20240117114001,46.6577
20240117115001,46.6577
20240117120001,46.6577
20240117121001,46.6577
20240117122001,46.6577
20240117123001,46.6577
20240117124001,46.6577
20240117125001,46.6577
20240117130001,46.6577
20240117131001,47.33741
20240117132001,43.02776
20240117133001,42.87358
20240117134001,61.40383
20240117135001,60.32532
20240117140001,59.94037
20240117141001,59.94037
20240117142001,59.94037
20240117143001,59.94037
20240117144001,59.94037
20240117145001,59.94037
20240117150001,59.94037
20240117151001,60.32532
20240117152001,60.32532
20240117153001,60.32532
20240117154001,61.40383
20240117155001,61.40383
20240117160001,60.32532
20240117161001,60.32532
20240117162001,60.32532
20240117163001,60.32532
20240117164001,60.32532
20240117165001,59.42327
20240119090001,50.54619
20240119091001,46.57043
20240119092001,47.33741
20240119093001,47.33741
20240119094001,43.99467
20240119095001,43.99467
20240119100001,61.40383
20240119101001,60.32532
20240119102001,63.82237
20240119103001,60.3256
20240119104001,60.3256
20240119105001,61.40383
20240119110001,43.99467
20240119111001,47.33741
20240119112001,47.33741
20240119113001,47.33741
20240119114001,46.6577
20240119115001,46.6577
20240119120001,46.6577
20240119121001,46.6577
20240119122001,46.6577
20240119123001,46.6577
20240119124001,46.6577
20240119125001,46.6577
20240119130001,46.6577
20240119131001,47.33741
20240119132001,43.02776
20240119133001,42.87358
20240119134001,61.40383
20240119135001,60.32532
20240119140001,59.94037
20240119141001,59.94037
20240119142001,59.94037
20240119143001,59.94037
20240119144001,59.94037
20240119145001,59.94037
20240119150001,59.94037
20240119151001,60.32532
20240119152001,60.32532
20240119153001,60.32532
20240119154001,61.40383
20240119155001,61.40383
20240119160001,60.32532
20240119161001,60.32532
20240119162001,60.32532
20240119163001,60.32532
20240119164001,60.32532
20240119165001,59.42327
20240224090001,46.6577
20240224091001,46.57043
20240224092001,46.57043
20240224093001,51.64925
20240224094001,48.30651
20240224095001,43.90741
20240224100001,42.69739
20240224101001,61.22765
20240224102001,59.42327
20240224103001,60.3256
20240224104001,60.50179
20240224105001,61.40383
20240224110001,43.99467
20240224111001,47.33741
20240224112001,47.33741
20240224113001,47.33741
20240224114001,46.6577
20240224115001,46.6577
20240224120001,46.6577
