序號,答案
20240117090001,59.81218
20240117091001,59.81218
20240117092001,59.81218
20240117093001,59.81218
20240117094001,59.81218
20240117095001,59.81218
20240117100001,59.81218
20240117101001,59.81218
20240117102001,59.81218
20240117103001,73.44657
20240117104001,73.44657
20240117105001,73.44657
20240117110001,73.44657
20240117111001,73.44657
20240117112001,73.44657
20240117113001,73.44657
20240117114001,73.44657
20240117115001,73.44657
20240117120001,59.81218
20240117121001,73.44657
20240117122001,73.44657
20240117123001,73.44657
20240117124001,73.44657
20240117125001,73.44657
20240117130001,73.44657
20240117131001,73.44657
20240117132001,59.81218
20240117133001,59.81218
20240117134001,73.44657
20240117135001,73.44657
20240117140001,73.44657
20240117141001,73.44657
20240117142001,73.44657
20240117143001,73.44657
20240117144001,73.44657
20240117145001,73.44657
20240117150001,73.44657
20240117151001,73.44657
20240117152001,59.81218
20240117153001,59.81218
20240117154001,67.24249
20240117155001,67.24249
20240117160001,59.81218
20240117161001,59.81218
20240117162001,59.81218
20240117163001,59.81218
20240117164001,59.81218
20240117165001,59.81218
20240119090001,59.81218
20240119091001,90.64484
20240119092001,59.81218
20240119093001,59.81218
20240119094001,59.81218
20240119095001,59.81218
20240119100001,59.81218
20240119101001,59.81218
20240119102001,59.81218
20240119103001,73.44657
20240119104001,73.44657
20240119105001,73.44657
20240119110001,73.44657
20240119111001,73.44657
20240119112001,73.44657
20240119113001,73.44657
20240119114001,73.44657
20240119115001,73.44657
20240119120001,59.81218
20240119121001,73.44657
20240119122001,73.44657
20240119123001,73.44657
20240119124001,73.44657
20240119125001,73.44657
20240119130001,73.44657
20240119131001,73.44657
20240119132001,59.81218
20240119133001,59.81218
20240119134001,73.44657
20240119135001,73.44657
20240119140001,73.44657
20240119141001,73.44657
20240119142001,73.44657
20240119143001,73.44657
20240119144001,73.44657
20240119145001,73.44657
20240119150001,73.44657
20240119151001,73.44657
20240119152001,59.81218
20240119153001,59.81218
20240119154001,67.24249
20240119155001,67.24249
20240119160001,59.81218
20240119161001,59.81218
20240119162001,59.81218
20240119163001,59.81218
20240119164001,59.81218
20240119165001,59.81218
