序號,答案
20240117090001,-1539.60171
20240117091001,-1537.22164
20240117092001,-1534.47051
20240117093001,-1532.49132
20240117094001,-1531.21576
20240117095001,-1530.75985
20240117100001,-1536.83489
20240117101001,-1537.00513
20240117102001,-1537.63956
20240117103001,-1538.08481
20240117104001,-1537.78506
20240117105001,-1537.73322
20240117110001,-1536.54555
20240117111001,-1534.92783
20240117112001,-1534.91064
20240117113001,-1534.37308
20240117114001,-1534.80789
20240117115001,-1535.06713
20240117120001,-1527.85711
20240117121001,-1533.38145
20240117122001,-1532.2215
20240117123001,-1531.08974
20240117124001,-1531.30072
20240117125001,-1531.45322
20240117130001,-1532.07462
20240117131001,-1531.86835
20240117132001,-1532.16678
20240117133001,-1532.73716
20240117134001,-1532.77868
20240117135001,-1534.25648
20240117140001,-1521.48033
20240117141001,-1507.89907
20240117142001,-1496.88906
20240117143001,-1495.97394
20240117144001,-1493.23299
20240117145001,-1492.36082
20240117150001,-1492.57679
20240117151001,-1492.12933
20240117152001,-1490.94559
20240117153001,-1489.9123
20240117154001,-1490.30664
20240117155001,-1491.38883
20240117160001,-1492.38121
20240117161001,-1494.18175
20240117162001,-1495.35772
20240117163001,-1495.72762
20240117164001,-1495.68146
20240117165001,-1495.53448
20240119090001,-1537.45733
20240119091001,-1536.89161
20240119092001,-1532.8641
20240119093001,-1532.65276
20240119094001,-1531.68254
20240119095001,-1530.04176
20240119100001,-1531.55919
20240119101001,-1537.98775
20240119102001,-1537.17498
20240119103001,-1538.07892
20240119104001,-1538.02605
20240119105001,-1537.76282
20240119110001,-1536.54555
20240119111001,-1534.92783
20240119112001,-1534.91064
20240119113001,-1534.37308
20240119114001,-1534.80789
20240119115001,-1535.06713
20240119120001,-1527.85711
20240119121001,-1533.38145
20240119122001,-1532.2215
20240119123001,-1531.08974
20240119124001,-1531.30072
20240119125001,-1531.45322
20240119130001,-1532.07462
20240119131001,-1531.86835
20240119132001,-1532.16678
20240119133001,-1532.73716
20240119134001,-1532.77868
20240119135001,-1534.25648
20240119140001,-1521.48033
20240119141001,-1507.89907
20240119142001,-1496.88906
20240119143001,-1495.97394
20240119144001,-1493.23299
20240119145001,-1492.36082
20240119150001,-1492.57679
20240119151001,-1492.12933
20240119152001,-1490.94559
20240119153001,-1489.9123
20240119154001,-1490.30664
20240119155001,-1491.38883
20240119160001,-1492.38121
20240119161001,-1494.18175
20240119162001,-1495.35772
20240119163001,-1495.72762
20240119164001,-1495.68146
20240119165001,-1495.53448
20240224090001,-1540.51812
20240224091001,-1536.48038
20240224092001,-1534.72331
20240224093001,-1532.08137
20240224094001,-1530.9976
20240224095001,-1530.66844
20240224100001,-1537.13122
20240224101001,-1536.41715
20240224102001,-1537.45389
20240224103001,-1537.97946
20240224104001,-1537.73877
20240224105001,-1537.83334
20240224110001,-1536.54555
20240224111001,-1534.92783
20240224112001,-1534.91064
20240224113001,-1534.37308
20240224114001,-1534.80789
20240224115001,-1535.06713
20240224120001,-1527.85711
20240224121001,-1533.38145
20240224122001,-1532.2215
20240224123001,-1531.08974
20240224124001,-1531.30072
20240224125001,-1531.45322
20240224130001,-1532.07462
20240224131001,-1531.86835
20240224132001,-1532.16678
20240224133001,-1532.73716
20240224134001,-1532.77868
20240224135001,-1534.25648
20240224140001,-1521.48033
20240224141001,-1507.89907
20240224142001,-1496.88906
20240224143001,-1495.97394
20240224144001,-1493.23299
20240224145001,-1492.36082
20240224150001,-1492.57679
20240224151001,-1492.12933
20240224152001,-1490.94559
20240224153001,-1489.9123
20240224154001,-1490.30664
20240224155001,-1491.38883
20240224160001,-1492.38121
20240224161001,-1494.18175
20240224162001,-1495.35772
20240224163001,-1495.72762
20240224164001,-1495.68146
20240224165001,-1495.53448
