序號,答案
20240117090001,108.99757
20240117091001,265.97744
20240117092001,446.40332
20240117093001,647.74749
20240117094001,743.01395
20240117095001,831.42456
20240117100001,920.34266
20240117101001,907.88968
20240117102001,1036.14608
20240117103001,1173.05891
20240117104001,1244.9171
20240117105001,1180.51391
20240117110001,1093.36336
20240117111001,901.51529
20240117112001,975.6941
20240117113001,1104.09544
20240117114001,1053.30721
20240117115001,988.40294
20240117120001,1141.33494
20240117121001,1238.47545
20240117122001,1152.98327
20240117123001,1177.36156
20240117124001,1151.35636
20240117125001,1079.47663
20240117130001,898.72433
20240117131001,679.44893
20240117132001,621.6015
20240117133001,606.45696
20240117134001,612.90851
20240117135001,553.2713
20240117140001,478.23758
20240117141001,392.08477
20240117142001,322.44105
20240117143001,266.3595
20240117144001,243.62648
20240117145001,216.35149
20240117150001,176.36023
20240117151001,159.42621
20240117152001,145.20372
20240117153001,129.15285
20240117154001,125.52427
20240117155001,126.14401
20240117160001,126.60354
20240117161001,110.02701
20240117162001,88.45552
20240117163001,67.1144
20240117164001,57.71307
20240117165001,48.45634
20240119090001,112.28753
20240119091001,86.53401
20240119092001,449.91668
20240119093001,656.53184
20240119094001,808.46739
20240119095001,971.0166
20240119100001,1287.00658
20240119101001,1203.18052
20240119102001,1067.35149
20240119103001,1178.44371
20240119104001,1225.20417
20240119105001,1200.79635
20240119110001,1093.36336
20240119111001,901.51529
20240119112001,975.6941
20240119113001,1104.09544
20240119114001,1053.30721
20240119115001,988.40294
20240119120001,1141.33494
20240119121001,1238.47545
20240119122001,1152.98327
20240119123001,1177.36156
20240119124001,1151.35636
20240119125001,1079.47663
20240119130001,898.72433
20240119131001,679.44893
20240119132001,621.6015
20240119133001,606.45696
20240119134001,612.90851
20240119135001,553.2713
20240119140001,478.23758
20240119141001,392.08477
20240119142001,322.44105
20240119143001,266.3595
20240119144001,243.62648
20240119145001,216.35149
20240119150001,176.36023
20240119151001,159.42621
20240119152001,145.20372
20240119153001,129.15285
20240119154001,125.52427
20240119155001,126.14401
20240119160001,126.60354
20240119161001,110.02701
20240119162001,88.45552
20240119163001,67.1144
20240119164001,57.71307
20240119165001,48.45634
20240224090001,43.74526
20240224091001,261.30429
20240224092001,392.84127
20240224093001,621.43687
20240224094001,738.03656
20240224095001,864.05844
20240224100001,929.97253
20240224101001,868.38576
20240224102001,1042.99371
20240224103001,1173.66958
20240224104001,1245.27941
20240224105001,1180.59673
20240224110001,1093.36336
20240224111001,901.51529
20240224112001,975.6941
20240224113001,1104.09544
20240224114001,1053.30721
20240224115001,988.40294
20240224120001,1141.33494
20240224121001,1238.47545
20240224122001,1152.98327
20240224123001,1177.36156
20240224124001,1151.35636
20240224125001,1079.47663
20240224130001,898.72433
20240224131001,679.44893
20240224132001,621.6015
20240224133001,606.45696
20240224134001,612.90851
20240224135001,553.2713
20240224140001,478.23758
20240224141001,392.08477
20240224142001,322.44105
20240224143001,266.3595
20240224144001,243.62648
20240224145001,216.35149
20240224150001,176.36023
20240224151001,159.42621
20240224152001,145.20372
20240224153001,129.15285
20240224154001,125.52427
20240224155001,126.14401
20240224160001,126.60354
20240224161001,110.02701
20240224162001,88.45552
20240224163001,67.1144
20240224164001,57.71307
20240224165001,48.45634
20240226090001,43.55065
20240226091001,242.40464
20240226092001,355.54509
20240226093001,547.50288
20240226094001,691.86296
20240226095001,861.77764
20240226100001,919.78909
20240226101001,887.52972
20240226102001,1002.55232
20240226103001,1117.79818
20240226104001,1244.66846
20240226105001,1180.59673
20240226110001,1093.36336
20240226111001,901.51529
20240226112001,975.6941
20240226113001,1104.09544
20240226114001,1053.30721
20240226115001,988.40294
20240226120001,1141.33494
20240226121001,1238.47545
20240226122001,1152.98327
20240226123001,1177.36156
20240226124001,1151.35636
20240226125001,1079.47663
20240226130001,898.72433
20240226131001,679.44893
20240226132001,621.6015
20240226133001,606.45696
20240226134001,612.90851
20240226135001,553.2713
20240226140001,478.23758
20240226141001,392.08477
20240226142001,322.44105
20240226143001,266.3595
20240226144001,243.62648
20240226145001,216.35149
20240226150001,176.36023
20240226151001,159.42621
20240226152001,145.20372
20240226153001,129.15285
20240226154001,125.52427
20240226155001,126.14401
20240226160001,126.60354
20240226161001,110.02701
20240226162001,88.45552
20240226163001,67.1144
20240226164001,57.71307
20240226165001,48.45634
20240327090001,55.86563
20240327091001,218.73185
20240327092001,262.99619
20240327093001,481.14349
20240327094001,665.84773
20240327095001,692.44796
20240327100001,917.63147
20240327101001,889.21719
20240327102001,971.66235
20240327103001,1098.85069
20240327104001,1207.6268
20240327105001,1180.83645
20240327110001,1093.36336
20240327111001,901.51529
20240327112001,975.6941
20240327113001,1104.09544
20240327114001,1053.30721
20240327115001,988.40294
20240327120001,1141.33494
20240327121001,1238.47545
20240327122001,1152.98327
20240327123001,1177.36156
20240327124001,1151.35636
20240327125001,1079.47663
20240327130001,898.72433
20240327131001,679.44893
20240327132001,621.6015
20240327133001,606.45696
20240327134001,612.90851
20240327135001,553.2713
20240327140001,478.23758
20240327141001,392.08477
20240327142001,322.44105
20240327143001,266.3595
20240327144001,243.62648
20240327145001,216.35149
20240327150001,176.36023
20240327151001,159.42621
20240327152001,145.20372
20240327153001,129.15285
20240327154001,125.52427
20240327155001,126.14401
20240327160001,126.60354
20240327161001,110.02701
20240327162001,88.45552
20240327163001,67.1144
20240327164001,57.71307
20240327165001,48.45634
20240329090001,6.44604
20240329091001,282.87715
20240329092001,285.40368
20240329093001,501.66382
20240329094001,639.15293
20240329095001,674.29678
20240329100001,924.58727
20240329101001,881.0921
20240329102001,994.09235
20240329103001,1106.80999
20240329104001,1197.97975
20240329105001,1187.50625
20240329110001,1093.36336
20240329111001,901.51529
20240329112001,975.6941
20240329113001,1104.09544
20240329114001,1053.30721
20240329115001,988.40294
20240329120001,1141.33494
20240329121001,1238.47545
20240329122001,1152.98327
20240329123001,1177.36156
20240329124001,1151.35636
20240329125001,1079.47663
20240329130001,898.72433
20240329131001,679.44893
20240329132001,621.6015
20240329133001,606.45696
20240329134001,612.90851
20240329135001,553.2713
20240329140001,478.23758
20240329141001,392.08477
20240329142001,322.44105
20240329143001,266.3595
20240329144001,243.62648
20240329145001,216.35149
20240329150001,176.36023
20240329151001,159.42621
20240329152001,145.20372
20240329153001,129.15285
20240329154001,125.52427
20240329155001,126.14401
20240329160001,126.60354
20240329161001,110.02701
20240329162001,88.45552
20240329163001,67.1144
20240329164001,57.71307
20240329165001,48.45634
20240428090001,134.22957
20240428091001,210.2398
20240428092001,285.78705
20240428093001,547.09479
20240428094001,694.27296
20240428095001,697.74092
20240428100001,936.4589
20240428101001,901.02756
20240428102001,970.41603
20240428103001,1107.26037
20240428104001,1215.89374
20240428105001,1179.23033
20240428110001,1093.36336
20240428111001,901.51529
20240428112001,975.6941
20240428113001,1104.09544
20240428114001,1053.30721
20240428115001,988.40294
20240428120001,1141.33494
20240428121001,1238.47545
20240428122001,1152.98327
20240428123001,1177.36156
20240428124001,1151.35636
20240428125001,1079.47663
20240428130001,898.72433
20240428131001,679.44893
20240428132001,621.6015
20240428133001,606.45696
20240428134001,612.90851
20240428135001,553.2713
20240428140001,478.23758
20240428141001,392.08477
20240428142001,322.44105
20240428143001,266.3595
20240428144001,243.62648
20240428145001,216.35149
20240428150001,176.36023
20240428151001,159.42621
20240428152001,145.20372
20240428153001,129.15285
20240428154001,125.52427
20240428155001,126.14401
20240428160001,126.60354
20240428161001,110.02701
20240428162001,88.45552
20240428163001,67.1144
20240428164001,57.71307
20240428165001,48.45634
20240430090001,957.76895
20240430091001,128.71327
20240430092001,291.82107
20240430093001,530.55218
20240430094001,788.42251
20240430095001,588.75239
20240430100001,1058.18415
20240430101001,974.70153
20240430102001,961.35837
20240430103001,1098.16677
20240430104001,1233.74109
20240430105001,1204.38487
20240430110001,1093.36336
20240430111001,901.51529
20240430112001,975.6941
20240430113001,1104.09544
20240430114001,1053.30721
20240430115001,988.40294
20240430120001,1141.33494
20240430121001,1238.47545
20240430122001,1152.98327
20240430123001,1177.36156
20240430124001,1151.35636
20240430125001,1079.47663
20240430130001,898.72433
20240430131001,679.44893
20240430132001,621.6015
20240430133001,606.45696
20240430134001,612.90851
20240430135001,553.2713
20240430140001,478.23758
20240430141001,392.08477
20240430142001,322.44105
20240430143001,266.3595
20240430144001,243.62648
20240430145001,216.35149
20240430150001,176.36023
20240430151001,159.42621
20240430152001,145.20372
20240430153001,129.15285
20240430154001,125.52427
20240430155001,126.14401
20240430160001,126.60354
20240430161001,110.02701
20240430162001,88.45552
20240430163001,67.1144
20240430164001,57.71307
20240430165001,48.45634
20240515090001,1148.3516
20240515091001,239.308
20240515092001,267.13051
20240515093001,501.77889
20240515094001,773.17706
20240515095001,772.6995
20240515100001,1389.68383
20240515101001,1112.28855
20240515102001,1038.66391
20240515103001,1074.48408
20240515104001,1214.04134
20240515105001,1183.87806
20240515110001,1093.36336
20240515111001,901.51529
20240515112001,975.6941
20240515113001,1104.09544
20240515114001,1053.30721
20240515115001,988.40294
20240515120001,1141.33494
20240515121001,1238.47545
20240515122001,1152.98327
20240515123001,1177.36156
20240515124001,1151.35636
20240515125001,1079.47663
20240515130001,898.72433
20240515131001,679.44893
20240515132001,621.6015
20240515133001,606.45696
20240515134001,612.90851
20240515135001,553.2713
20240515140001,478.23758
20240515141001,392.08477
20240515142001,322.44105
20240515143001,266.3595
20240515144001,243.62648
20240515145001,216.35149
20240515150001,176.36023
20240515151001,159.42621
20240515152001,145.20372
20240515153001,129.15285
20240515154001,125.52427
20240515155001,126.14401
20240515160001,126.60354
20240515161001,110.02701
20240515162001,88.45552
20240515163001,67.1144
20240515164001,57.71307
20240515165001,48.45634
20240520090001,380.30082
20240520091001,205.94242
20240520092001,306.6029
20240520093001,468.74914
20240520094001,668.8566
20240520095001,703.86283
20240520100001,1024.2016
20240520101001,1016.05159
20240520102001,1052.82086
20240520103001,1114.6218
20240520104001,1216.55215
20240520105001,1183.23412
20240520110001,1093.36336
