序號,答案
20240117090001,-1534.03701
20240117091001,-1512.54666
20240117092001,-1502.33338
20240117093001,-1499.48865
20240117094001,-1494.21681
20240117095001,-1490.28165
20240117100001,-1488.36169
20240117101001,-1488.52613
20240117102001,-1489.13969
20240117103001,-1489.39718
20240117104001,-1489.76232
20240117105001,-1489.45735
20240117110001,-1485.08184
20240117111001,-1486.36494
20240117112001,-1487.7326
20240117113001,-1486.509
20240117114001,-1487.58984
20240117115001,-1490.23651
20240117120001,-1490.35334
20240117121001,-1490.13823
20240117122001,-1490.72382
20240117123001,-1491.84955
20240117124001,-1493.45233
20240117125001,-1495.88098
20240117130001,-1498.27009
20240117131001,-1499.10536
20240117132001,-1500.09919
20240117133001,-1503.02306
20240117134001,-1505.88213
20240117135001,-1513.45207
20240117140001,-1520.60601
20240117141001,-1522.93601
20240117142001,-1522.78813
20240117143001,-1521.52988
20240117144001,-1520.80959
20240117145001,-1521.98665
20240117150001,-1522.90623
20240117151001,-1523.19494
20240117152001,-1523.70994
20240117153001,-1524.9062
20240117154001,-1527.31154
20240117155001,-1530.52435
20240117160001,-1534.2814
20240117161001,-1537.6273
20240117162001,-1540.11825
20240117163001,-1540.88947
20240117164001,-1539.75874
20240117165001,-1536.98769
20240119090001,-1540.0974
20240119091001,-1533.06763
20240119092001,-1501.58851
20240119093001,-1496.81723
20240119094001,-1499.16148
20240119095001,-1492.04548
20240119100001,-1487.94034
20240119101001,-1488.60737
20240119102001,-1489.71112
20240119103001,-1488.81765
20240119104001,-1489.25693
20240119105001,-1488.76954
20240119110001,-1485.08184
20240119111001,-1486.36494
20240119112001,-1487.7326
20240119113001,-1486.509
20240119114001,-1487.58984
20240119115001,-1490.23651
20240119120001,-1490.35334
20240119121001,-1490.13823
20240119122001,-1490.72382
20240119123001,-1491.84955
20240119124001,-1493.45233
20240119125001,-1495.88098
20240119130001,-1498.27009
20240119131001,-1499.10536
20240119132001,-1500.09919
20240119133001,-1503.02306
20240119134001,-1505.88213
20240119135001,-1513.45207
20240119140001,-1520.60601
20240119141001,-1522.93601
20240119142001,-1522.78813
20240119143001,-1521.52988
20240119144001,-1520.80959
20240119145001,-1521.98665
20240119150001,-1522.90623
20240119151001,-1523.19494
20240119152001,-1523.70994
20240119153001,-1524.9062
20240119154001,-1527.31154
20240119155001,-1530.52435
20240119160001,-1534.2814
20240119161001,-1537.6273
20240119162001,-1540.11825
20240119163001,-1540.88947
20240119164001,-1539.75874
20240119165001,-1536.98769
20240224090001,-1528.73394
20240224091001,-1511.7227
20240224092001,-1503.13417
20240224093001,-1500.11144
20240224094001,-1494.58656
20240224095001,-1490.5342
20240224100001,-1487.91508
20240224101001,-1487.61967
20240224102001,-1489.00759
20240224103001,-1489.38581
20240224104001,-1489.77758
20240224105001,-1489.51153
20240224110001,-1485.08184
20240224111001,-1486.36494
20240224112001,-1487.7326
20240224113001,-1486.509
20240224114001,-1487.58984
20240224115001,-1490.23651
20240224120001,-1490.35334
20240224121001,-1490.13823
20240224122001,-1490.72382
20240224123001,-1491.84955
20240224124001,-1493.45233
20240224125001,-1495.88098
20240224130001,-1498.27009
20240224131001,-1499.10536
20240224132001,-1500.09919
20240224133001,-1503.02306
20240224134001,-1505.88213
20240224135001,-1513.45207
20240224140001,-1520.60601
20240224141001,-1522.93601
20240224142001,-1522.78813
20240224143001,-1521.52988
20240224144001,-1520.80959
20240224145001,-1521.98665
20240224150001,-1522.90623
20240224151001,-1523.19494
20240224152001,-1523.70994
20240224153001,-1524.9062
20240224154001,-1527.31154
