序號,答案
20240117090001,79.9583
20240117091001,0.6864
20240117092001,0.774
20240117093001,1.2633
20240117094001,3.7356
20240117095001,52.4104
20240117100001,11.9745
20240117101001,24.3371
20240117102001,38.731
20240117103001,39.6777
20240117104001,106.8679
20240117105001,99.0057
20240117110001,158.4906
20240117111001,123.9564
20240117112001,277.3584
20240117113001,373.109
20240117114001,488.7521
20240117115001,357.8041
20240117120001,247.791
20240117121001,81.9001
20240117122001,59.6431
20240117123001,67.4525
20240117124001,72.9478
20240117125001,128.2378
20240117130001,133.8768
20240117131001,106.7606
20240117132001,70.997
20240117133001,67.8966
20240117134001,97.8116
20240117135001,116.2182
20240117140001,147.1158
20240117141001,145.0001
20240117142001,98.6286
20240117143001,66.0251
20240117144001,59.6608
20240117145001,65.8372
20240117150001,66.3292
20240117151001,83.1293
20240117152001,80.0927
20240117153001,66.6087
20240117154001,66.1328
20240117155001,56.3929
20240117160001,52.5705
20240117161001,53.4862
20240117162001,53.7269
20240117163001,55.9901
20240117164001,52.5703
20240117165001,46.6205
20240119090001,246.682
20240119091001,32.2886
20240119092001,0.7673
20240119093001,0.1523
20240119094001,2.1391
20240119095001,131.3029
20240119100001,98.3634
20240119101001,77.3147
20240119102001,54.0038
20240119103001,69.8797
20240119104001,92.5229
20240119105001,135.7353
20240119110001,158.4906
20240119111001,123.9564
20240119112001,277.3584
20240119113001,373.109
20240119114001,488.7521
20240119115001,357.8041
20240119120001,247.791
20240119121001,81.9001
20240119122001,59.6431
20240119123001,67.4525
20240119124001,72.9478
20240119125001,128.2378
20240119130001,133.8768
20240119131001,106.7606
20240119132001,70.997
20240119133001,67.8966
20240119134001,97.8116
20240119135001,116.2182
20240119140001,147.1158
20240119141001,145.0001
20240119142001,98.6286
20240119143001,66.0251
20240119144001,59.6608
20240119145001,65.8372
20240119150001,66.3292
20240119151001,83.1293
20240119152001,80.0927
20240119153001,66.6087
20240119154001,66.1328
20240119155001,56.3929
20240119160001,52.5705
20240119161001,53.4862
20240119162001,53.7269
20240119163001,55.9901
20240119164001,52.5703
20240119165001,46.6205
20240224090001,7.2714
20240224091001,82.8322
20240224092001,1.5834
20240224093001,1.7358
20240224094001,11.2792
20240224095001,44.2161
20240224100001,34.5191
20240224101001,14.1948
20240224102001,39.6
20240224103001,37.6999
20240224104001,83.7458
20240224105001,120.6491
20240224110001,158.4906
20240224111001,123.9564
20240224112001,277.3584
20240224113001,373.109
20240224114001,488.7521
20240224115001,357.8041
20240224120001,247.791
20240224121001,81.9001
20240224122001,59.6431
20240224123001,67.4525
20240224124001,72.9478
20240224125001,128.2378
20240224130001,133.8768
20240224131001,106.7606
20240224132001,70.997
20240224133001,67.8966
20240224134001,97.8116
20240224135001,116.2182
20240224140001,147.1158
20240224141001,145.0001
20240224142001,98.6286
20240224143001,66.0251
20240224144001,59.6608
20240224145001,65.8372
20240224150001,66.3292
20240224151001,83.1293
20240224152001,80.0927
20240224153001,66.6087
20240224154001,66.1328
20240224155001,56.3929
20240224160001,52.5705
20240224161001,53.4862
20240224162001,53.7269
20240224163001,55.9901
20240224164001,52.5703
20240224165001,46.6205
20240226090001,0.1564
20240226091001,70.9847
20240226092001,0.7392
20240226093001,2.7013
20240226094001,11.7164
20240226095001,46.2252
20240226100001,19.1158
20240226101001,16.0853
20240226102001,39.2136
20240226103001,41.7587
20240226104001,105.5966
20240226105001,107.129
20240226110001,158.4906
20240226111001,123.9564
20240226112001,277.3584
20240226113001,373.109
20240226114001,488.7521
20240226115001,357.8041
20240226120001,247.791
20240226121001,81.9001
20240226122001,59.6431
20240226123001,67.4525
20240226124001,72.9478
20240226125001,128.2378
20240226130001,133.8768
20240226131001,106.7606
20240226132001,70.997
20240226133001,67.8966
20240226134001,97.8116
20240226135001,116.2182
20240226140001,147.1158
20240226141001,145.0001
20240226142001,98.6286
20240226143001,66.0251
20240226144001,59.6608
20240226145001,65.8372
20240226150001,66.3292
20240226151001,83.1293
