序號,答案
20240117090001,157.262
20240117091001,181.072
20240117092001,181.072
20240117093001,190.236
20240117094001,140.786
20240117095001,140.786
20240117100001,136.0
20240117101001,36.85
20240117102001,59.682
20240117103001,59.682
20240117104001,35.038
20240117105001,168.998
20240117110001,105.918
20240117111001,105.918
20240117112001,105.028
20240117113001,45.356
20240117114001,18.68
20240117115001,18.68
20240117120001,16.296
20240117121001,11.066
20240117122001,8.948
20240117123001,8.948
20240117124001,8.948
20240117125001,3.456
20240117130001,1.858
20240117131001,2.304
20240117132001,3.114
20240117133001,3.494
20240117134001,1.73
20240117135001,1.08
20240117140001,2.148
20240117141001,2.148
20240117142001,2.102
20240117143001,2.086
20240117144001,3.86
20240117145001,3.742
20240117150001,2.916
20240117151001,75.016
20240117152001,75.016
20240117153001,79.876
20240117154001,82.626
20240117155001,108.054
20240117160001,48.108
20240117161001,87.802
20240117162001,178.108
20240117163001,166.47
20240117164001,159.744
20240117165001,253.396
20240119090001,157.966
20240119091001,143.11
20240119092001,143.11
20240119093001,164.62
20240119094001,167.492
20240119095001,140.786
20240119100001,144.382
20240119101001,36.85
20240119102001,47.276
20240119103001,36.85
20240119104001,63.716
20240119105001,168.998
20240119110001,105.918
20240119111001,105.918
20240119112001,105.028
20240119113001,45.356
20240119114001,18.68
20240119115001,18.68
20240119120001,16.296
20240119121001,11.066
20240119122001,8.948
20240119123001,8.948
20240119124001,8.948
20240119125001,3.456
20240119130001,1.858
20240119131001,2.304
20240119132001,3.114
20240119133001,3.494
20240119134001,1.73
20240119135001,1.08
20240119140001,2.148
20240119141001,2.148
20240119142001,2.102
20240119143001,2.086
20240119144001,3.86
20240119145001,3.742
20240119150001,2.916
20240119151001,75.016
20240119152001,75.016
20240119153001,79.876
20240119154001,82.626
20240119155001,108.054
20240119160001,48.108
20240119161001,87.802
20240119162001,178.108
20240119163001,166.47
20240119164001,159.744
20240119165001,253.396
20240224090001,157.262
20240224091001,181.072
20240224092001,201.31
20240224093001,190.236
20240224094001,140.786
20240224095001,140.786
20240224100001,136.0
20240224101001,36.85
20240224102001,59.682
20240224103001,59.682
20240224104001,37.698
20240224105001,168.998
20240224110001,105.918
20240224111001,105.918
20240224112001,105.028
20240224113001,45.356
20240224114001,18.68
20240224115001,18.68
20240224120001,16.296
20240224121001,11.066
20240224122001,8.948
20240224123001,8.948
20240224124001,8.948
20240224125001,3.456
20240224130001,1.858
20240224131001,2.304
20240224132001,3.114
20240224133001,3.494
20240224134001,1.73
20240224135001,1.08
20240224140001,2.148
20240224141001,2.148
20240224142001,2.102
20240224143001,2.086
20240224144001,3.86
20240224145001,3.742
20240224150001,2.916
20240224151001,75.016
20240224152001,75.016
20240224153001,79.876
20240224154001,82.626
20240224155001,108.054
20240224160001,48.108
20240224161001,87.802
20240224162001,178.108
20240224163001,166.47
20240224164001,159.744
20240224165001,253.396
20240226090001,61.776
20240226091001,121.0
20240226092001,181.072
20240226093001,179.584
20240226094001,140.786
20240226095001,140.786
20240226100001,89.194
