序號,答案
20240117090001,123.012
20240117091001,96.722
20240117092001,96.722
20240117093001,96.722
20240117094001,24.712
20240117095001,98.628
20240117100001,73.022
20240117101001,73.022
20240117102001,125.674
20240117103001,99.024
20240117104001,28.718
20240117105001,47.6
20240117110001,34.176
20240117111001,13.336
20240117112001,13.678
20240117113001,13.678
20240117114001,72.332
20240117115001,99.024
20240117120001,64.19
20240117121001,64.19
20240117122001,39.23
20240117123001,34.714
20240117124001,37.818
20240117125001,37.818
20240117130001,7.648
20240117131001,15.06
20240117132001,18.816
20240117133001,18.816
20240117134001,17.432
20240117135001,17.768
20240117140001,15.06
20240117141001,16.466
20240117142001,11.66
20240117143001,11.66
20240117144001,12.684
20240117145001,23.646
20240117150001,18.354
20240117151001,14.842
20240117152001,17.014
20240117153001,13.454
20240117154001,16.566
20240117155001,17.128
20240117160001,4.62
20240117161001,2.686
20240117162001,2.686
20240117163001,2.686
20240117164001,2.222
20240117165001,2.222
20240119090001,75.016
20240119091001,96.722
20240119092001,96.722
20240119093001,96.722
20240119094001,32.67
20240119095001,44.22
20240119100001,53.682
20240119101001,73.022
20240119102001,99.024
20240119103001,148.53
20240119104001,38.644
20240119105001,135.818
20240119110001,34.176
20240119111001,13.336
20240119112001,13.678
20240119113001,13.678
20240119114001,72.332
20240119115001,99.024
20240119120001,64.19
20240119121001,64.19
20240119122001,39.23
20240119123001,34.714
20240119124001,37.818
20240119125001,37.818
20240119130001,7.648
20240119131001,15.06
20240119132001,18.816
20240119133001,18.816
20240119134001,17.432
20240119135001,17.768
20240119140001,15.06
20240119141001,16.466
20240119142001,11.66
20240119143001,11.66
20240119144001,12.684
20240119145001,23.646
20240119150001,18.354
20240119151001,14.842
20240119152001,17.014
20240119153001,13.454
20240119154001,16.566
20240119155001,17.128
20240119160001,4.62
20240119161001,2.686
20240119162001,2.686
20240119163001,2.686
20240119164001,2.222
20240119165001,2.222
20240224090001,102.132
20240224091001,96.722
20240224092001,96.722
20240224093001,96.722
20240224094001,96.722
20240224095001,51.408
20240224100001,48.182
20240224101001,98.664
20240224102001,125.674
20240224103001,99.024
20240224104001,37.844
20240224105001,47.6
20240224110001,34.176
20240224111001,13.336
20240224112001,13.678
20240224113001,13.678
20240224114001,72.332
20240224115001,99.024
20240224120001,64.19
20240224121001,64.19
20240224122001,39.23
20240224123001,34.714
20240224124001,37.818
20240224125001,37.818
20240224130001,7.648
20240224131001,15.06
20240224132001,18.816
20240224133001,18.816
20240224134001,17.432
20240224135001,17.768
20240224140001,15.06
20240224141001,16.466
20240224142001,11.66
20240224143001,11.66
20240224144001,12.684
20240224145001,23.646
20240224150001,18.354
20240224151001,14.842
20240224152001,17.014
20240224153001,13.454
20240224154001,16.566
20240224155001,17.128
20240224160001,4.62
20240224161001,2.686
20240224162001,2.686
20240224163001,2.686
20240224164001,2.222
20240224165001,2.222
20240226090001,58.43
20240226091001,96.722
20240226092001,96.722
20240226093001,83.132
20240226094001,61.454
20240226095001,52.886
20240226100001,53.682
20240226101001,73.022
