序號,答案
20240117090001,56.3603
20240117091001,69.2852
20240117092001,85.8212
20240117093001,69.5464
20240117094001,81.9731
20240117095001,63.2797
20240117100001,143.8537
20240117101001,41.7735
20240117102001,21.619
20240117103001,45.9641
20240117104001,393.6877
20240117105001,383.681
20240117110001,425.2642
20240117111001,363.5853
20240117112001,451.2443
20240117113001,569.7726
20240117114001,543.7903
20240117115001,664.3775
20240117120001,754.0346
20240117121001,806.9281
20240117122001,896.4511
20240117123001,817.5833
20240117124001,835.4723
20240117125001,826.4926
20240117130001,737.1223
20240117131001,764.9448
20240117132001,782.428
20240117133001,779.9736
20240117134001,906.8794
20240117135001,688.6055
20240117140001,672.5357
20240117141001,728.1785
20240117142001,677.7871
20240117143001,654.7481
20240117144001,542.1978
20240117145001,520.0267
20240117150001,337.794
20240117151001,265.6616
20240117152001,240.3461
20240117153001,154.6216
20240117154001,108.0633
20240117155001,53.4682
20240117160001,34.0888
20240117161001,15.1998
20240117162001,4.415
20240117163001,0.8921
20240117164001,0.5003
20240117165001,0.3496
20240119090001,160.246
20240119091001,108.2137
20240119092001,137.3943
20240119093001,79.4749
20240119094001,155.1465
20240119095001,61.9608
20240119100001,63.2195
20240119101001,173.5765
20240119102001,23.4922
20240119103001,74.2711
20240119104001,396.1684
20240119105001,390.1609
20240119110001,425.2642
20240119111001,363.5853
20240119112001,451.2443
20240119113001,569.7726
20240119114001,543.7903
20240119115001,664.3775
20240119120001,754.0346
20240119121001,806.9281
20240119122001,896.4511
20240119123001,817.5833
20240119124001,835.4723
20240119125001,826.4926
20240119130001,737.1223
20240119131001,764.9448
20240119132001,782.428
20240119133001,779.9736
20240119134001,906.8794
20240119135001,688.6055
20240119140001,672.5357
20240119141001,728.1785
20240119142001,677.7871
20240119143001,654.7481
20240119144001,542.1978
20240119145001,520.0267
20240119150001,337.794
20240119151001,265.6616
20240119152001,240.3461
20240119153001,154.6216
20240119154001,108.0633
20240119155001,53.4682
20240119160001,34.0888
20240119161001,15.1998
20240119162001,4.415
20240119163001,0.8921
20240119164001,0.5003
20240119165001,0.3496
20240224090001,15.7769
20240224091001,51.8232
20240224092001,75.3206
20240224093001,73.3081
20240224094001,96.7151
20240224095001,71.3336
20240224100001,66.6357
20240224101001,21.1718
20240224102001,20.0084
20240224103001,50.3002
20240224104001,313.2951
20240224105001,399.3959
20240224110001,425.2642
20240224111001,363.5853
20240224112001,451.2443
20240224113001,569.7726
20240224114001,543.7903
20240224115001,664.3775
20240224120001,754.0346
20240224121001,806.9281
