序號,答案
20240117090001,49.308
20240117091001,38.67
20240117092001,282.89
20240117093001,593.3
20240117094001,1006.636
20240117095001,889.106
20240117100001,855.638
20240117101001,1310.876
20240117102001,1795.052
20240117103001,1789.954
20240117104001,1734.89
20240117105001,1368.646
20240117110001,582.006
20240117111001,522.964
20240117112001,522.964
20240117113001,225.134
20240117114001,67.554
20240117115001,36.352
20240117120001,34.194
20240117121001,8.802
20240117122001,8.25
20240117123001,5.922
20240117124001,20.688
20240117125001,16.776
20240117130001,100.514
20240117131001,45.718
20240117132001,69.584
20240117133001,53.256
20240117134001,48.548
20240117135001,48.548
20240117140001,31.4
20240117141001,35.222
20240117142001,35.222
20240117143001,35.222
20240117144001,35.222
20240117145001,35.79
20240117150001,35.79
20240117151001,35.79
20240117152001,35.79
20240117153001,33.502
20240117154001,27.124
20240117155001,76.116
20240117160001,76.116
20240117161001,53.426
20240117162001,53.426
20240117163001,53.426
20240117164001,49.828
20240117165001,56.886
20240119090001,85.122
20240119091001,157.48
20240119092001,156.454
20240119093001,673.73
20240119094001,1107.72
20240119095001,1207.55
20240119100001,1511.328
20240119101001,1107.92
20240119102001,1368.332
20240119103001,1812.422
20240119104001,1387.656
20240119105001,1671.544
20240119110001,582.006
20240119111001,522.964
20240119112001,522.964
20240119113001,225.134
20240119114001,67.554
20240119115001,36.352
20240119120001,34.194
20240119121001,8.802
20240119122001,8.25
20240119123001,5.922
20240119124001,20.688
20240119125001,16.776
20240119130001,100.514
20240119131001,45.718
20240119132001,69.584
20240119133001,53.256
20240119134001,48.548
20240119135001,48.548
20240119140001,31.4
20240119141001,35.222
20240119142001,35.222
20240119143001,35.222
20240119144001,35.222
20240119145001,35.79
20240119150001,35.79
20240119151001,35.79
20240119152001,35.79
20240119153001,33.502
20240119154001,27.124
20240119155001,76.116
20240119160001,76.116
20240119161001,53.426
20240119162001,53.426
20240119163001,53.426
20240119164001,49.828
20240119165001,56.886
20240224090001,59.148
20240224091001,57.494
20240224092001,68.632
20240224093001,282.89
20240224094001,551.204
20240224095001,916.102
20240224100001,1340.992
20240224101001,1136.224
20240224102001,1844.732
20240224103001,1789.954
20240224104001,1808.698
20240224105001,1387.656
20240224110001,582.006
20240224111001,522.964
20240224112001,522.964
20240224113001,225.134
20240224114001,67.554
20240224115001,36.352
20240224120001,34.194
20240224121001,8.802
20240224122001,8.25
20240224123001,5.922
20240224124001,20.688
20240224125001,16.776
20240224130001,100.514
20240224131001,45.718
20240224132001,69.584
20240224133001,53.256
20240224134001,48.548
20240224135001,48.548
20240224140001,31.4
20240224141001,35.222
20240224142001,35.222
20240224143001,35.222
20240224144001,35.222
20240224145001,35.79
20240224150001,35.79
20240224151001,35.79
20240224152001,35.79
20240224153001,33.502
20240224154001,27.124
20240224155001,76.116
20240224160001,76.116
20240224161001,53.426
20240224162001,53.426
20240224163001,53.426
20240224164001,49.828
20240224165001,56.886
20240226090001,43.98
20240226091001,41.878
20240226092001,68.632
20240226093001,282.89
20240226094001,634.342
20240226095001,734.286
20240226100001,889.556
20240226101001,1450.462
20240226102001,1844.732
20240226103001,1789.954
20240226104001,1782.134
20240226105001,1387.656
20240226110001,582.006
20240226111001,522.964
20240226112001,522.964
20240226113001,225.134
20240226114001,67.554
20240226115001,36.352
20240226120001,34.194
20240226121001,8.802
20240226122001,8.25
20240226123001,5.922
20240226124001,20.688
20240226125001,16.776
20240226130001,100.514
20240226131001,45.718
20240226132001,69.584
20240226133001,53.256
20240226134001,48.548
20240226135001,48.548
20240226140001,31.4
20240226141001,35.222
20240226142001,35.222
20240226143001,35.222
20240226144001,35.222
20240226145001,35.79
20240226150001,35.79
20240226151001,35.79
20240226152001,35.79
20240226153001,33.502
20240226154001,27.124
20240226155001,76.116
20240226160001,76.116
20240226161001,53.426
20240226162001,53.426
20240226163001,53.426
20240226164001,49.828
20240226165001,56.886
20240327090001,65.038
20240327091001,48.204
20240327092001,41.878
20240327093001,67.8
20240327094001,941.552
20240327095001,1178.626
20240327100001,766.088
20240327101001,1325.934
20240327102001,1795.052
20240327103001,1860.126
20240327104001,1767.01
20240327105001,1387.656
20240327110001,582.006
20240327111001,522.964
20240327112001,522.964
20240327113001,225.134
20240327114001,67.554
20240327115001,36.352
20240327120001,34.194
20240327121001,8.802
20240327122001,8.25
20240327123001,5.922
20240327124001,20.688
20240327125001,16.776
20240327130001,100.514
20240327131001,45.718
20240327132001,69.584
20240327133001,53.256
20240327134001,48.548
20240327135001,48.548
20240327140001,31.4
20240327141001,35.222
20240327142001,35.222
20240327143001,35.222
20240327144001,35.222
20240327145001,35.79
20240327150001,35.79
20240327151001,35.79
20240327152001,35.79
20240327153001,33.502
20240327154001,27.124
