序號,答案
20240117090001,539.66646
20240117091001,653.66274
20240117092001,1155.66356
20240117093001,1276.59483
20240117094001,1843.03732
20240117095001,1920.80081
20240117100001,1968.79363
20240117101001,1773.73665
20240117102001,1315.54424
20240117103001,1636.03062
20240117104001,1778.65568
20240117105001,1453.51103
20240117110001,670.93894
20240117111001,1591.52354
20240117112001,1463.48149
20240117113001,1450.63171
20240117114001,1227.74435
20240117115001,1298.28862
20240117120001,1198.08138
20240117121001,982.25641
20240117122001,913.08278
20240117123001,415.11329
20240117124001,329.17136
20240117125001,340.09559
20240117130001,251.76401
20240117131001,206.73536
20240117132001,177.35082
20240117133001,160.57019
20240117134001,139.40657
20240117135001,121.11229
20240117140001,77.76439
20240117141001,58.62945
20240117142001,62.72979
20240117143001,64.50538
20240117144001,63.15235
20240117145001,50.8848
20240117150001,-2.59158
20240117151001,12.27764
20240117152001,63.85399
20240117153001,60.65742
20240117154001,21.15424
20240117155001,1.79583
20240117160001,189.10034
20240117161001,115.51918
20240117162001,125.58719
20240117163001,138.51625
20240117164001,126.28333
20240117165001,81.44343
20240119090001,705.20661
20240119091001,654.14501
20240119092001,716.24012
20240119093001,1119.38286
20240119094001,1352.4235
20240119095001,1732.26835
20240119100001,1725.89601
20240119101001,1693.19286
20240119102001,1628.0086
20240119103001,1393.72852
20240119104001,1824.56278
20240119105001,1571.28119
20240119110001,670.93894
20240119111001,1591.52354
20240119112001,1463.48149
20240119113001,1450.63171
20240119114001,1227.74435
20240119115001,1298.28862
20240119120001,1198.08138
20240119121001,982.25641
20240119122001,913.08278
20240119123001,415.11329
20240119124001,329.17136
20240119125001,340.09559
20240119130001,251.76401
20240119131001,206.73536
20240119132001,177.35082
20240119133001,160.57019
20240119134001,139.40657
20240119135001,121.11229
20240119140001,77.76439
20240119141001,58.62945
20240119142001,62.72979
20240119143001,64.50538
20240119144001,63.15235
20240119145001,50.8848
20240119150001,-2.59158
20240119151001,12.27764
20240119152001,63.85399
20240119153001,60.65742
20240119154001,21.15424
20240119155001,1.79583
20240119160001,189.10034
20240119161001,115.51918
20240119162001,125.58719
20240119163001,138.51625
20240119164001,126.28333
20240119165001,81.44343
20240224090001,326.66383
20240224091001,675.92428
20240224092001,1264.80168
20240224093001,1423.51071
20240224094001,1449.59585
20240224095001,1889.81463
20240224100001,1954.27329
20240224101001,1824.81429
20240224102001,1326.81043
20240224103001,1608.58633
20240224104001,1785.48686
20240224105001,1460.73859
20240224110001,670.93894
20240224111001,1591.52354
20240224112001,1463.48149
20240224113001,1450.63171
20240224114001,1227.74435
20240224115001,1298.28862
20240224120001,1198.08138
20240224121001,982.25641
20240224122001,913.08278
20240224123001,415.11329
20240224124001,329.17136
20240224125001,340.09559
20240224130001,251.76401
20240224131001,206.73536
20240224132001,177.35082
20240224133001,160.57019
20240224134001,139.40657
20240224135001,121.11229
20240224140001,77.76439
20240224141001,58.62945
20240224142001,62.72979
20240224143001,64.50538
20240224144001,63.15235
20240224145001,50.8848
20240224150001,-2.59158
20240224151001,12.27764
20240224152001,63.85399
20240224153001,60.65742
20240224154001,21.15424
20240224155001,1.79583
20240224160001,189.10034
20240224161001,115.51918
20240224162001,125.58719
20240224163001,138.51625
20240224164001,126.28333
20240224165001,81.44343
20240226090001,360.77712
20240226091001,691.91935
20240226092001,1371.7522
20240226093001,1556.70078
20240226094001,1709.7427
20240226095001,1937.6655
20240226100001,2046.96816
