序號,答案
20240117090001,0.1725
20240117091001,0.1725
20240117092001,0.1726
20240117093001,0.1726
20240117094001,0.1726
20240117095001,0.1726
20240117100001,0.1726
20240117101001,0.1726
20240117102001,0.1726
20240117103001,0.1737
20240117104001,0.1737
20240117105001,0.1737
20240117110001,0.1737
20240117111001,0.1683
20240117112001,0.1683
20240117113001,0.1683
20240117114001,0.1683
20240117115001,0.1683
20240117120001,0.1683
20240117121001,0.1683
20240117122001,0.1683
20240117123001,0.1683
20240117124001,0.1683
20240117125001,0.1683
20240117130001,0.1694
20240117131001,0.1694
20240117132001,0.1694
20240117133001,0.1747
20240117134001,0.1736
20240117135001,0.1736
20240117140001,0.1736
20240117141001,0.1736
20240117142001,0.1736
20240117143001,0.1736
20240117144001,0.1736
20240117145001,0.1736
20240117150001,0.1736
20240117151001,0.2128
20240117152001,0.2128
20240117153001,0.2128
20240117154001,0.2128
20240117155001,0.2128
20240117160001,0.1738
20240117161001,0.1738
20240117162001,0.1738
20240117163001,0.1728
20240117164001,0.1728
20240117165001,0.1728
20240119090001,0.1725
20240119091001,0.1727
20240119092001,0.1725
20240119093001,0.1726
20240119094001,0.1726
20240119095001,0.1726
20240119100001,0.1726
20240119101001,0.1726
20240119102001,0.1726
20240119103001,0.1737
20240119104001,0.1737
20240119105001,0.1737
20240119110001,0.1737
20240119111001,0.1683
20240119112001,0.1683
20240119113001,0.1683
20240119114001,0.1683
20240119115001,0.1683
20240119120001,0.1683
20240119121001,0.1683
20240119122001,0.1683
20240119123001,0.1683
20240119124001,0.1683
20240119125001,0.1683
20240119130001,0.1694
20240119131001,0.1694
20240119132001,0.1694
20240119133001,0.1747
20240119134001,0.1736
20240119135001,0.1736
20240119140001,0.1736
20240119141001,0.1736
20240119142001,0.1736
20240119143001,0.1736
20240119144001,0.1736
20240119145001,0.1736
20240119150001,0.1736
20240119151001,0.2128
20240119152001,0.2128
20240119153001,0.2128
20240119154001,0.2128
20240119155001,0.2128
20240119160001,0.1738
20240119161001,0.1738
20240119162001,0.1738
20240119163001,0.1728
20240119164001,0.1728
20240119165001,0.1728
20240224090001,0.1723
20240224091001,0.1727
20240224092001,0.1728
20240224093001,0.1728
20240224094001,0.1728
20240224095001,0.1726
20240224100001,0.1726
20240224101001,0.1726
20240224102001,0.1726
20240224103001,0.1737
20240224104001,0.1737
20240224105001,0.1737
20240224110001,0.1737
20240224111001,0.1683
20240224112001,0.1683
20240224113001,0.1683
20240224114001,0.1683
20240224115001,0.1683
20240224120001,0.1683
20240224121001,0.1683
20240224122001,0.1683
20240224123001,0.1683
20240224124001,0.1683
20240224125001,0.1683
20240224130001,0.1694
20240224131001,0.1694
20240224132001,0.1694
20240224133001,0.1747
20240224134001,0.1736
20240224135001,0.1736
20240224140001,0.1736
20240224141001,0.1736
20240224142001,0.1736
20240224143001,0.1736
20240224144001,0.1736
20240224145001,0.1736
20240224150001,0.1736
20240224151001,0.2128
20240224152001,0.2128
20240224153001,0.2128
20240224154001,0.2128
20240224155001,0.2128
20240224160001,0.1738
20240224161001,0.1738
20240224162001,0.1738
20240224163001,0.1728
20240224164001,0.1728
20240224165001,0.1728
20240226090001,0.1723
20240226091001,0.1727
20240226092001,0.1728
20240226093001,0.1728
20240226094001,0.1728
20240226095001,0.1728
20240226100001,0.1726
20240226101001,0.1726
