序號,答案
20240117090001,194.54615
20240117091001,223.07733
20240117092001,254.75042
20240117093001,250.55804
20240117094001,195.31829
20240117095001,100.82604
20240117100001,54.86522
20240117101001,98.67586
20240117102001,85.41729
20240117103001,85.94563
20240117104001,87.12592
20240117105001,89.53554
20240117110001,21.16593
20240117111001,55.15625
20240117112001,82.72879
20240117113001,67.85112
20240117114001,54.95378
20240117115001,41.84641
20240117120001,47.22623
20240117121001,41.67537
20240117122001,32.63547
20240117123001,33.23769
20240117124001,24.38445
20240117125001,14.81375
20240117130001,14.48556
20240117131001,18.18541
20240117132001,22.02835
20240117133001,20.40641
20240117134001,17.40332
20240117135001,17.02753
20240117140001,17.57195
20240117141001,17.47188
20240117142001,16.83843
20240117143001,15.40878
20240117144001,13.6496
20240117145001,13.32613
20240117150001,10.68422
20240117151001,5.3308
20240117152001,4.97698
20240117153001,4.68128
20240117154001,4.97448
20240117155001,302.19194
20240117160001,753.94972
20240117161001,780.40087
20240117162001,781.74878
20240117163001,782.8164
20240117164001,746.2022
20240117165001,676.13692
20240119090001,218.78197
20240119091001,213.3444
20240119092001,273.74608
20240119093001,274.90645
20240119094001,272.73134
20240119095001,223.23926
20240119100001,83.54697
20240119101001,234.03165
20240119102001,197.24983
20240119103001,191.37748
20240119104001,185.32622
20240119105001,182.91479
20240119110001,21.16593
20240119111001,55.15625
20240119112001,82.72879
20240119113001,67.85112
20240119114001,54.95378
20240119115001,41.84641
20240119120001,47.22623
20240119121001,41.67537
20240119122001,32.63547
20240119123001,33.23769
20240119124001,24.38445
20240119125001,14.81375
20240119130001,14.48556
20240119131001,18.18541
20240119132001,22.02835
20240119133001,20.40641
20240119134001,17.40332
20240119135001,17.02753
20240119140001,17.57195
20240119141001,17.47188
20240119142001,16.83843
20240119143001,15.40878
20240119144001,13.6496
20240119145001,13.32613
20240119150001,10.68422
20240119151001,5.3308
20240119152001,4.97698
20240119153001,4.68128
20240119154001,4.97448
20240119155001,302.19194
20240119160001,753.94972
20240119161001,780.40087
20240119162001,781.74878
20240119163001,782.8164
20240119164001,746.2022
20240119165001,676.13692
20240224090001,196.38254
20240224091001,235.57962
20240224092001,293.18246
20240224093001,252.88448
20240224094001,191.53231
20240224095001,101.07259
20240224100001,57.0653
20240224101001,103.94099
20240224102001,81.01006
20240224103001,83.87854
20240224104001,84.63009
20240224105001,87.30678
20240224110001,21.16593
20240224111001,55.15625
20240224112001,82.72879
20240224113001,67.85112
20240224114001,54.95378
20240224115001,41.84641
20240224120001,47.22623
20240224121001,41.67537
20240224122001,32.63547
20240224123001,33.23769
20240224124001,24.38445
20240224125001,14.81375
20240224130001,14.48556
20240224131001,18.18541
20240224132001,22.02835
20240224133001,20.40641
20240224134001,17.40332
20240224135001,17.02753
20240224140001,17.57195
20240224141001,17.47188
20240224142001,16.83843
20240224143001,15.40878
20240224144001,13.6496
20240224145001,13.32613
20240224150001,10.68422
20240224151001,5.3308
20240224152001,4.97698
20240224153001,4.68128
20240224154001,4.97448
20240224155001,302.19194
20240224160001,753.94972
20240224161001,780.40087
20240224162001,781.74878
20240224163001,782.8164
20240224164001,746.2022
20240224165001,676.13692
20240226090001,153.29952
20240226091001,194.7358
20240226092001,233.16965
20240226093001,217.81617
20240226094001,154.44307
20240226095001,77.51589
20240226100001,51.19665
20240226101001,81.40963
20240226102001,67.98361
20240226103001,69.82656
20240226104001,78.98527
20240226105001,81.76772
20240226110001,21.16593
20240226111001,55.15625
20240226112001,82.72879
20240226113001,67.85112
20240226114001,54.95378
20240226115001,41.84641
20240226120001,47.22623
20240226121001,41.67537
20240226122001,32.63547
20240226123001,33.23769
20240226124001,24.38445
20240226125001,14.81375
20240226130001,14.48556
20240226131001,18.18541
20240226132001,22.02835
20240226133001,20.40641
20240226134001,17.40332
20240226135001,17.02753
20240226140001,17.57195
20240226141001,17.47188
20240226142001,16.83843
20240226143001,15.40878
20240226144001,13.6496
20240226145001,13.32613
20240226150001,10.68422
20240226151001,5.3308
20240226152001,4.97698
20240226153001,4.68128
20240226154001,4.97448
20240226155001,302.19194
20240226160001,753.94972
20240226161001,780.40087
20240226162001,781.74878
20240226163001,782.8164
20240226164001,746.2022
20240226165001,676.13692
20240327090001,174.49873
20240327091001,279.93546
20240327092001,249.17363
20240327093001,187.28597
20240327094001,140.16654
20240327095001,104.26913
20240327100001,94.84339
20240327101001,103.51123
20240327102001,103.95574
20240327103001,124.39667
20240327104001,132.12315
20240327105001,150.01613
20240327110001,21.16593
20240327111001,55.15625
20240327112001,82.72879
20240327113001,67.85112
20240327114001,54.95378
20240327115001,41.84641
20240327120001,47.22623
20240327121001,41.67537
20240327122001,32.63547
20240327123001,33.23769
20240327124001,24.38445
20240327125001,14.81375
20240327130001,14.48556
20240327131001,18.18541
20240327132001,22.02835
20240327133001,20.40641
20240327134001,17.40332
20240327135001,17.02753
20240327140001,17.57195
20240327141001,17.47188
20240327142001,16.83843
20240327143001,15.40878
20240327144001,13.6496
20240327145001,13.32613
20240327150001,10.68422
20240327151001,5.3308
20240327152001,4.97698
20240327153001,4.68128
20240327154001,4.97448
20240327155001,302.19194
20240327160001,753.94972
20240327161001,780.40087
20240327162001,781.74878
20240327163001,782.8164
20240327164001,746.2022
20240327165001,676.13692
20240329090001,153.40351
20240329091001,384.67411
20240329092001,325.30832
20240329093001,252.50683
20240329094001,173.70764
20240329095001,105.06446
20240329100001,55.9448
20240329101001,94.37045
20240329102001,77.98524
20240329103001,109.42524
20240329104001,130.56391
20240329105001,157.1061
20240329110001,21.16593
20240329111001,55.15625
20240329112001,82.72879
20240329113001,67.85112
20240329114001,54.95378
20240329115001,41.84641
20240329120001,47.22623
20240329121001,41.67537
20240329122001,32.63547
20240329123001,33.23769
20240329124001,24.38445
20240329125001,14.81375
20240329130001,14.48556
20240329131001,18.18541
20240329132001,22.02835
20240329133001,20.40641
20240329134001,17.40332
20240329135001,17.02753
20240329140001,17.57195
20240329141001,17.47188
20240329142001,16.83843
20240329143001,15.40878
20240329144001,13.6496
20240329145001,13.32613
20240329150001,10.68422
20240329151001,5.3308
20240329152001,4.97698
20240329153001,4.68128
20240329154001,4.97448
20240329155001,302.19194
20240329160001,753.94972
20240329161001,780.40087
20240329162001,781.74878
20240329163001,782.8164
20240329164001,746.2022
20240329165001,676.13692
20240428090001,198.04656
20240428091001,288.33084
20240428092001,287.3616
20240428093001,229.75508
20240428094001,172.82158
20240428095001,121.67202
20240428100001,113.39957
20240428101001,114.31938
20240428102001,125.69923
20240428103001,135.31771
20240428104001,148.21336
20240428105001,145.25552
20240428110001,21.16593
20240428111001,55.15625
20240428112001,82.72879
20240428113001,67.85112
20240428114001,54.95378
