序號,答案
20240117090001,-37.74176
20240117091001,-53.4901
20240117092001,-35.00209
20240117093001,-17.59023
20240117094001,-37.9352
20240117095001,-58.84316
20240117100001,-64.93288
20240117101001,-83.67475
20240117102001,-114.40253
20240117103001,-136.34735
20240117104001,-148.52377
20240117105001,-152.1491
20240117110001,-95.85823
20240117111001,-83.31221
20240117112001,-65.51282
20240117113001,-59.80045
20240117114001,-52.92138
20240117115001,-51.11114
20240117120001,-50.57426
20240117121001,-46.52563
20240117122001,-40.5394
20240117123001,-40.10969
20240117124001,-37.75334
20240117125001,-32.01789
20240117130001,-73.61712
20240117131001,-78.64216
20240117132001,-64.71428
20240117133001,-45.59514
20240117134001,-27.55035
20240117135001,-29.14405
20240117140001,-29.96294
20240117141001,-34.50365
20240117142001,-44.13776
20240117143001,-62.19722
20240117144001,-76.70431
20240117145001,-98.3064
20240117150001,-74.60026
20240117151001,-38.78833
20240117152001,-52.70835
20240117153001,-70.19146
20240117154001,-105.85499
20240117155001,-112.531
20240117160001,-109.93287
20240117161001,-86.87107
20240117162001,-138.93743
20240117163001,-139.92931
20240117164001,-141.52442
20240117165001,-142.70404
20240119090001,77.9904
20240119091001,-67.71888
20240119092001,-45.85285
20240119093001,-16.29782
20240119094001,32.18186
20240119095001,9.30542
20240119100001,-57.45071
20240119101001,-81.92763
20240119102001,-97.29794
20240119103001,-113.68035
20240119104001,-132.42742
20240119105001,-158.10017
20240119110001,-95.85823
20240119111001,-83.31221
20240119112001,-65.51282
20240119113001,-59.80045
20240119114001,-52.92138
20240119115001,-51.11114
20240119120001,-50.57426
20240119121001,-46.52563
20240119122001,-40.5394
20240119123001,-40.10969
20240119124001,-37.75334
20240119125001,-32.01789
20240119130001,-73.61712
20240119131001,-78.64216
20240119132001,-64.71428
20240119133001,-45.59514
20240119134001,-27.55035
20240119135001,-29.14405
20240119140001,-29.96294
20240119141001,-34.50365
20240119142001,-44.13776
20240119143001,-62.19722
20240119144001,-76.70431
20240119145001,-98.3064
20240119150001,-74.60026
20240119151001,-38.78833
20240119152001,-52.70835
20240119153001,-70.19146
20240119154001,-105.85499
20240119155001,-112.531
20240119160001,-109.93287
20240119161001,-86.87107
20240119162001,-138.93743
20240119163001,-139.92931
20240119164001,-141.52442
20240119165001,-142.70404
20240224090001,-46.98552
20240224091001,-40.18665
20240224092001,-9.97189
20240224093001,-15.79479
20240224094001,-43.00937
20240224095001,-44.34177
20240224100001,-55.39265
20240224101001,-79.11241
20240224102001,-115.1272
20240224103001,-139.27085
20240224104001,-147.81291
20240224105001,-148.30954
20240224110001,-95.85823
20240224111001,-83.31221
20240224112001,-65.51282
20240224113001,-59.80045
20240224114001,-52.92138
20240224115001,-51.11114
20240224120001,-50.57426
20240224121001,-46.52563
20240224122001,-40.5394
20240224123001,-40.10969
20240224124001,-37.75334
20240224125001,-32.01789
20240224130001,-73.61712
20240224131001,-78.64216
