序號,答案
20240117090001,155.07
20240117091001,158.312
20240117092001,147.424
20240117093001,105.96
20240117094001,57.03
20240117095001,90.444
20240117100001,113.64
20240117101001,162.234
20240117102001,91.302
20240117103001,111.216
20240117104001,133.312
20240117105001,133.312
20240117110001,264.662
20240117111001,240.722
20240117112001,170.862
20240117113001,116.214
20240117114001,102.236
20240117115001,92.424
20240117120001,53.434
20240117121001,52.894
20240117122001,52.894
20240117123001,48.28
20240117124001,19.43
20240117125001,12.762
20240117130001,9.126
20240117131001,5.912
20240117132001,3.992
20240117133001,2.364
20240117134001,2.364
20240117135001,1.47
20240117140001,0.684
20240117141001,0.684
20240117142001,0.684
20240117143001,0.684
20240117144001,0.416
20240117145001,23.594
20240117150001,64.036
20240117151001,64.036
20240117152001,114.844
20240117153001,110.466
20240117154001,111.812
20240117155001,182.824
20240117160001,247.528
20240117161001,353.622
20240117162001,353.622
20240117163001,304.864
20240117164001,321.668
20240117165001,212.07
20240119090001,264.5
20240119091001,445.728
20240119092001,159.506
20240119093001,154.464
20240119094001,57.03
20240119095001,93.46
20240119100001,107.438
20240119101001,91.302
20240119102001,91.302
20240119103001,162.234
20240119104001,111.216
20240119105001,133.312
20240119110001,264.662
20240119111001,240.722
20240119112001,170.862
20240119113001,116.214
20240119114001,102.236
20240119115001,92.424
20240119120001,53.434
20240119121001,52.894
20240119122001,52.894
20240119123001,48.28
20240119124001,19.43
20240119125001,12.762
20240119130001,9.126
20240119131001,5.912
20240119132001,3.992
20240119133001,2.364
20240119134001,2.364
20240119135001,1.47
20240119140001,0.684
20240119141001,0.684
20240119142001,0.684
20240119143001,0.684
20240119144001,0.416
20240119145001,23.594
20240119150001,64.036
20240119151001,64.036
20240119152001,114.844
20240119153001,110.466
20240119154001,111.812
20240119155001,182.824
20240119160001,247.528
20240119161001,353.622
20240119162001,353.622
20240119163001,304.864
20240119164001,321.668
20240119165001,212.07
20240224090001,202.26
20240224091001,166.722
20240224092001,159.506
20240224093001,79.77
20240224094001,57.03
20240224095001,90.444
20240224100001,113.982
20240224101001,248.05
20240224102001,91.302
20240224103001,111.216
20240224104001,133.312
20240224105001,133.312
20240224110001,264.662
20240224111001,240.722
20240224112001,170.862
20240224113001,116.214
20240224114001,102.236
20240224115001,92.424
20240224120001,53.434
20240224121001,52.894
20240224122001,52.894
20240224123001,48.28
20240224124001,19.43
20240224125001,12.762
20240224130001,9.126
20240224131001,5.912
20240224132001,3.992
20240224133001,2.364
20240224134001,2.364
20240224135001,1.47
20240224140001,0.684
20240224141001,0.684
20240224142001,0.684
20240224143001,0.684
20240224144001,0.416
20240224145001,23.594
20240224150001,64.036
20240224151001,64.036
20240224152001,114.844
20240224153001,110.466
20240224154001,111.812
20240224155001,182.824
20240224160001,247.528
20240224161001,353.622
20240224162001,353.622
20240224163001,304.864
20240224164001,321.668
20240224165001,212.07
20240226090001,82.38
20240226091001,121.798
20240226092001,140.208
20240226093001,79.77
20240226094001,57.03
20240226095001,90.444
20240226100001,113.982
20240226101001,162.234
20240226102001,91.302
20240226103001,111.216
20240226104001,133.312
20240226105001,133.312
20240226110001,264.662
20240226111001,240.722
20240226112001,170.862
20240226113001,116.214
20240226114001,102.236
20240226115001,92.424
20240226120001,53.434
20240226121001,52.894
20240226122001,52.894
20240226123001,48.28
20240226124001,19.43
20240226125001,12.762
20240226130001,9.126
20240226131001,5.912
20240226132001,3.992
20240226133001,2.364
20240226134001,2.364
20240226135001,1.47
20240226140001,0.684
20240226141001,0.684
20240226142001,0.684
20240226143001,0.684
20240226144001,0.416
20240226145001,23.594
20240226150001,64.036
20240226151001,64.036
20240226152001,114.844
20240226153001,110.466
20240226154001,111.812
20240226155001,182.824
20240226160001,247.528
20240226161001,353.622
20240226162001,353.622
20240226163001,304.864
20240226164001,321.668
20240226165001,212.07
20240327090001,128.336
20240327091001,314.356
20240327092001,159.506
20240327093001,130.804
20240327094001,83.628
20240327095001,107.134
20240327100001,111.216
20240327101001,91.302
20240327102001,91.302
20240327103001,111.216
20240327104001,181.098
20240327105001,133.312
20240327110001,264.662
20240327111001,240.722
20240327112001,170.862
20240327113001,116.214
20240327114001,102.236
20240327115001,92.424
20240327120001,53.434
20240327121001,52.894
20240327122001,52.894
20240327123001,48.28
20240327124001,19.43
20240327125001,12.762
20240327130001,9.126
20240327131001,5.912
20240327132001,3.992
20240327133001,2.364
20240327134001,2.364
20240327135001,1.47
20240327140001,0.684
20240327141001,0.684
20240327142001,0.684
20240327143001,0.684
20240327144001,0.416
20240327145001,23.594
20240327150001,64.036
20240327151001,64.036
20240327152001,114.844
20240327153001,110.466
20240327154001,111.812
20240327155001,182.824
20240327160001,247.528
20240327161001,353.622
20240327162001,353.622
20240327163001,304.864
20240327164001,321.668
20240327165001,212.07
20240329090001,147.766
20240329091001,314.356
20240329092001,192.156
20240329093001,154.464
20240329094001,57.03
20240329095001,98.392
20240329100001,91.302
20240329101001,91.302
20240329102001,91.302
20240329103001,181.098
20240329104001,181.098
20240329105001,134.698
20240329110001,264.662
20240329111001,240.722
20240329112001,170.862
20240329113001,116.214
20240329114001,102.236
20240329115001,92.424
20240329120001,53.434
20240329121001,52.894
20240329122001,52.894
