序號,答案
20240117090001,159.32751
20240117091001,159.32751
20240117092001,159.32751
20240117093001,159.32751
20240117094001,159.32751
20240117095001,155.2933
20240117100001,140.52118
20240117101001,125.31182
20240117102001,159.32751
20240117103001,159.32751
20240117104001,159.32751
20240117105001,159.32751
20240117110001,140.08394
20240117111001,140.08394
20240117112001,140.08394
20240117113001,155.2933
20240117114001,140.52118
20240117115001,140.52118
20240117120001,140.52118
20240117121001,155.2933
20240117122001,155.2933
20240117123001,155.2933
20240117124001,155.2933
20240117125001,140.08394
20240117130001,144.11815
20240117131001,144.11815
20240117132001,140.08394
20240117133001,155.2933
20240117134001,155.2933
20240117135001,140.52118
20240117140001,140.52118
20240117141001,140.52118
20240117142001,125.31182
20240117143001,125.31182
20240117144001,125.31182
20240117145001,140.08394
20240117150001,155.2933
20240117151001,155.2933
20240117152001,155.2933
20240117153001,140.52118
20240117154001,140.52118
20240117155001,140.52118
20240117160001,155.2933
20240117161001,155.2933
20240117162001,155.2933
20240117163001,155.2933
20240117164001,155.2933
20240117165001,155.2933
20240119090001,159.32751
20240119091001,159.32751
20240119092001,159.32751
20240119093001,159.32751
20240119094001,159.32751
20240119095001,159.32751
20240119100001,159.32751
20240119101001,159.32751
20240119102001,159.32751
20240119103001,159.32751
20240119104001,159.32751
20240119105001,159.32751
20240119110001,140.08394
20240119111001,140.08394
20240119112001,140.08394
20240119113001,155.2933
20240119114001,140.52118
20240119115001,140.52118
20240119120001,140.52118
20240119121001,155.2933
20240119122001,155.2933
20240119123001,155.2933
20240119124001,155.2933
20240119125001,140.08394
20240119130001,144.11815
20240119131001,144.11815
20240119132001,140.08394
20240119133001,155.2933
20240119134001,155.2933
20240119135001,140.52118
20240119140001,140.52118
20240119141001,140.52118
20240119142001,125.31182
20240119143001,125.31182
20240119144001,125.31182
20240119145001,140.08394
20240119150001,155.2933
20240119151001,155.2933
20240119152001,155.2933
20240119153001,140.52118
20240119154001,140.52118
20240119155001,140.52118
20240119160001,155.2933
20240119161001,155.2933
20240119162001,155.2933
20240119163001,155.2933
20240119164001,155.2933
20240119165001,155.2933
20240224090001,159.32751
20240224091001,159.32751
20240224092001,159.32751
20240224093001,159.32751
20240224094001,159.32751
20240224095001,140.52118
20240224100001,125.31182
20240224101001,125.31182
20240224102001,155.2933
20240224103001,155.2933
20240224104001,155.2933
20240224105001,155.2933
20240224110001,140.08394
20240224111001,140.08394
20240224112001,140.08394
20240224113001,155.2933
20240224114001,140.52118
20240224115001,140.52118
20240224120001,140.52118
20240224121001,155.2933
20240224122001,155.2933
20240224123001,155.2933
20240224124001,155.2933
20240224125001,140.08394
20240224130001,144.11815
20240224131001,144.11815
20240224132001,140.08394
20240224133001,155.2933
20240224134001,155.2933
20240224135001,140.52118
20240224140001,140.52118
20240224141001,140.52118
20240224142001,125.31182
20240224143001,125.31182
20240224144001,125.31182
20240224145001,140.08394
20240224150001,155.2933
20240224151001,155.2933
20240224152001,155.2933
20240224153001,140.52118
20240224154001,140.52118
20240224155001,140.52118
20240224160001,155.2933
20240224161001,155.2933
20240224162001,155.2933
20240224163001,155.2933
20240224164001,155.2933
20240224165001,155.2933
20240226090001,159.32751
20240226091001,159.32751
20240226092001,159.32751
20240226093001,159.32751
20240226094001,159.32751
20240226095001,140.52118
20240226100001,125.31182
20240226101001,125.31182
20240226102001,155.2933
20240226103001,159.32751
20240226104001,159.32751
20240226105001,155.2933
20240226110001,140.08394
20240226111001,140.08394
20240226112001,140.08394
20240226113001,155.2933
20240226114001,140.52118
20240226115001,140.52118
20240226120001,140.52118
20240226121001,155.2933
20240226122001,155.2933
20240226123001,155.2933
20240226124001,155.2933
20240226125001,140.08394
20240226130001,144.11815
20240226131001,144.11815
20240226132001,140.08394
20240226133001,155.2933
20240226134001,155.2933
20240226135001,140.52118
20240226140001,140.52118
20240226141001,140.52118
20240226142001,125.31182
20240226143001,125.31182
20240226144001,125.31182
20240226145001,140.08394
20240226150001,155.2933
20240226151001,155.2933
20240226152001,155.2933
20240226153001,140.52118
20240226154001,140.52118
20240226155001,140.52118
20240226160001,155.2933
20240226161001,155.2933
20240226162001,155.2933
20240226163001,155.2933
20240226164001,155.2933
20240226165001,155.2933
20240327090001,147.85203
20240327091001,147.85203
20240327092001,147.85203
20240327093001,147.85203
20240327094001,147.85203
20240327095001,147.85203
20240327100001,132.19777
20240327101001,132.19777
20240327102001,147.85203
20240327103001,147.85203
20240327104001,147.85203
20240327105001,147.85203
20240327110001,140.08394
20240327111001,140.08394
20240327112001,140.08394
20240327113001,155.2933
20240327114001,140.52118
20240327115001,140.52118
