序號,答案
20240117090001,-1309.95968
20240117091001,-1310.02778
20240117092001,-1310.01517
20240117093001,-1310.01849
20240117094001,-1309.99906
20240117095001,-1309.97368
20240117100001,-1309.96171
20240117101001,-1309.95283
20240117102001,-1309.94481
20240117103001,-1309.92325
20240117104001,-1309.89478
20240117105001,-1309.87846
20240117110001,-1309.86484
20240117111001,-1309.84804
20240117112001,-1309.82754
20240117113001,-1309.80533
20240117114001,-1309.78091
20240117115001,-1309.75614
20240117120001,-1309.73133
20240117121001,-1309.70469
20240117122001,-1309.67532
20240117123001,-1309.64327
20240117124001,-1309.60849
20240117125001,-1309.56963
20240117130001,-1309.5257
20240117131001,-1309.47565
20240117132001,-1309.41817
20240117133001,-1309.35164
20240117134001,-1309.27388
20240117135001,-1309.18254
20240117140001,-1309.07516
20240117141001,-1308.94974
20240117142001,-1308.80569
20240117143001,-1308.64492
20240117144001,-1308.47282
20240117145001,-1308.29863
20240117150001,-1308.13489
20240117151001,-1307.99554
20240117152001,-1307.89198
20240117153001,-1307.82852
20240117154001,-1307.8012
20240117155001,-1307.80166
20240117160001,-1307.82186
20240117161001,-1307.85562
20240117162001,-1307.89791
20240117163001,-1307.94414
20240117164001,-1307.99015
20240117165001,-1308.03272
20240119090001,-1309.55786
20240119091001,-1310.14854
20240119092001,-1310.28101
20240119093001,-1310.12404
20240119094001,-1310.0508
20240119095001,-1310.05151
20240119100001,-1309.93308
20240119101001,-1309.9051
20240119102001,-1309.93306
20240119103001,-1309.98748
20240119104001,-1309.94329
20240119105001,-1309.92211
20240119110001,-1309.86484
20240119111001,-1309.84804
20240119112001,-1309.82754
20240119113001,-1309.80533
20240119114001,-1309.78091
20240119115001,-1309.75614
20240119120001,-1309.73133
20240119121001,-1309.70469
20240119122001,-1309.67532
20240119123001,-1309.64327
20240119124001,-1309.60849
20240119125001,-1309.56963
20240119130001,-1309.5257
20240119131001,-1309.47565
20240119132001,-1309.41817
20240119133001,-1309.35164
20240119134001,-1309.27388
20240119135001,-1309.18254
20240119140001,-1309.07516
20240119141001,-1308.94974
20240119142001,-1308.80569
20240119143001,-1308.64492
20240119144001,-1308.47282
20240119145001,-1308.29863
20240119150001,-1308.13489
20240119151001,-1307.99554
20240119152001,-1307.89198
20240119153001,-1307.82852
20240119154001,-1307.8012
20240119155001,-1307.80166
20240119160001,-1307.82186
20240119161001,-1307.85562
20240119162001,-1307.89791
20240119163001,-1307.94414
20240119164001,-1307.99015
20240119165001,-1308.03272
20240224090001,-1311.15252
20240224091001,-1310.25356
20240224092001,-1310.28895
20240224093001,-1310.09699
20240224094001,-1310.05425
20240224095001,-1310.00621
20240224100001,-1309.97946
20240224101001,-1309.96649
20240224102001,-1309.92959
20240224103001,-1309.93255
20240224104001,-1309.90953
20240224105001,-1309.88275
20240224110001,-1309.86484
20240224111001,-1309.84804
20240224112001,-1309.82754
20240224113001,-1309.80533
20240224114001,-1309.78091
20240224115001,-1309.75614
20240224120001,-1309.73133
20240224121001,-1309.70469
20240224122001,-1309.67532
20240224123001,-1309.64327
20240224124001,-1309.60849
20240224125001,-1309.56963
20240224130001,-1309.5257
20240224131001,-1309.47565
20240224132001,-1309.41817
20240224133001,-1309.35164
20240224134001,-1309.27388
20240224135001,-1309.18254
20240224140001,-1309.07516
20240224141001,-1308.94974
20240224142001,-1308.80569
20240224143001,-1308.64492
20240224144001,-1308.47282
20240224145001,-1308.29863
20240224150001,-1308.13489
20240224151001,-1307.99554
20240224152001,-1307.89198
20240224153001,-1307.82852
20240224154001,-1307.8012
20240224155001,-1307.80166
20240224160001,-1307.82186
20240224161001,-1307.85562
20240224162001,-1307.89791
20240224163001,-1307.94414
20240224164001,-1307.99015
20240224165001,-1308.03272
20240226090001,-1311.57822
20240226091001,-1310.35306
20240226092001,-1310.13502
20240226093001,-1310.09433
20240226094001,-1310.0094
20240226095001,-1310.01764
20240226100001,-1309.97854
20240226101001,-1309.97201
20240226102001,-1309.95971
20240226103001,-1309.95088
20240226104001,-1309.92378
20240226105001,-1309.87365
20240226110001,-1309.86484
20240226111001,-1309.84804
20240226112001,-1309.82754
20240226113001,-1309.80533
20240226114001,-1309.78091
20240226115001,-1309.75614
20240226120001,-1309.73133
20240226121001,-1309.70469
20240226122001,-1309.67532
20240226123001,-1309.64327
20240226124001,-1309.60849
20240226125001,-1309.56963
20240226130001,-1309.5257
20240226131001,-1309.47565
20240226132001,-1309.41817
20240226133001,-1309.35164
20240226134001,-1309.27388
20240226135001,-1309.18254
20240226140001,-1309.07516
20240226141001,-1308.94974
20240226142001,-1308.80569
20240226143001,-1308.64492
20240226144001,-1308.47282
20240226145001,-1308.29863
20240226150001,-1308.13489
20240226151001,-1307.99554
20240226152001,-1307.89198
20240226153001,-1307.82852
20240226154001,-1307.8012
20240226155001,-1307.80166
20240226160001,-1307.82186
20240226161001,-1307.85562
20240226162001,-1307.89791
20240226163001,-1307.94414
20240226164001,-1307.99015
20240226165001,-1308.03272
20240327090001,-1310.97221
20240327091001,-1310.16292
20240327092001,-1310.35846
20240327093001,-1310.22867
20240327094001,-1310.1052
20240327095001,-1309.9895
20240327100001,-1309.90802
20240327101001,-1309.90037
20240327102001,-1309.91515
20240327103001,-1309.92703
20240327104001,-1309.9562
20240327105001,-1309.91328
20240327110001,-1309.86484
20240327111001,-1309.84804
20240327112001,-1309.82754
20240327113001,-1309.80533
20240327114001,-1309.78091
20240327115001,-1309.75614
20240327120001,-1309.73133
20240327121001,-1309.70469
20240327122001,-1309.67532
20240327123001,-1309.64327
20240327124001,-1309.60849
20240327125001,-1309.56963
20240327130001,-1309.5257
20240327131001,-1309.47565
20240327132001,-1309.41817
20240327133001,-1309.35164
20240327134001,-1309.27388
20240327135001,-1309.18254
20240327140001,-1309.07516
20240327141001,-1308.94974
20240327142001,-1308.80569
20240327143001,-1308.64492
20240327144001,-1308.47282
20240327145001,-1308.29863
20240327150001,-1308.13489
20240327151001,-1307.99554
20240327152001,-1307.89198
20240327153001,-1307.82852
20240327154001,-1307.8012
20240327155001,-1307.80166
20240327160001,-1307.82186
20240327161001,-1307.85562
20240327162001,-1307.89791
20240327163001,-1307.94414
20240327164001,-1307.99015
20240327165001,-1308.03272
20240329090001,-1311.08759
20240329091001,-1310.03354
20240329092001,-1310.22036
20240329093001,-1310.095
20240329094001,-1310.09319
20240329095001,-1309.88721
20240329100001,-1309.90594
20240329101001,-1309.88149
20240329102001,-1309.8886
20240329103001,-1309.91586
20240329104001,-1309.9072
20240329105001,-1309.89277
20240329110001,-1309.86484
20240329111001,-1309.84804
20240329112001,-1309.82754
20240329113001,-1309.80533
20240329114001,-1309.78091
20240329115001,-1309.75614
20240329120001,-1309.73133
20240329121001,-1309.70469
20240329122001,-1309.67532
20240329123001,-1309.64327
20240329124001,-1309.60849
20240329125001,-1309.56963
20240329130001,-1309.5257
20240329131001,-1309.47565
20240329132001,-1309.41817
20240329133001,-1309.35164
20240329134001,-1309.27388
20240329135001,-1309.18254
20240329140001,-1309.07516
20240329141001,-1308.94974
20240329142001,-1308.80569
20240329143001,-1308.64492
20240329144001,-1308.47282
20240329145001,-1308.29863
20240329150001,-1308.13489
20240329151001,-1307.99554
20240329152001,-1307.89198
20240329153001,-1307.82852
20240329154001,-1307.8012
20240329155001,-1307.80166
20240329160001,-1307.82186
20240329161001,-1307.85562
20240329162001,-1307.89791
20240329163001,-1307.94414
20240329164001,-1307.99015
20240329165001,-1308.03272
20240428090001,-1310.80315
20240428091001,-1310.1511
20240428092001,-1310.32221
20240428093001,-1310.14447
20240428094001,-1310.15788
20240428095001,-1309.89573
20240428100001,-1309.89853
20240428101001,-1309.95174
20240428102001,-1309.84664
20240428103001,-1309.87397
20240428104001,-1309.93174
20240428105001,-1309.89581
20240428110001,-1309.86484
20240428111001,-1309.84804
20240428112001,-1309.82754
20240428113001,-1309.80533
20240428114001,-1309.78091
20240428115001,-1309.75614
20240428120001,-1309.73133
20240428121001,-1309.70469
20240428122001,-1309.67532
20240428123001,-1309.64327
20240428124001,-1309.60849
20240428125001,-1309.56963
20240428130001,-1309.5257
20240428131001,-1309.47565
20240428132001,-1309.41817
20240428133001,-1309.35164
20240428134001,-1309.27388
20240428135001,-1309.18254
20240428140001,-1309.07516
20240428141001,-1308.94974
20240428142001,-1308.80569
20240428143001,-1308.64492
20240428144001,-1308.47282
20240428145001,-1308.29863
20240428150001,-1308.13489
20240428151001,-1307.99554
20240428152001,-1307.89198
20240428153001,-1307.82852
20240428154001,-1307.8012
20240428155001,-1307.80166
20240428160001,-1307.82186
20240428161001,-1307.85562
20240428162001,-1307.89791
20240428163001,-1307.94414
20240428164001,-1307.99015
20240428165001,-1308.03272
20240430090001,-1309.61609
20240430091001,-1309.51435
20240430092001,-1310.60127
20240430093001,-1310.03235
20240430094001,-1310.60613
20240430095001,-1310.36714
20240430100001,-1310.18074
20240430101001,-1309.84159
20240430102001,-1309.95199
20240430103001,-1309.85312
20240430104001,-1309.89988
20240430105001,-1309.89977
20240430110001,-1309.86484
20240430111001,-1309.84804
20240430112001,-1309.82754
20240430113001,-1309.80533
20240430114001,-1309.78091
20240430115001,-1309.75614
20240430120001,-1309.73133
20240430121001,-1309.70469
20240430122001,-1309.67532
20240430123001,-1309.64327
20240430124001,-1309.60849
20240430125001,-1309.56963
20240430130001,-1309.5257
20240430131001,-1309.47565
20240430132001,-1309.41817
20240430133001,-1309.35164
20240430134001,-1309.27388
20240430135001,-1309.18254
20240430140001,-1309.07516
20240430141001,-1308.94974
20240430142001,-1308.80569
20240430143001,-1308.64492
20240430144001,-1308.47282
20240430145001,-1308.29863
20240430150001,-1308.13489
20240430151001,-1307.99554
20240430152001,-1307.89198
20240430153001,-1307.82852
20240430154001,-1307.8012
20240430155001,-1307.80166
20240430160001,-1307.82186
20240430161001,-1307.85562
20240430162001,-1307.89791
20240430163001,-1307.94414
20240430164001,-1307.99015
20240430165001,-1308.03272
20240515090001,-1309.43392
20240515091001,-1309.12617
20240515092001,-1311.01799
20240515093001,-1310.31241
20240515094001,-1310.87239
20240515095001,-1310.42773
20240515100001,-1310.02837
20240515101001,-1309.75784
20240515102001,-1309.8748
20240515103001,-1309.88227
20240515104001,-1309.8952
20240515105001,-1309.83212
20240515110001,-1309.86484
20240515111001,-1309.84804
20240515112001,-1309.82754
20240515113001,-1309.80533
20240515114001,-1309.78091
20240515115001,-1309.75614
20240515120001,-1309.73133
20240515121001,-1309.70469
20240515122001,-1309.67532
20240515123001,-1309.64327
20240515124001,-1309.60849
20240515125001,-1309.56963
20240515130001,-1309.5257
20240515131001,-1309.47565
20240515132001,-1309.41817
20240515133001,-1309.35164
20240515134001,-1309.27388
20240515135001,-1309.18254
20240515140001,-1309.07516
20240515141001,-1308.94974
20240515142001,-1308.80569
20240515143001,-1308.64492
20240515144001,-1308.47282
20240515145001,-1308.29863
20240515150001,-1308.13489
20240515151001,-1307.99554
20240515152001,-1307.89198
20240515153001,-1307.82852
20240515154001,-1307.8012
20240515155001,-1307.80166
20240515160001,-1307.82186
20240515161001,-1307.85562
20240515162001,-1307.89791
20240515163001,-1307.94414
20240515164001,-1307.99015
20240515165001,-1308.03272
20240520090001,-1309.8834
20240520091001,-1309.51265
20240520092001,-1310.52584
20240520093001,-1310.13147
20240520094001,-1310.68584
20240520095001,-1310.07011
20240520100001,-1310.02243
20240520101001,-1309.92988
20240520102001,-1309.97697
20240520103001,-1309.94932
20240520104001,-1309.90795
20240520105001,-1309.89582
20240520110001,-1309.86484
20240520111001,-1309.84804
20240520112001,-1309.82754
20240520113001,-1309.80533
20240520114001,-1309.78091
20240520115001,-1309.75614
20240520120001,-1309.73133
20240520121001,-1309.70469
20240520122001,-1309.67532
20240520123001,-1309.64327
20240520124001,-1309.60849
20240520125001,-1309.56963
20240520130001,-1309.5257
20240520131001,-1309.47565
20240520132001,-1309.41817
20240520133001,-1309.35164
20240520134001,-1309.27388
20240520135001,-1309.18254
20240520140001,-1309.07516
20240520141001,-1308.94974
20240520142001,-1308.80569
20240520143001,-1308.64492
20240520144001,-1308.47282
20240520145001,-1308.29863
20240520150001,-1308.13489
20240520151001,-1307.99554
20240520152001,-1307.89198
20240520153001,-1307.82852
20240520154001,-1307.8012
20240520155001,-1307.80166
20240520160001,-1307.82186
20240520161001,-1307.85562
20240520162001,-1307.89791
20240520163001,-1307.94414
20240520164001,-1307.99015
20240520165001,-1308.03272
20240613090001,-1310.74358
20240613091001,-1309.91011
20240613092001,-1310.20177
20240613093001,-1310.18867
20240613094001,-1310.19992
20240613095001,-1309.88833
20240613100001,-1309.93117
20240613101001,-1309.91892
20240613102001,-1309.87354
20240613103001,-1309.83962
20240613104001,-1309.87474
20240613105001,-1309.88753
20240613110001,-1309.86484
20240613111001,-1309.84804
20240613112001,-1309.82754
20240613113001,-1309.80533
20240613114001,-1309.78091
20240613115001,-1309.75614
20240613120001,-1309.73133
20240613121001,-1309.70469
20240613122001,-1309.67532
20240613123001,-1309.64327
20240613124001,-1309.60849
20240613125001,-1309.56963
20240613130001,-1309.5257
20240613131001,-1309.47565
20240613132001,-1309.41817
20240613133001,-1309.35164
20240613134001,-1309.27388
20240613135001,-1309.18254
20240613140001,-1309.07516
20240613141001,-1308.94974
20240613142001,-1308.80569
20240613143001,-1308.64492
20240613144001,-1308.47282
20240613145001,-1308.29863
20240613150001,-1308.13489
20240613151001,-1307.99554
20240613152001,-1307.89198
20240613153001,-1307.82852
20240613154001,-1307.8012
20240613155001,-1307.80166
20240613160001,-1307.82186
20240613161001,-1307.85562
20240613162001,-1307.89791
20240613163001,-1307.94414
20240613164001,-1307.99015
20240613165001,-1308.03272
20240615090001,-1309.21506
20240615091001,-1309.36017
20240615092001,-1311.04264
20240615093001,-1310.31952
20240615094001,-1310.95337
20240615095001,-1310.23234
20240615100001,-1309.90087
20240615101001,-1309.78276
20240615102001,-1309.85121
20240615103001,-1310.00313
20240615104001,-1309.89036
20240615105001,-1309.75872
20240615110001,-1309.86484
20240615111001,-1309.84804
20240615112001,-1309.82754
20240615113001,-1309.80533
20240615114001,-1309.78091
20240615115001,-1309.75614
20240615120001,-1309.73133
20240615121001,-1309.70469
20240615122001,-1309.67532
20240615123001,-1309.64327
20240615124001,-1309.60849
20240615125001,-1309.56963
20240615130001,-1309.5257
20240615131001,-1309.47565
20240615132001,-1309.41817
20240615133001,-1309.35164
20240615134001,-1309.27388
20240615135001,-1309.18254
20240615140001,-1309.07516
20240615141001,-1308.94974
20240615142001,-1308.80569
20240615143001,-1308.64492
20240615144001,-1308.47282
20240615145001,-1308.29863
20240615150001,-1308.13489
20240615151001,-1307.99554
20240615152001,-1307.89198
20240615153001,-1307.82852
20240615154001,-1307.8012
20240615155001,-1307.80166
20240615160001,-1307.82186
20240615161001,-1307.85562
20240615162001,-1307.89791
20240615163001,-1307.94414
20240615164001,-1307.99015
20240615165001,-1308.03272
20240703090001,-1309.58297
20240703091001,-1310.01004
20240703092001,-1310.84365
20240703093001,-1310.244
20240703094001,-1310.85173
20240703095001,-1310.12307
20240703100001,-1309.7324
20240703101001,-1309.66043
20240703102001,-1309.7663
20240703103001,-1309.4439
20240703104001,-1309.86791
20240703105001,-1309.89283
20240703110001,-1309.86484
20240703111001,-1309.84804
20240703112001,-1309.82754
20240703113001,-1309.80533
20240703114001,-1309.78091
20240703115001,-1309.75614
20240703120001,-1309.73133
20240703121001,-1309.70469
20240703122001,-1309.67532
20240703123001,-1309.64327
20240703124001,-1309.60849
20240703125001,-1309.56963
20240703130001,-1309.5257
20240703131001,-1309.47565
20240703132001,-1309.41817
20240703133001,-1309.35164
20240703134001,-1309.27388
20240703135001,-1309.18254
20240703140001,-1309.07516
20240703141001,-1308.94974
20240703142001,-1308.80569
20240703143001,-1308.64492
20240703144001,-1308.47282
20240703145001,-1308.29863
20240703150001,-1308.13489
20240703151001,-1307.99554
20240703152001,-1307.89198
20240703153001,-1307.82852
20240703154001,-1307.8012
20240703155001,-1307.80166
20240703160001,-1307.82186
20240703161001,-1307.85562
20240703162001,-1307.89791
20240703163001,-1307.94414
20240703164001,-1307.99015
20240703165001,-1308.03272
20240707090001,-1309.25469
20240707091001,-1309.63224
20240707092001,-1311.07445
20240707093001,-1310.26526
20240707094001,-1311.03791
20240707095001,-1310.11001
20240707100001,-1309.90656
20240707101001,-1309.76444
20240707102001,-1309.84197
20240707103001,-1309.96308
20240707104001,-1309.88813
20240707105001,-1309.78728
20240707110001,-1309.86484
20240707111001,-1309.84804
20240707112001,-1309.82754
20240707113001,-1309.80533
20240707114001,-1309.78091
20240707115001,-1309.75614
20240707120001,-1309.73133
20240707121001,-1309.70469
20240707122001,-1309.67532
20240707123001,-1309.64327
20240707124001,-1309.60849
20240707125001,-1309.56963
20240707130001,-1309.5257
20240707131001,-1309.47565
20240707132001,-1309.41817
20240707133001,-1309.35164
20240707134001,-1309.27388
20240707135001,-1309.18254
20240707140001,-1309.07516
20240707141001,-1308.94974
20240707142001,-1308.80569
20240707143001,-1308.64492
20240707144001,-1308.47282
20240707145001,-1308.29863
20240707150001,-1308.13489
20240707151001,-1307.99554
20240707152001,-1307.89198
20240707153001,-1307.82852
20240707154001,-1307.8012
20240707155001,-1307.80166
20240707160001,-1307.82186
20240707161001,-1307.85562
20240707162001,-1307.89791
20240707163001,-1307.94414
20240707164001,-1307.99015
20240707165001,-1308.03272
20240125090002,-1310.53548
20240125091002,-1309.73692
20240125092002,-1309.87117
20240125093002,-1310.06947
20240125094002,-1310.07538
20240125095002,-1310.11787
20240125100002,-1309.98631
20240125101002,-1309.98462
20240125102002,-1309.94528
20240125103002,-1309.92866
20240125104002,-1309.95064
20240125105002,-1309.89427
20240125110002,-1309.86484
20240125111002,-1309.84804
20240125112002,-1309.82754
20240125113002,-1309.80533
20240125114002,-1309.78091
20240125115002,-1309.75614
20240125120002,-1309.73133
20240125121002,-1309.70469
20240125122002,-1309.67532
20240125123002,-1309.64327
20240125124002,-1309.60849
20240125125002,-1309.56963
20240125130002,-1309.5257
20240125131002,-1309.47565
20240125132002,-1309.41817
20240125133002,-1309.35164
20240125134002,-1309.27388
20240125135002,-1309.18254
20240125140002,-1309.07516
20240125141002,-1308.94974
20240125142002,-1308.80569
20240125143002,-1308.64492
20240125144002,-1308.47282
20240125145002,-1308.29863
20240125150002,-1308.13489
20240125151002,-1307.99554
20240125152002,-1307.89198
20240125153002,-1307.82852
