序號,答案
20240117090001,103.86
20240117091001,103.1
20240117092001,102.42
20240117093001,105.02
20240117094001,105.47
20240117095001,98.86
20240117100001,91.96
20240117101001,74.11
20240117102001,60.41
20240117103001,51.03
20240117104001,42.94
20240117105001,32.4
20240117110001,25.27
20240117111001,17.29
20240117112001,11.83
20240117113001,9.21
20240117114001,5.43
20240117115001,3.88
20240117120001,3.66
20240117121001,3.56
20240117122001,3.65
20240117123001,4.43
20240117124001,5.23
20240117125001,5.76
20240117130001,5.41
20240117131001,4.53
20240117132001,3.89
20240117133001,3.54
20240117134001,3.13
20240117135001,3.0
20240117140001,2.98
20240117141001,3.09
20240117142001,3.18
20240117143001,3.28
20240117144001,3.27
20240117145001,3.18
20240117150001,3.15
20240117151001,3.13
20240117152001,2.96
20240117153001,2.87
20240117154001,2.87
20240117155001,2.92
20240117160001,3.05
20240117161001,3.09
20240117162001,3.23
20240117163001,3.31
20240117164001,3.31
20240117165001,3.47
20240119090001,206.88
20240119091001,181.39
20240119092001,150.42
20240119093001,151.32
20240119094001,158.23
20240119095001,151.03
20240119100001,127.22
20240119101001,115.47
20240119102001,116.27
20240119103001,119.33
20240119104001,113.55
20240119105001,100.99
20240119110001,99.92
20240119111001,100.91
20240119112001,99.36
20240119113001,83.7
20240119114001,80.76
20240119115001,68.23
20240119120001,62.27
20240119121001,53.11
20240119122001,42.48
20240119123001,31.92
20240119124001,28.62
20240119125001,18.39
20240119130001,14.91
20240119131001,12.26
20240119132001,11.35
20240119133001,11.01
20240119134001,11.08
20240119135001,11.2
20240119140001,11.17
20240119141001,11.32
20240119142001,11.18
20240119143001,11.19
20240119144001,11.67
20240119145001,11.92
20240119150001,11.9
20240119151001,11.98
20240119152001,11.78
20240119153001,12.24
20240119154001,12.47
20240119155001,12.41
20240119160001,12.78
20240119161001,13.1
20240119162001,13.15
20240119163001,13.2
20240119164001,13.19
20240119165001,13.06
20240224090001,46.91
20240224091001,43.88
20240224092001,38.15
20240224093001,31.56
20240224094001,24.98
20240224095001,23.01
20240224100001,15.09
20240224101001,11.87
20240224102001,9.68
20240224103001,6.6
20240224104001,4.25
20240224105001,4.09
20240224110001,4.59
20240224111001,5.08
20240224112001,5.21
20240224113001,5.38
20240224114001,5.83
20240224115001,6.53
20240224120001,6.85
20240224121001,5.98
20240224122001,5.24
20240224123001,5.03
20240224124001,5.27
20240224125001,5.43
20240224130001,5.5
20240224131001,5.52
20240224132001,5.57
20240224133001,5.55
20240224134001,5.31
20240224135001,4.96
20240224140001,4.78
20240224141001,4.73
20240224142001,4.62
20240224143001,4.57
20240224144001,4.54
20240224145001,4.59
20240224150001,4.62
20240224151001,4.55
20240224152001,4.52
20240224153001,4.48
20240224154001,4.49
20240224155001,4.42
20240224160001,4.42
20240224161001,4.4
20240224162001,4.42
20240224163001,4.75
20240224164001,4.84
20240224165001,4.89
20240226090001,38.07
20240226091001,35.48
20240226092001,33.28
20240226093001,30.86
20240226094001,26.0
20240226095001,24.65
20240226100001,23.49
20240226101001,20.73
20240226102001,14.63
20240226103001,11.27
20240226104001,9.02
20240226105001,6.68
20240226110001,4.64
20240226111001,4.45
20240226112001,4.94
20240226113001,6.22
20240226114001,6.49
20240226115001,7.07
20240226120001,8.02
20240226121001,8.26
20240226122001,7.14
20240226123001,6.42
20240226124001,4.65
20240226125001,3.69
20240226130001,3.44
20240226131001,3.29
20240226132001,3.05
20240226133001,2.98
20240226134001,2.99
20240226135001,2.98
20240226140001,3.01
20240226141001,3.01
20240226142001,3.06
20240226143001,3.04
20240226144001,3.0
20240226145001,2.91
20240226150001,2.8
20240226151001,2.84
20240226152001,2.85
20240226153001,3.02
20240226154001,3.06
20240226155001,3.07
20240226160001,3.09
20240226161001,3.08
20240226162001,3.19
20240226163001,3.26
20240226164001,3.27
20240226165001,3.11
20240327090001,78.06
20240327091001,61.82
20240327092001,52.21
20240327093001,39.54
20240327094001,33.9
20240327095001,26.52
20240327100001,18.94
20240327101001,13.82
20240327102001,10.65
20240327103001,8.62
20240327104001,5.96
20240327105001,5.58
20240327110001,5.78
20240327111001,5.79
20240327112001,5.69
20240327113001,5.72
20240327114001,5.64
20240327115001,5.51
20240327120001,5.56
20240327121001,5.5
20240327122001,5.49
20240327123001,5.44
20240327124001,5.53
20240327125001,5.63
20240327130001,5.75
20240327131001,5.87
20240327132001,5.93
20240327133001,6.0
20240327134001,6.12
20240327135001,6.04
20240327140001,6.05
20240327141001,6.3
20240327142001,6.22
20240327143001,6.12
20240327144001,5.94
20240327145001,5.71
20240327150001,5.27
20240327151001,5.23
20240327152001,5.44
20240327153001,5.55
20240327154001,5.53
20240327155001,5.69
20240327160001,5.41
20240327161001,5.52
20240327162001,5.46
20240327163001,5.3
20240327164001,5.38
20240327165001,5.38
20240329090001,25.08
20240329091001,16.16
20240329092001,11.93
20240329093001,10.55
20240329094001,9.88
20240329095001,9.22
20240329100001,8.6
20240329101001,7.91
20240329102001,7.97
20240329103001,8.04
20240329104001,8.01
20240329105001,7.28
20240329110001,6.45
20240329111001,5.95
20240329112001,5.73
20240329113001,5.66
20240329114001,5.54
20240329115001,4.83
20240329120001,4.67
20240329121001,4.58
20240329122001,4.59
20240329123001,4.52
20240329124001,4.59
20240329125001,4.55
20240329130001,4.51
20240329131001,4.49
20240329132001,4.51
20240329133001,4.45
20240329134001,4.43
20240329135001,4.64
20240329140001,4.73
20240329141001,4.78
20240329142001,4.83
20240329143001,4.81
20240329144001,4.8
20240329145001,4.79
20240329150001,4.77
20240329151001,5.05
20240329152001,5.0
20240329153001,5.28
20240329154001,5.62
20240329155001,5.77
20240329160001,5.68
20240329161001,5.95
20240329162001,6.11
20240329163001,6.05
20240329164001,6.23
20240329165001,6.22
20240428090001,196.21
20240428091001,153.86
20240428092001,124.33
20240428093001,107.36
20240428094001,92.61
20240428095001,67.96
20240428100001,51.54
20240428101001,37.5
20240428102001,27.15
20240428103001,23.83
20240428104001,15.23
20240428105001,11.89
20240428110001,9.72
20240428111001,8.18
20240428112001,7.18
20240428113001,6.13
20240428114001,6.13
20240428115001,6.0
20240428120001,5.54
20240428121001,5.4
20240428122001,5.29
20240428123001,5.01
20240428124001,4.81
20240428125001,4.83
20240428130001,4.92
20240428131001,4.89
20240428132001,4.88
20240428133001,4.66
20240428134001,4.71
20240428135001,4.61
20240428140001,4.7
20240428141001,4.88
20240428142001,4.91
20240428143001,4.92
20240428144001,4.91
20240428145001,5.06
20240428150001,5.05
20240428151001,5.07
20240428152001,4.97
20240428153001,5.27
20240428154001,5.48
20240428155001,5.66
20240428160001,5.75
20240428161001,5.77
20240428162001,6.0
20240428163001,6.11
20240428164001,6.05
20240428165001,6.13
20240430090001,963.72
20240430091001,906.27
20240430092001,878.15
20240430093001,851.5
20240430094001,793.53
20240430095001,783.68
20240430100001,794.45
20240430101001,829.9
20240430102001,789.28
20240430103001,774.39
20240430104001,709.65
20240430105001,639.91
20240430110001,594.63
20240430111001,530.4
20240430112001,475.57
20240430113001,438.18
20240430114001,397.96
20240430115001,377.31
20240430120001,360.94
20240430121001,344.72
20240430122001,331.61
20240430123001,305.0
20240430124001,269.73
20240430125001,259.64
20240430130001,237.76
20240430131001,231.29
20240430132001,209.98
20240430133001,187.99
20240430134001,172.33
20240430135001,165.56
20240430140001,149.03
20240430141001,128.34
20240430142001,119.94
20240430143001,106.2
20240430144001,98.49
20240430145001,82.34
20240430150001,64.21
20240430151001,53.08
20240430152001,42.62
20240430153001,32.48
20240430154001,29.63
20240430155001,26.61
20240430160001,22.15
20240430161001,20.14
20240430162001,19.97
20240430163001,19.57
20240430164001,20.06
20240430165001,21.93
20240515090001,1034.8
20240515091001,1021.43
20240515092001,1016.14
20240515093001,1023.12
20240515094001,1005.31
20240515095001,1007.81
20240515100001,988.45
20240515101001,1044.28
20240515102001,1061.62
20240515103001,1023.78
20240515104001,1004.36
20240515105001,1024.21
20240515110001,947.59
20240515111001,901.15
20240515112001,877.79
20240515113001,855.7
20240515114001,847.51
20240515115001,837.18
20240515120001,812.56
20240515121001,805.22
20240515122001,771.49
20240515123001,683.74
20240515124001,603.93
20240515125001,604.64
20240515130001,523.86
20240515131001,503.65
20240515132001,442.63
20240515133001,400.09
20240515134001,361.99
20240515135001,333.75
20240515140001,302.89
20240515141001,270.53
20240515142001,255.02
20240515143001,233.07
20240515144001,219.19
20240515145001,205.96
20240515150001,174.27
20240515151001,167.19
20240515152001,150.15
20240515153001,136.75
20240515154001,124.31
20240515155001,107.97
20240515160001,103.19
20240515161001,83.53
20240515162001,67.51
20240515163001,55.36
20240515164001,43.13
20240515165001,34.1
20240520090001,518.32
20240520091001,587.75
20240520092001,681.74
20240520093001,692.84
20240520094001,756.54
20240520095001,752.74
20240520100001,770.61
20240520101001,716.98
20240520102001,626.06
20240520103001,588.97
20240520104001,576.87
20240520105001,530.99
20240520110001,501.76
20240520111001,491.0
20240520112001,444.45
20240520113001,430.57
20240520114001,381.19
20240520115001,368.09
20240520120001,346.25
20240520121001,320.43
20240520122001,303.61
20240520123001,270.69
20240520124001,252.82
20240520125001,235.31
20240520130001,219.49
20240520131001,208.66
20240520132001,182.88
20240520133001,172.38
20240520134001,165.41
20240520135001,147.29
20240520140001,127.76
20240520141001,119.67
20240520142001,105.82
20240520143001,89.24
20240520144001,82.64
20240520145001,61.98
20240520150001,52.68
20240520151001,42.11
20240520152001,32.22
20240520153001,29.35
20240520154001,23.11
20240520155001,20.43
20240520160001,19.94
20240520161001,19.48
20240520162001,19.47
20240520163001,19.55
20240520164001,21.56
20240520165001,21.93
20240613090001,37.01
20240613091001,28.47
20240613092001,25.76
20240613093001,19.34
20240613094001,17.45
20240613095001,17.54
20240613100001,17.25
20240613101001,17.7
20240613102001,17.73
20240613103001,17.57
20240613104001,17.5
20240613105001,15.71
20240613110001,15.14
20240613111001,14.81
20240613112001,14.75
20240613113001,14.67
20240613114001,14.83
20240613115001,15.19
20240613120001,15.43
20240613121001,15.75
20240613122001,15.99
20240613123001,16.12
20240613124001,16.25
20240613125001,18.23
20240613130001,18.49
20240613131001,18.62
20240613132001,18.88
20240613133001,19.04
20240613134001,19.37
20240613135001,19.51
20240613140001,21.09
20240613141001,21.71
20240613142001,21.96
20240613143001,22.11
20240613144001,22.38
20240613145001,22.89
20240613150001,26.52
20240613151001,26.61
20240613152001,28.15
20240613153001,28.43
20240613154001,28.43
20240613155001,28.68
20240613160001,28.86
20240613161001,29.79
20240613162001,29.94
20240613163001,30.06
20240613164001,29.94
20240613165001,30.15
20240615090001,853.36
20240615091001,840.78
20240615092001,848.66
20240615093001,819.39
20240615094001,786.58
20240615095001,741.48
20240615100001,624.98
20240615101001,603.6
20240615102001,717.51
20240615103001,719.34
20240615104001,752.81
20240615105001,844.57
20240615110001,840.8
20240615111001,849.7
20240615112001,825.15
20240615113001,752.11
20240615114001,696.23
20240615115001,701.19
20240615120001,691.7
20240615121001,707.76
20240615122001,705.92
20240615123001,711.51
20240615124001,688.16
20240615125001,650.53
20240615130001,640.34
20240615131001,622.32
20240615132001,551.41
20240615133001,526.35
20240615134001,489.57
20240615135001,445.27
20240615140001,411.69
20240615141001,382.16
20240615142001,373.46
20240615143001,361.57
20240615144001,363.44
20240615145001,329.07
20240615150001,320.89
20240615151001,279.63
20240615152001,271.05
20240615153001,256.0
20240615154001,234.76
20240615155001,217.21
20240615160001,207.34
20240615161001,183.3
20240615162001,174.54
20240615163001,168.51
20240615164001,152.41
20240615165001,139.9
20240703090001,1005.64
20240703091001,991.0
20240703092001,967.5
20240703093001,1029.98
20240703094001,990.93
20240703095001,900.5
20240703100001,898.05
20240703101001,903.93
20240703102001,909.98
20240703103001,839.38
20240703104001,828.54
20240703105001,842.28
20240703110001,837.37
20240703111001,813.68
20240703112001,791.85
20240703113001,786.69
20240703114001,778.8
20240703115001,754.59
20240703120001,715.57
20240703121001,688.16
20240703122001,632.21
20240703123001,604.86
20240703124001,575.41
20240703125001,511.76
20240703130001,485.71
20240703131001,430.4
20240703132001,384.24
20240703133001,365.75
20240703134001,352.26
20240703135001,341.31
20240703140001,318.83
20240703141001,276.11
20240703142001,263.24
20240703143001,251.87
20240703144001,234.81
20240703145001,222.15
20240703150001,209.2
20240703151001,184.29
20240703152001,172.31
20240703153001,166.48
20240703154001,148.08
20240703155001,127.11
20240703160001,116.55
20240703161001,106.11
20240703162001,88.16
20240703163001,82.07
20240703164001,61.27
20240703165001,52.9
20240707090001,877.07
20240707091001,920.01
20240707092001,943.35
20240707093001,914.1
20240707094001,900.06
20240707095001,917.71
20240707100001,915.52
20240707101001,935.3
20240707102001,954.01
20240707103001,957.14
20240707104001,920.54
20240707105001,955.59
20240707110001,963.7
20240707111001,976.15
20240707112001,995.71
20240707113001,991.32
20240707114001,956.77
20240707115001,944.76
20240707120001,968.6
20240707121001,985.39
20240707122001,950.7
20240707123001,914.29
20240707124001,899.04
20240707125001,892.34
20240707130001,881.88
20240707131001,814.55
20240707132001,798.46
20240707133001,813.57
20240707134001,779.98
20240707135001,773.14
20240707140001,722.1
20240707141001,698.57
20240707142001,612.54
20240707143001,595.59
20240707144001,528.65
20240707145001,482.89
20240707150001,428.29
20240707151001,375.6
20240707152001,357.36
20240707153001,344.7
20240707154001,316.44
20240707155001,302.79
20240707160001,270.55
20240707161001,255.04
20240707162001,233.83
20240707163001,219.95
20240707164001,207.13
20240707165001,179.72
20240125090002,10.99
20240125091002,8.57
20240125092002,4.66
20240125093002,3.68
20240125094002,3.38
20240125095002,2.96
20240125100002,2.72
20240125101002,2.57
20240125102002,2.58
20240125103002,2.9
20240125104002,3.37
20240125105002,3.59
20240125110002,3.48
20240125111002,3.18
20240125112002,3.02
20240125113002,2.79
20240125114002,2.78
20240125115002,2.78
20240125120002,2.78
20240125121002,2.78
20240125122002,3.03
20240125123002,3.09
20240125124002,3.24
20240125125002,3.27
20240125130002,3.3
20240125131002,3.25
20240125132002,3.12
20240125133002,3.21
20240125134002,3.31
20240125135002,3.3
20240125140002,3.47
20240125141002,3.63
20240125142002,3.73
20240125143002,3.75
20240125144002,3.78
20240125145002,3.81
20240125150002,3.78
20240125151002,3.77
20240125152002,3.8
20240125153002,3.85
20240125154002,3.86
20240125155002,3.89
20240125160002,3.99
20240125161002,4.03
20240125162002,4.15
20240125163002,4.19
20240125164002,4.25
20240125165002,4.26
20240128090002,4.54
20240128091002,4.56
20240128092002,4.6
20240128093002,4.7
20240128094002,4.74
20240128095002,4.88
20240128100002,5.2
20240128101002,5.24
20240128102002,5.12
20240128103002,5.09
20240128104002,4.58
20240128105002,4.03
20240128110002,3.83
20240128111002,3.72
20240128112002,3.51
20240128113002,3.48
20240128114002,3.49
20240128115002,3.49
20240128120002,3.58
20240128121002,3.52
20240128122002,3.47
20240128123002,3.59
20240128124002,3.56
20240128125002,3.59
20240128130002,3.56
20240128131002,3.68
20240128132002,3.76
20240128133002,3.78
20240128134002,3.84
20240128135002,3.82
20240128140002,3.81
20240128141002,3.86
20240128142002,3.87
20240128143002,3.87
20240128144002,3.9
20240128145002,3.92
20240128150002,4.0
20240128151002,4.01
20240128152002,4.14
20240128153002,4.22
