序號,答案
20240117090001,15.37
20240117091001,21.03
20240117092001,25.78
20240117093001,27.65
20240117094001,31.33
20240117095001,31.65
20240117100001,34.57
20240117101001,34.41
20240117102001,34.53
20240117103001,32.68
20240117104001,32.53
20240117105001,29.66
20240117110001,27.25
20240117111001,27.44
20240117112001,27.67
20240117113001,27.67
20240117114001,28.08
20240117115001,28.11
20240117120001,27.65
20240117121001,27.45
20240117122001,27.47
20240117123001,26.94
20240117124001,27.04
20240117125001,27.12
20240117130001,27.23
20240117131001,27.24
20240117132001,27.23
20240117133001,27.29
20240117134001,27.33
20240117135001,27.13
20240117140001,27.17
20240117141001,27.17
20240117142001,27.15
20240117143001,27.12
20240117144001,27.03
20240117145001,26.89
20240117150001,26.86
20240117151001,26.87
20240117152001,26.85
20240117153001,26.84
20240117154001,26.81
20240117155001,26.5
20240117160001,26.55
20240117161001,26.51
20240117162001,26.48
20240117163001,25.65
20240117164001,25.84
20240117165001,25.87
20240119090001,57.13
20240119091001,48.96
20240119092001,64.13
20240119093001,70.15
20240119094001,79.45
20240119095001,78.93
20240119100001,74.95
20240119101001,64.08
20240119102001,44.24
20240119103001,28.74
20240119104001,13.59
20240119105001,22.4
20240119110001,27.25
20240119111001,27.44
20240119112001,27.67
20240119113001,27.67
20240119114001,28.08
20240119115001,28.11
20240119120001,27.65
20240119121001,27.45
20240119122001,27.47
20240119123001,26.94
20240119124001,27.04
20240119125001,27.12
20240119130001,27.23
20240119131001,27.24
20240119132001,27.23
20240119133001,27.29
20240119134001,27.33
20240119135001,27.13
20240119140001,27.17
20240119141001,27.17
20240119142001,27.15
20240119143001,27.12
20240119144001,27.03
20240119145001,26.89
20240119150001,26.86
20240119151001,26.87
20240119152001,26.85
20240119153001,26.84
20240119154001,26.81
20240119155001,26.5
20240119160001,26.55
20240119161001,26.51
20240119162001,26.48
20240119163001,25.65
20240119164001,25.84
20240119165001,25.87
20240224090001,17.87
20240224091001,15.27
20240224092001,15.76
20240224093001,16.49
20240224094001,18.21
20240224095001,22.47
20240224100001,23.58
20240224101001,27.64
20240224102001,28.45
20240224103001,28.62
20240224104001,28.95
20240224105001,24.98
20240224110001,27.25
20240224111001,27.44
20240224112001,27.67
20240224113001,27.67
20240224114001,28.08
20240224115001,28.11
20240224120001,27.65
20240224121001,27.45
20240224122001,27.47
20240224123001,26.94
20240224124001,27.04
20240224125001,27.12
20240224130001,27.23
20240224131001,27.24
20240224132001,27.23
20240224133001,27.29
20240224134001,27.33
20240224135001,27.13
20240224140001,27.17
20240224141001,27.17
20240224142001,27.15
20240224143001,27.12
20240224144001,27.03
20240224145001,26.89
20240224150001,26.86
20240224151001,26.87
20240224152001,26.85
20240224153001,26.84
20240224154001,26.81
20240224155001,26.5
20240224160001,26.55
20240224161001,26.51
20240224162001,26.48
20240224163001,25.65
20240224164001,25.84
20240224165001,25.87
20240226090001,16.03
20240226091001,13.61
20240226092001,16.56
20240226093001,21.87
20240226094001,27.54
20240226095001,29.99
20240226100001,37.31
20240226101001,48.22
20240226102001,44.89
20240226103001,31.94
20240226104001,29.69
20240226105001,27.28
20240226110001,27.25
20240226111001,27.44
20240226112001,27.67
20240226113001,27.67
20240226114001,28.08
20240226115001,28.11
20240226120001,27.65
20240226121001,27.45
20240226122001,27.47
20240226123001,26.94
20240226124001,27.04
20240226125001,27.12
20240226130001,27.23
20240226131001,27.24
20240226132001,27.23
20240226133001,27.29
20240226134001,27.33
20240226135001,27.13
20240226140001,27.17
20240226141001,27.17
20240226142001,27.15
20240226143001,27.12
20240226144001,27.03
20240226145001,26.89
20240226150001,26.86
20240226151001,26.87
20240226152001,26.85
20240226153001,26.84
20240226154001,26.81
20240226155001,26.5
20240226160001,26.55
20240226161001,26.51
20240226162001,26.48
20240226163001,25.65
20240226164001,25.84
20240226165001,25.87
20240327090001,24.75
20240327091001,25.19
20240327092001,25.66
20240327093001,26.54
20240327094001,26.92
20240327095001,26.94
20240327100001,23.73
20240327101001,22.95
20240327102001,18.68
20240327103001,13.72
20240327104001,9.63
20240327105001,6.88
20240327110001,27.25
20240327111001,27.44
20240327112001,27.67
20240327113001,27.67
20240327114001,28.08
20240327115001,28.11
20240327120001,27.65
20240327121001,27.45
20240327122001,27.47
20240327123001,26.94
20240327124001,27.04
20240327125001,27.12
20240327130001,27.23
20240327131001,27.24
20240327132001,27.23
20240327133001,27.29
20240327134001,27.33
20240327135001,27.13
20240327140001,27.17
20240327141001,27.17
20240327142001,27.15
20240327143001,27.12
20240327144001,27.03
20240327145001,26.89
20240327150001,26.86
20240327151001,26.87
20240327152001,26.85
20240327153001,26.84
20240327154001,26.81
20240327155001,26.5
20240327160001,26.55
20240327161001,26.51
20240327162001,26.48
20240327163001,25.65
20240327164001,25.84
20240327165001,25.87
20240329090001,16.6
20240329091001,35.72
20240329092001,45.87
20240329093001,42.62
20240329094001,41.38
20240329095001,37.15
20240329100001,34.8
20240329101001,36.85
20240329102001,46.74
20240329103001,55.51
20240329104001,56.82
20240329105001,48.65
20240329110001,27.25
20240329111001,27.44
20240329112001,27.67
20240329113001,27.67
20240329114001,28.08
20240329115001,28.11
20240329120001,27.65
20240329121001,27.45
20240329122001,27.47
20240329123001,26.94
20240329124001,27.04
20240329125001,27.12
20240329130001,27.23
20240329131001,27.24
20240329132001,27.23
20240329133001,27.29
20240329134001,27.33
20240329135001,27.13
20240329140001,27.17
20240329141001,27.17
20240329142001,27.15
20240329143001,27.12
20240329144001,27.03
20240329145001,26.89
20240329150001,26.86
20240329151001,26.87
20240329152001,26.85
20240329153001,26.84
20240329154001,26.81
20240329155001,26.5
20240329160001,26.55
20240329161001,26.51
20240329162001,26.48
20240329163001,25.65
20240329164001,25.84
20240329165001,25.87
20240428090001,25.22
20240428091001,46.65
20240428092001,57.41
20240428093001,60.43
20240428094001,63.51
20240428095001,55.6
20240428100001,51.18
20240428101001,41.89
20240428102001,39.69
20240428103001,29.12
20240428104001,13.25
20240428105001,5.71
20240428110001,27.25
20240428111001,27.44
20240428112001,27.67
20240428113001,27.67
20240428114001,28.08
20240428115001,28.11
20240428120001,27.65
20240428121001,27.45
20240428122001,27.47
20240428123001,26.94
20240428124001,27.04
20240428125001,27.12
20240428130001,27.23
20240428131001,27.24
20240428132001,27.23
20240428133001,27.29
20240428134001,27.33
20240428135001,27.13
20240428140001,27.17
20240428141001,27.17
20240428142001,27.15
20240428143001,27.12
20240428144001,27.03
20240428145001,26.89
20240428150001,26.86
20240428151001,26.87
20240428152001,26.85
20240428153001,26.84
20240428154001,26.81
20240428155001,26.5
20240428160001,26.55
20240428161001,26.51
20240428162001,26.48
20240428163001,25.65
20240428164001,25.84
20240428165001,25.87
20240430090001,169.48
20240430091001,642.41
20240430092001,551.48
20240430093001,548.23
20240430094001,580.07
20240430095001,383.42
20240430100001,176.03
20240430101001,50.68
20240430102001,75.63
20240430103001,65.67
20240430104001,243.2
20240430105001,444.39
20240430110001,27.25
20240430111001,27.44
20240430112001,27.67
20240430113001,27.67
20240430114001,28.08
20240430115001,28.11
20240430120001,27.65
20240430121001,27.45
20240430122001,27.47
20240430123001,26.94
20240430124001,27.04
20240430125001,27.12
20240430130001,27.23
20240430131001,27.24
20240430132001,27.23
20240430133001,27.29
20240430134001,27.33
20240430135001,27.13
20240430140001,27.17
20240430141001,27.17
20240430142001,27.15
20240430143001,27.12
20240430144001,27.03
20240430145001,26.89
20240430150001,26.86
20240430151001,26.87
20240430152001,26.85
20240430153001,26.84
20240430154001,26.81
20240430155001,26.5
20240430160001,26.55
20240430161001,26.51
20240430162001,26.48
20240430163001,25.65
20240430164001,25.84
20240430165001,25.87
20240515090001,256.15
20240515091001,826.29
20240515092001,827.93
20240515093001,805.94
20240515094001,668.75
20240515095001,470.95
20240515100001,349.22
20240515101001,358.79
20240515102001,412.9
20240515103001,439.61
20240515104001,393.62
20240515105001,334.52
20240515110001,27.25
20240515111001,27.44
20240515112001,27.67
20240515113001,27.67
20240515114001,28.08
20240515115001,28.11
20240515120001,27.65
20240515121001,27.45
20240515122001,27.47
20240515123001,26.94
20240515124001,27.04
20240515125001,27.12
20240515130001,27.23
20240515131001,27.24
20240515132001,27.23
20240515133001,27.29
20240515134001,27.33
20240515135001,27.13
20240515140001,27.17
20240515141001,27.17
20240515142001,27.15
20240515143001,27.12
20240515144001,27.03
20240515145001,26.89
20240515150001,26.86
20240515151001,26.87
20240515152001,26.85
20240515153001,26.84
20240515154001,26.81
20240515155001,26.5
20240515160001,26.55
20240515161001,26.51
20240515162001,26.48
20240515163001,25.65
20240515164001,25.84
20240515165001,25.87
20240520090001,158.17
20240520091001,196.92
20240520092001,183.04
20240520093001,157.45
20240520094001,128.91
20240520095001,122.49
20240520100001,104.54
20240520101001,91.13
