0,1,2,3,4
Transformer,ExtraTreesRegressor,256,50,4308984.14
Transformer,ExtraTreesRegressor,256,100,3302785
Transformer,ExtraTreesRegressor,256,150,3263256.72
Transformer,ExtraTreesRegressor,256,200,5826201.09
Transformer,ExtraTreesRegressor,256,250,3947271.56
Transformer,ExtraTreesRegressor,256,300,3993595.8
Transformer,ExtraTreesRegressor,128,50,3344487.98
Transformer,ExtraTreesRegressor,128,100,3260304.35
Transformer,ExtraTreesRegressor,128,150,3388339.87
Transformer,ExtraTreesRegressor,128,200,6397628.27
Transformer,ExtraTreesRegressor,128,250,3205423.9
Transformer,ExtraTreesRegressor,128,300,11284244.06
Transformer,ExtraTreesRegressor,64,50,3262684.38
Transformer,ExtraTreesRegressor,64,100,3326744.9
Transformer,ExtraTreesRegressor,64,150,3395333.46
Transformer,ExtraTreesRegressor,64,200,5554835.28
Transformer,ExtraTreesRegressor,64,250,3676084.25
Transformer,ExtraTreesRegressor,64,300,3704454.09
Transformer,KnnRegression,256,50,3169221.09
Transformer,KnnRegression,256,100,3601611.95
Transformer,KnnRegression,256,150,3530993.45
Transformer,KnnRegression,256,200,9029322.28
Transformer,KnnRegression,256,250,4175002.35
Transformer,KnnRegression,256,300,7788602.63
Transformer,KnnRegression,128,50,3373929.26
Transformer,KnnRegression,128,100,6480500.77
Transformer,KnnRegression,128,150,4851553.75
Transformer,KnnRegression,128,200,3926538.65
Transformer,KnnRegression,128,250,3652284.36
Transformer,KnnRegression,128,300,5361942.5
Transformer,KnnRegression,64,50,3436872.28
Transformer,KnnRegression,64,100,3372790.49
Transformer,KnnRegression,64,150,3787298.99
Transformer,KnnRegression,64,200,3499023.32
Transformer,KnnRegression,64,250,3346020.7300000004
Transformer,KnnRegression,64,300,6326933.24
Transformer,VotingRegressor,256,50,3198673.53
Transformer,VotingRegressor,256,100,3340014.41
Transformer,VotingRegressor,256,150,3965035.0100000002
Transformer,VotingRegressor,256,200,6852071.24
Transformer,VotingRegressor,256,250,3307722.09
Transformer,VotingRegressor,256,300,3236075.6700000004
Transformer,VotingRegressor,128,50,3250847.54
